Parameter,Burke_Value
A_0,0
A_1,0
A_2,0
A_3,0
A_4,0
A_5,0
A_6,0
A_7,0
A_8,0
A_9,0
A_10,0
A_11,0
A_12,0
A_13,0
A_14,0
A_15,0
A_16,0
A_17,0
A_18,0
A_19,0
n_0,0
n_1,0
n_2,0
n_3,0
n_4,0
n_5,0
n_6,0
n_7,0
n_8,0
n_9,0
n_10,0
n_11,0
n_12,0
n_13,0
n_14,0
n_15,0
n_16,0
n_17,0
n_18,0
n_19,0
Ea_0,0
Ea_1,0
Ea_2,0
Ea_3,0
Ea_4,0
Ea_5,0
Ea_6,0
Ea_7,0
Ea_8,0
Ea_9,0
Ea_10,0
Ea_11,0
Ea_12,0
Ea_13,0
Ea_14,0
Ea_15,0
Ea_16,0
Ea_17,0
Ea_18,0
Ea_19,0
H2O2 + OH <=> H2O + HO2_P_0,-0.6
H2O2 + OH <=> H2O + HO2_P_1,-0.01
H2O2 + OH <=> H2O + HO2_P_2,-0.09
H2O2 + OH <=> H2O + HO2_P_3,-0.04
H2O2 + OH <=> H2O + HO2_P_4,-0.14
H2O2 + OH <=> H2O + HO2_P_5,-0.21
H2O2 + OH <=> H2O + HO2_P_6,0.01
H2O2 + OH <=> H2O + HO2_P_7,-0.01
2 HO2 <=> H2O2 + O2_P_0,-1.37
2 HO2 <=> H2O2 + O2_P_1,0
2 HO2 <=> H2O2 + O2_P_2,-0.01
2 HO2 <=> H2O2 + O2_P_3,0
2 HO2 <=> H2O2 + O2_P_4,0
2 HO2 <=> H2O2 + O2_P_5,0
2 HO2 <=> H2O2 + O2_P_6,-0.02
HO2 + OH <=> H2O + O2_P_0,-1.2
HO2 + OH <=> H2O + O2_P_1,0
HO2 + OH <=> H2O + O2_P_2,0
HO2 + OH <=> H2O + O2_P_3,0
HO2 + OH <=> H2O + O2_P_4,0.01
HO2 + OH <=> H2O + O2_P_5,0.08
HO2 + OH <=> H2O + O2_P_6,-0.04
HO2 + OH <=> H2O + O2_P_7,-0.09
HO2 + OH <=> H2O + O2_P_8,0
HO2 + OH <=> H2O + O2_P_9,0
HO2 + OH <=> H2O + O2_P_10,0
HO2 + OH <=> H2O + O2_P_11,0
HO2 + OH <=> H2O + O2_P_12,0.19
2 OH <=> H2O + O_P_0,-1.56
2 OH <=> H2O + O_P_1,0
2 OH <=> H2O + O_P_2,-0.01
2 OH <=> H2O + O_P_3,0
2 OH <=> H2O + O_P_4,0
2 OH <=> H2O + O_P_5,-0.05
2 OH <=> H2O + O_P_6,-0.24
2 OH <=> H2O + O_P_7,0
2 OH <=> H2O + O_P_8,0
2 OH <=> H2O + O_P_9,0
2 OH (+M) <=> H2O2 (+M)_P_0,-0.16
2 OH (+M) <=> H2O2 (+M)_P_1,0.13
2 OH (+M) <=> H2O2 (+M)_P_2,1.08
T_experiment_0,0
P_experiment_0,0
X_H2O_experiment_0,0.001
X_H2O2_experiment_0,0.002
X_O2_experiment_0,0
T_experiment_1,0.003
P_experiment_1,0.001
X_H2O2_experiment_1,-0.001
X_H2O_experiment_1,0
X_O2_experiment_1,0
T_experiment_2,0
P_experiment_2,0
X_H2O2_experiment_2,0
X_H2O_experiment_2,0
X_O2_experiment_2,0
T_experiment_3,0.002
P_experiment_3,0.001
X_H2O_experiment_3,0.011
X_O2_experiment_3,0
X_H_experiment_3,0.551
T_experiment_4,0.002
P_experiment_4,0
X_H2O2_experiment_4,-0.002
T_experiment_5,0.008
P_experiment_5,0.001
X_H2O2_experiment_5,-0.001
T_experiment_6,-0.004
P_experiment_6,0.002
X_H2O2_experiment_6,0.014
T_experiment_7,-0.017
P_experiment_7,-0.003
X_H2O2_experiment_7,0.001
T_experiment_8,-0.016
P_experiment_8,-0.006
X_H2O2_experiment_8,-0.017
Sigma_1,0.069
Sigma_2,-0.002
Sigma_3,-0.077
Sigma_4,-0.008
