time,Absorbance_227
1.99E-15,0.117412
1.90E-11,0.117412
7.86E-11,0.117412
1.38E-10,0.117412
1.98E-10,0.117412
2.58E-10,0.117412
3.83E-10,0.117412
6.13E-10,0.117412
1.02E-09,0.117412
1.75E-09,0.117412
3.25E-09,0.117412
4.75E-09,0.117411
6.25E-09,0.117411
8.59E-09,0.11741
1.09E-08,0.11741
1.33E-08,0.117409
1.56E-08,0.117409
1.99E-08,0.117408
2.43E-08,0.117407
2.86E-08,0.117406
3.59E-08,0.117404
4.84E-08,0.117402
6.10E-08,0.1174
7.35E-08,0.117397
8.61E-08,0.117396
1.07E-07,0.117393
1.29E-07,0.11739
1.50E-07,0.117389
1.71E-07,0.117387
1.93E-07,0.117387
2.14E-07,0.117386
2.35E-07,0.117387
2.70E-07,0.117388
3.04E-07,0.117391
3.70E-07,0.1174
4.37E-07,0.117413
5.03E-07,0.117431
5.69E-07,0.117453
6.35E-07,0.11748
7.40E-07,0.117531
8.44E-07,0.117593
9.49E-07,0.117664
1.05E-06,0.117745
1.16E-06,0.117836
1.26E-06,0.117935
1.37E-06,0.118044
1.47E-06,0.118161
1.58E-06,0.118286
1.68E-06,0.118419
1.78E-06,0.11856
1.89E-06,0.118709
1.99E-06,0.118864
2.10E-06,0.119027
2.20E-06,0.119196
2.31E-06,0.119372
2.41E-06,0.119554
2.52E-06,0.119743
2.62E-06,0.119937
2.73E-06,0.120137
2.83E-06,0.120342
2.93E-06,0.120553
3.04E-06,0.120768
3.14E-06,0.120989
3.25E-06,0.121214
3.35E-06,0.121444
3.46E-06,0.121679
3.61E-06,0.12204
3.77E-06,0.122411
3.93E-06,0.122791
4.09E-06,0.123178
4.25E-06,0.123574
4.40E-06,0.123976
4.56E-06,0.124385
4.72E-06,0.1248
4.88E-06,0.125222
5.03E-06,0.125649
5.19E-06,0.12608
5.35E-06,0.126517
5.51E-06,0.126959
5.67E-06,0.127404
5.82E-06,0.127853
5.98E-06,0.128306
6.14E-06,0.128762
6.30E-06,0.129221
6.46E-06,0.129683
6.61E-06,0.130147
6.77E-06,0.130613
6.93E-06,0.131082
7.09E-06,0.131552
7.24E-06,0.132024
7.40E-06,0.132497
7.56E-06,0.132972
7.72E-06,0.133447
7.88E-06,0.133924
8.03E-06,0.134401
8.19E-06,0.134878
8.35E-06,0.135356
8.51E-06,0.135834
8.66E-06,0.136313
8.82E-06,0.136791
8.98E-06,0.137269
9.14E-06,0.137747
9.30E-06,0.138224
9.45E-06,0.138701
9.69E-06,0.139418
9.93E-06,0.140132
1.02E-05,0.140845
1.04E-05,0.141556
1.06E-05,0.142264
1.09E-05,0.142969
1.11E-05,0.143671
1.14E-05,0.144369
1.16E-05,0.145065
1.18E-05,0.145756
1.21E-05,0.146444
1.23E-05,0.147128
1.25E-05,0.147808
1.28E-05,0.148483
1.30E-05,0.149154
1.33E-05,0.149821
1.35E-05,0.150483
1.37E-05,0.15114
1.40E-05,0.151793
1.42E-05,0.152441
1.44E-05,0.153083
1.47E-05,0.153721
1.49E-05,0.154354
1.52E-05,0.154981
1.54E-05,0.155604
1.56E-05,0.156221
1.59E-05,0.156832
1.61E-05,0.157439
1.63E-05,0.15804
1.66E-05,0.158636
1.68E-05,0.159227
1.71E-05,0.159812
1.73E-05,0.160391
1.75E-05,0.160966
1.78E-05,0.161534
1.80E-05,0.162098
1.82E-05,0.162656
1.86E-05,0.163487
1.90E-05,0.164305
1.93E-05,0.165111
1.97E-05,0.165905
2.00E-05,0.166687
2.04E-05,0.167456
2.07E-05,0.168213
2.11E-05,0.168957
2.15E-05,0.16969
2.18E-05,0.17041
2.22E-05,0.171119
2.25E-05,0.171815
2.29E-05,0.1725
2.32E-05,0.173173
2.36E-05,0.173834
2.40E-05,0.174483
2.43E-05,0.175121
2.47E-05,0.175747
2.50E-05,0.176363
2.54E-05,0.176966
2.58E-05,0.177559
2.61E-05,0.178141
2.65E-05,0.178711
2.68E-05,0.179271
2.72E-05,0.17982
2.75E-05,0.180359
2.81E-05,0.181148
2.86E-05,0.181915
2.92E-05,0.182658
2.97E-05,0.183378
3.02E-05,0.184076
3.08E-05,0.184752
3.13E-05,0.185407
3.19E-05,0.18604
3.24E-05,0.186652
3.29E-05,0.187243
3.35E-05,0.187815
3.40E-05,0.188366
3.45E-05,0.188898
3.51E-05,0.189412
3.56E-05,0.189906
3.62E-05,0.190382
3.67E-05,0.19084
3.72E-05,0.19128
3.78E-05,0.191703
3.86E-05,0.192312
3.94E-05,0.192884
4.02E-05,0.193419
4.10E-05,0.193918
4.19E-05,0.194382
4.27E-05,0.194813
4.35E-05,0.195211
4.43E-05,0.195578
4.51E-05,0.195915
4.59E-05,0.196222
4.68E-05,0.1965
4.76E-05,0.196751
4.84E-05,0.196975
4.92E-05,0.197174
5.04E-05,0.197426
5.17E-05,0.197625
5.29E-05,0.197774
5.41E-05,0.197875
5.54E-05,0.19793
5.66E-05,0.197944
5.78E-05,0.197916
5.90E-05,0.197851
6.03E-05,0.197749
6.15E-05,0.197613
6.27E-05,0.197445
6.46E-05,0.197133
6.64E-05,0.196757
6.83E-05,0.196323
7.02E-05,0.195835
7.20E-05,0.195298
7.39E-05,0.194717
7.57E-05,0.194096
7.76E-05,0.193438
7.95E-05,0.192746
8.13E-05,0.192025
8.32E-05,0.191277
8.50E-05,0.190504
8.69E-05,0.189709
8.88E-05,0.188894
9.06E-05,0.188062
9.25E-05,0.187213
9.44E-05,0.186351
9.62E-05,0.185476
9.81E-05,0.18459
9.99E-05,0.183695
0.000101799,0.182791
0.00010366,0.18188
0.000105521,0.180962
0.000107382,0.18004
0.000109243,0.179112
0.000111104,0.178182
0.000112965,0.177248
0.000114826,0.176313
0.000116687,0.175376
0.000118548,0.174438
0.000120409,0.173499
0.00012227,0.17256
0.000124131,0.171622
0.000125992,0.170685
0.000127853,0.169749
0.000129715,0.168815
0.000131576,0.167882
0.000133437,0.166952
0.000135298,0.166024
0.000137159,0.165099
0.00013902,0.164176
0.000140881,0.163257
0.000142742,0.16234
0.000144603,0.161427
0.000146464,0.160518
0.000148325,0.159612
0.000150186,0.15871
0.000152047,0.157812
0.000153908,0.156917
0.000155769,0.156027
0.00015763,0.155141
0.000160439,0.153812
0.000163248,0.152492
0.000166056,0.151182
0.000168865,0.149882
0.000171673,0.148593
0.000174482,0.147313
0.000177291,0.146044
0.000180099,0.144785
0.000182908,0.143537
0.000185716,0.142299
0.000188525,0.141071
0.000191334,0.139853
0.000194142,0.138646
0.000196951,0.13745
0.00019976,0.136263
0.000202568,0.135087
0.000205377,0.133921
0.000208185,0.132765
0.000210994,0.13162
0.000213803,0.130484
0.000216611,0.129358
0.00021942,0.128242
0.000223669,0.126573
0.000227919,0.124925
0.000232168,0.1233
0.000236417,0.121697
0.000240667,0.120115
0.000244916,0.118554
0.000249166,0.117015
0.000253415,0.115496
0.000257664,0.113997
0.000261914,0.112519
0.000266163,0.11106
0.000270413,0.109622
0.000274662,0.108202
0.000278911,0.106802
0.000283161,0.10542
0.00028741,0.104057
0.00029166,0.102713
0.000295909,0.101386
0.000302526,0.0993563
0.000309143,0.0973685
0.000315759,0.0954221
0.000322376,0.0935162
0.000328993,0.0916499
0.000335609,0.0898223
0.000342226,0.0880326
0.000348843,0.08628
0.000355459,0.0845636
0.000362076,0.0828828
0.000368693,0.0812366
0.000378666,0.0788193
0.00038864,0.0764766
0.000398613,0.0742061
0.000408587,0.0720056
0.00041856,0.0698727
0.000428533,0.0678053
0.000438507,0.0658013
0.00044848,0.0638586
0.000458454,0.0619752
0.000468427,0.0601493
0.000478401,0.058379
0.000488374,0.0566626
0.000498347,0.0549984
0.000508321,0.0533846
0.000518294,0.0518197
0.000528268,0.0503022
0.000538241,0.0488305
0.000548215,0.0474031
0.000558188,0.0460188
0.000568161,0.0446762
0.000578135,0.0433739
0.000585505,0.0424367
0.000592875,0.0415203
0.000600246,0.0406243
0.000607616,0.0397482
0.000614986,0.0388915
0.000622357,0.0380538
0.000629727,0.0372346
0.000637097,0.0364336
0.000642393,0.035869
0.000647688,0.0353134
0.000652984,0.0347666
0.000658279,0.0342286
0.000663575,0.0336991
0.00066887,0.0331779
0.000674166,0.0326651
0.000679461,0.0321604
0.000683318,0.0317978
0.000687176,0.0314394
0.000691033,0.0310851
0.00069489,0.0307349
0.000698748,0.0303888
0.000702605,0.0300467
0.000706462,0.0297085
0.00071032,0.0293742
0.000714177,0.0290437
0.000718034,0.0287171
0.000721892,0.0283942
0.000725749,0.0280751
0.000729606,0.0277596
0.000733464,0.0274478
0.000737321,0.0271395
0.000741178,0.0268348
0.000745035,0.0265335
0.000748893,0.0262358
0.00075275,0.0259414
0.000756607,0.0256504
0.000760465,0.0253628
0.000764322,0.0250785
0.000768179,0.0247974
0.000772037,0.0245195
0.000775894,0.0242448
0.000779751,0.0239733
0.000783609,0.0237048
0.000787466,0.0234395
0.000791323,0.0231771
0.000795181,0.0229178
0.000799038,0.0226614
0.000802895,0.022408
0.000806753,0.0221574
0.00081061,0.0219097
0.000816831,0.0215161
0.000823052,0.0211297
0.000829274,0.0207504
0.000835495,0.0203781
0.000841716,0.0200125
0.000847937,0.0196536
0.000854159,0.0193013
0.00086038,0.0189554
0.000866601,0.0186158
0.000876419,0.0180924
0.000886237,0.0175839
