Time,H2O_ppm,Relative_Uncertainty,W
3E-06,1510,0.05,1E-10
4E-06,1430,0.05,1E-10
5E-06,1380,0.05,1E-10
6E-06,1410,0.05,1E-10
7E-06,1400,0.05,1E-10
8E-06,1440,0.05,1E-10
9E-06,1370,0.05,1E-10
1E-05,1390,0.05,1E-10
1.1E-05,1490,0.05,1E-10
1.2E-05,1550,0.05,1E-10
1.3E-05,1500,0.05,1E-10
1.4E-05,1480,0.05,1E-10
1.5E-05,1470,0.05,1E-10
1.6E-05,1550,0.05,1E-10
1.7E-05,1580,0.05,1E-10
1.8E-05,1510,0.05,1E-10
1.9E-05,1560,0.05,1E-10
2E-05,1630,0.05,1E-10
2.1E-05,1700,0.05,1E-10
2.2E-05,1550,0.05,1E-10
2.3E-05,1700,0.05,0.0316227766
2.4E-05,1720,0.05,0.0316227766
2.5E-05,1680,0.05,0.0316227766
2.6E-05,1600,0.05,0.0316227766
2.7E-05,1760,0.05,0.0316227766
2.8E-05,1720,0.05,0.0316227766
2.9E-05,1800,0.05,0.0316227766
3E-05,1750,0.05,0.0316227766
3.1E-05,1700,0.05,0.0316227766
3.2E-05,1780,0.05,0.0316227766
3.3E-05,1780,0.05,0.0316227766
3.4E-05,1790,0.05,0.0316227766
3.5E-05,1780,0.05,0.0316227766
3.6E-05,1850,0.05,0.0316227766
3.7E-05,1900,0.05,0.0316227766
3.8E-05,1880,0.05,0.0316227766
3.9E-05,1920,0.05,0.0316227766
4E-05,1920,0.05,0.0316227766
4.1E-05,1910,0.05,0.0316227766
4.2E-05,1930,0.05,0.0316227766
4.3E-05,1950,0.05,0.0316227766
4.4E-05,1970,0.05,0.0316227766
4.5E-05,1990,0.05,0.0316227766
4.6E-05,1980,0.05,0.0316227766
4.7E-05,2020,0.05,0.0316227766
4.8E-05,1990,0.05,0.0316227766
4.9E-05,2080,0.05,0.0316227766
5E-05,2020,0.05,0.0316227766
5.1E-05,2060,0.05,0.0316227766
5.2E-05,2130,0.05,0.0316227766
5.3E-05,2040,0.05,0.0316227766
5.4E-05,2040,0.05,0.0316227766
5.5E-05,2100,0.05,0.0316227766
5.6E-05,2080,0.05,0.0316227766
5.7E-05,2100,0.05,0.0316227766
5.8E-05,2190,0.05,0.0316227766
