Time,OH_ppm,Relative_Uncertainty,W
1E-06,0.432,0.05,1E-10
2E-06,0.651,0.05,1E-10
3E-06,0.938,0.05,1E-10
4E-06,1.1,0.05,1E-10
5E-06,1.15,0.05,1E-10
6E-06,1.23,0.05,1E-10
7E-06,0.91,0.05,1E-10
8E-06,0.295,0.05,1E-10
9E-06,0.04,0.05,1E-10
1E-05,0.04,0.05,1E-10
1.1E-05,-0.0148,0.05,1E-10
1.2E-05,0.139,0.05,1E-10
1.3E-05,0.461,0.05,1E-10
1.4E-05,0.77,0.05,1E-10
1.5E-05,1.01,0.05,1E-10
1.6E-05,1.18,0.05,1E-10
1.7E-05,1.51,0.05,1E-10
1.8E-05,1.74,0.05,1E-10
1.9E-05,2.02,0.05,1E-10
2E-05,2.43,0.05,1E-10
2.1E-05,2.31,0.05,1E-10
2.2E-05,2.09,0.05,1E-10
2.3E-05,1.51,0.05,1E-10
2.4E-05,1.23,0.05,1E-10
2.5E-05,1.09,0.05,1E-10
2.6E-05,0.718,0.05,1E-10
2.7E-05,0.185,0.05,1E-10
2.8E-05,-0.238,0.05,1E-10
2.9E-05,-0.326,0.05,1E-10
3E-05,-0.119,0.05,1E-10
3.1E-05,0.121,0.05,1E-10
3.2E-05,0.715,0.05,1E-10
3.3E-05,1.13,0.05,1E-10
3.4E-05,1.5,0.05,1E-10
3.5E-05,1.82,0.05,1E-10
3.6E-05,2.26,0.05,1E-10
3.7E-05,2.66,0.05,1E-10
3.8E-05,2.94,0.05,1E-10
3.9E-05,3.23,0.05,1E-10
4E-05,3.12,0.05,1E-10
4.1E-05,2.92,0.05,1E-10
4.2E-05,2.72,0.05,1E-10
4.3E-05,2.89,0.05,1E-10
4.4E-05,2.65,0.05,1E-10
4.5E-05,2.28,0.05,1E-10
4.6E-05,2.05,0.05,1E-10
4.7E-05,1.89,0.05,1E-10
4.8E-05,1.72,0.05,1E-10
4.9E-05,1.81,0.05,1E-10
5E-05,1.76,0.05,1E-10
5.1E-05,2.04,0.05,1E-10
5.2E-05,1.98,0.05,1E-10
5.3E-05,2.04,0.05,1E-10
5.4E-05,2.35,0.05,1E-10
5.5E-05,2.52,0.05,1E-10
5.6E-05,2.66,0.05,1E-10
5.7E-05,2.73,0.05,1E-10
5.8E-05,2.51,0.05,1E-10
5.9E-05,2.31,0.05,1E-10
6E-05,1.95,0.05,1E-10
6.1E-05,1.9,0.05,1E-10
6.2E-05,1.99,0.05,1E-10
6.3E-05,1.88,0.05,1E-10
6.4E-05,1.91,0.05,1E-10
6.5E-05,1.87,0.05,1E-10
6.6E-05,1.85,0.05,1E-10
6.7E-05,2.2,0.05,1E-10
6.8E-05,2.52,0.05,1E-10
6.9E-05,2.56,0.05,1E-10
7E-05,2.51,0.05,1E-10
7.1E-05,2.45,0.05,1E-10
7.2E-05,2.03,0.05,1E-10
7.3E-05,2.05,0.05,1E-10
7.4E-05,2.12,0.05,1E-10
7.5E-05,2.41,0.05,1E-10
7.6E-05,2.55,0.05,1E-10
7.7E-05,2.58,0.05,1E-10
7.8E-05,2.67,0.05,1E-10
7.9E-05,2.66,0.05,1E-10
8E-05,2.63,0.05,1E-10
8.1E-05,2.92,0.05,1E-10
8.2E-05,3.2,0.05,1E-10
8.3E-05,3.29,0.05,1E-10
8.4E-05,3.16,0.05,1E-10
8.5E-05,2.87,0.05,1E-10
8.6E-05,2.89,0.05,1E-10
8.7E-05,2.61,0.05,1E-10
8.8E-05,2.78,0.05,1E-10
8.9E-05,2.74,0.05,1E-10
9E-05,2.75,0.05,1E-10
9.1E-05,3.29,0.05,1E-10
9.2E-05,3.29,0.05,1E-10
9.3E-05,3.39,0.05,1E-10
9.4E-05,3.74,0.05,1E-10
9.5E-05,3.56,0.05,1E-10
9.6E-05,3.45,0.05,1E-10
9.7E-05,3.58,0.05,1E-10
9.8E-05,3.79,0.05,1E-10
9.9E-05,3.61,0.05,1E-10
0.0001,3.5,0.05,1E-10
0.000101,3.54,0.05,1E-10
0.000102,3.12,0.05,1E-10
0.000103,3.1,0.05,1E-10
0.000104,3.18,0.05,1E-10
0.000105,3.29,0.05,1E-10
