Time,CH3_ppm
6.95E-06,0.718032
1.76E-05,1.62328
3.11E-05,2.4071
5.33E-05,3.23631
7.50E-05,3.99844
9.43E-05,4.62699
0.000118482,5.08844
0.000147452,5.45106
0.000176422,5.72844
0.000207806,5.95127
0.000241604,6.1366
0.000277816,6.27075
0.000316442,6.37427
0.000357482,6.45732
0.000400937,6.53694
0.000444392,6.59611
0.00049026,6.63486
0.000540957,6.67357
0.00058924,6.67477
0.000637523,6.67602
0.000690634,6.67722
0.000743745,6.67846
0.000796857,6.67966
0.000849968,6.63996
0.000903079,6.6071
0.00095619,6.5981
0.001009301,6.54817
0.001062412,6.5153
0.001115523,6.4722
0.001168635,6.44953
0.00122078,6.41667
0.001274857,6.36673
0.001327968,6.35434
0.001381079,6.28053
0.00143419,6.2613
0.001487302,6.21137
0.001540413,6.17171
0.001593524,6.11153
0.001646635,6.06503
0.001699746,6.02193
0.001752857,5.95156
0.001805968,5.9289
0.00185908,5.87556
0.001912191,5.8393
0.001965302,5.77233
0.002018413,5.72923
0.002071524,5.67249
0.002124635,5.64303
0.00216809,5.58625
,5.51588
,5.46938
,5.41605
,5.35592
,5.31621
,5.28061
