time,Absorbance_215
5.168E-06,0.353
1.292E-05,0.353
1.5504E-05,0.359
1.5504E-05,0.364
2.8424E-05,0.368
3.1008E-05,0.371
4.1344E-05,0.373
4.6512E-05,0.384
6.46E-05,0.384
6.7184E-05,0.395
8.0104E-05,0.395
9.5607E-05,0.405
0.000111111,0.404
0.000124031,0.409
0.000136951,0.416
0.000149871,0.411
0.000155039,0.414
0.000162791,0.432
0.000167959,0.414
0.000186047,0.427
0.000186047,0.42
0.000201551,0.431
0.000211887,0.42
0.00022739,0.427
0.00022739,0.423
0.000245478,0.432
0.000258398,0.423
0.00026615,0.434
0.000273902,0.423
0.000297158,0.423
0.000320414,0.425
0.000335918,0.42
0.000364341,0.423
0.000372093,0.416
0.000403097,0.422
0.000428937,0.413
0.000449617,0.418
0.000454777,0.411
0.000478037,0.416
0.000480617,0.407
0.000503877,0.411
0.000529717,0.407
0.000532297,0.416
0.000550387,0.407
0.000581397,0.411
0.000591727,0.402
0.000604647,0.409
0.000609817,0.4
0.000638247,0.405
0.000656327,0.398
0.000671837,0.4
0.000684757,0.395
0.000702847,0.4
0.000718347,0.396
0.000741607,0.402
0.000746767,0.393
0.000788117,0.395
0.000798447,0.384
0.000824287,0.391
0.000857877,0.387
0.000894057,0.386
0.000925067,0.38
0.000963827,0.382
0.000987077,0.384
0.000999997,0.378
0.001020677,0.378
0.001056847,0.375
0.001103357,0.366
0.001144707,0.368
0.001167957,0.368
0.001201547,0.355
0.001227387,0.36
0.001250647,0.353
0.001289407,0.351
0.001312657,0.341
0.001361757,0.335
0.001403097,0.33
0.001459947,0.317
0.001478037,0.319
0.001506457,0.314
0.001519377,0.306
0.001542637,0.305
0.001563307,0.305
0.001578807,0.299
