time,Absorbance_215,Relative_Uncertainty,W
2.567E-06,0.161435,0.1,0.112
5.134E-06,0.134529,0.1,0.112
7.702E-06,0.156951,0.1,0.112
1.5404E-05,0.147982,0.1,0.112
1.5404E-05,0.176009,0.1,0.112
2.3106E-05,0.176009,0.1,0.112
2.3106E-05,0.192825,0.1,0.112
2.8241E-05,0.18722,0.1,0.112
2.8241E-05,0.199552,0.1,0.112
3.3376E-05,0.191704,0.1,0.112
3.5943E-05,0.201794,0.1,0.112
4.6213E-05,0.197309,0.1,0.112
5.1348E-05,0.207399,0.1,0.112
5.6482E-05,0.199552,0.1,0.112
7.1887E-05,0.205157,0.1,0.112
7.7021E-05,0.195067,0.1,0.112
8.4724E-05,0.200673,0.1,0.112
8.4724E-05,0.190583,0.1,0.112
0.000100128,0.191704,0.1,0.112
0.00010783,0.181614,0.1,0.112
0.000112965,0.18722,0.1,0.112
0.000125802,0.171525,0.1,0.112
0.000130937,0.178251,0.1,0.112
0.000146341,0.165919,0.1,0.112
0.000148909,0.171525,0.1,0.112
0.000154043,0.156951,0.1,0.112
0.000164313,0.164798,0.1,0.112
0.000169448,0.151345,0.1,0.112
0.000179717,0.156951,0.1,0.112
0.000187419,0.143498,0.1,0.112
0.000192554,0.151345,0.1,0.112
0.000200256,0.13565,0.1,0.112
0.000210526,0.141256,0.1,0.112
0.000215661,0.131166,0.1,0.112
0.000228498,0.134529,0.1,0.112
0.000228498,0.125561,0.1,0.112
0.000249037,0.127803,0.1,0.112
0.000251604,0.116592,0.1,0.112
0.000264441,0.122197,0.1,0.112
0.000269576,0.112108,0.1,0.112
0.000282413,0.117713,0.1,0.112
0.000282413,0.107623,0.1,0.112
0.00029525,0.112108,0.1,0.112
0.000297817,0.100897,0.1,0.112
0.000315789,0.10426,0.1,0.112
0.000318357,0.0941704,0.1,0.112
0.000336328,0.103139,0.1,0.112
0.000336328,0.088565,0.1,0.112
0.000351733,0.0941704,0.1,0.112
0.00036457,0.0818386,0.1,0.112
0.000374839,0.0863229,0.1,0.112
0.000379974,0.0751121,0.1,0.112
0.000397946,0.0829596,0.1,0.112
0.000403081,0.0706278,0.1,0.112
0.000418485,0.0773543,0.1,0.112
0.000428756,0.0661435,0.1,0.112
0.000469836,0.0672646,0.1,0.112
0.000485236,0.0526906,0.1,0.112
0.000503206,0.0616592,0.1,0.112
0.000503206,0.0493274,0.1,0.112
0.000513476,0.0616592,0.1,0.112
0.000523746,0.0504484,0.1,0.112
0.000544286,0.0549327,0.1,0.112
0.000544286,0.0459641,0.1,0.112
0.000564826,0.0526906,0.1,0.112
0.000575096,0.0414798,0.1,0.112
0.000595636,0.0493274,0.1,0.112
0.000598206,0.0381166,0.1,0.112
0.000623876,0.0459641,0.1,0.112
0.000629016,0.0347534,0.1,0.112
0.000652116,0.0426009,0.1,0.112
0.000652116,0.0369955,0.1,0.112
0.000667526,0.0426009,0.1,0.112
0.000667526,0.0336323,0.1,0.112
0.000680356,0.0392377,0.1,0.112
0.000685496,0.0325112,0.1,0.112
0.000703466,0.0414798,0.1,0.112
0.000718866,0.029148,0.1,0.112
0.000736846,0.0403587,0.1,1E-10
0.000747116,0.0302691,0.1,1E-10
0.000765086,0.0381166,0.1,1E-10
0.000772786,0.0313901,0.1,1E-10
0.000780486,0.0403587,0.1,1E-10
0.000788186,0.0280269,0.1,1E-10
0.000798456,0.0381166,0.1,1E-10
0.000806166,0.0246637,0.1,1E-10
0.000824136,0.0325112,0.1,1E-10
0.000829266,0.0224215,0.1,1E-10
0.000836966,0.0325112,0.1,1E-10
0.000849806,0.0213004,0.1,1E-10
0.000860076,0.0280269,0.1,1E-10
0.000865216,0.0190583,0.1,1E-10
0.000885746,0.0257848,0.1,1E-10
0.000896016,0.0179372,0.1,1E-10
0.000906286,0.0235426,0.1,1E-10
0.000921696,0.0269058,0.1,1E-10
0.000929396,0.0179372,0.1,1E-10
0.000942236,0.0201794,0.1,1E-10
0.000957636,0.029148,0.1,1E-10
0.000962776,0.0168161,0.1,1E-10
0.000985876,0.0224215,0.1,1E-10
0.000998716,0.0168161,0.1,1E-10
0.001019256,0.0246637,0.1,1E-10
0.001047496,0.0168161,0.1,1E-10
0.001057766,0.0257848,0.1,1E-10
0.001073166,0.014574,0.1,1E-10
0.001083436,0.0246637,0.1,1E-10
0.001101416,0.014574,0.1,1E-10
0.001116816,0.0201794,0.1,1E-10
0.001124516,0.014574,0.1,1E-10
0.001150196,0.0213004,0.1,1E-10
0.001163026,0.0100897,0.1,1E-10
0.001178436,0.0201794,0.1,1E-10
0.001186136,0.0123318,0.1,1E-10
0.001206676,0.0156951,0.1,1E-10
0.001214376,0.0100897,0.1,1E-10
0.001232346,0.014574,0.1,1E-10
0.001247756,0.00896861,0.1,1E-10
0.001260586,0.0190583,0.1,1E-10
0.001270856,0.00672646,0.1,1E-10
0.001299106,0.0179372,0.1,1E-10
0.001306806,0.00896861,0.1,1E-10
0.001322206,0.0179372,0.1,1E-10
0.001335046,0.0100897,0.1,1E-10
0.001342746,0.0168161,0.1,1E-10
0.001358156,0.00784753,0.1,1E-10
0.001378686,0.014574,0.1,1E-10
0.001394096,0.00784753,0.1,1E-10
0.001414636,0.014574,0.1,1E-10
0.001424906,0.00672646,0.1,1E-10
0.001442876,0.0156951,0.1,1E-10
0.001455716,0.0044843,0.1,1E-10
0.001486516,0.014574,0.1,1E-10
0.001499356,0.00560538,0.1,1E-10
0.001519896,0.014574,0.1,1E-10
0.001537866,0.00560538,0.1,1E-10
0.001553276,0.0123318,0.1,1E-10
0.001563546,0.00672646,0.1,1E-10
0.001578946,0.0134529,0.1,1E-10
0.001589216,0.00560538,0.1,1E-10
0.001599486,0.0123318,0.1,1E-10
0.001602056,0.00560538,0.1,1E-10
