Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
2 OH (+M) <=> H2O2 (+M),1.00E-09,1.00E-09,1.00E-09
H2O2 + OH <=> H2O + HO2,1.00E-09,1.00E-09,1.00E-09
2 HO2 <=> H2O2 + O2,1.00E-09,1.00E-09,1.00E-09
HO2 + OH <=> H2O + O2,1.00E-09,1.00E-09,1.00E-09
2 OH <=> H2O + O,1.00E-09,1.00E-09,1.00E-09
CH3 + HO2 <=> CH4 + O2,1.00E-09,1.00E-09,1.00E-09
CH3 + HO2 <=> CH3O + OH,1.00E-09,1.00E-09,1.00E-09
CH4 + OH <=> CH3 + H2O,1.00E-09,1.00E-09,1.00E-09
H + O2 <=> O + OH,1.00E+06,1.00E-09,1.00E-09
H2 + O <=> H + OH,1.00E-09,1.00E-09,1.00E-09
H2 + O <=> H + OH,1.00E-09,1.00E-09,1.00E-09
H2 + OH <=> H + H2O,1.00E-09,1.00E-09,1.00E-09
H2 + M <=> 2 H + M,1.00E-09,1.00E-09,1.00E-09
AR + H2 <=> AR + 2 H,1.00E-09,1.00E-09,1.00E-09
H + O + M <=> OH + M,1.00E-09,1.00E-09,1.00E-09
2 O + M <=> O2 + M,1.00E-09,1.00E-09,1.00E-09
H2O + M <=> H + OH + M,1.00E-09,1.00E-09,1.00E-09
2 H2O <=> H + H2O + OH,1.00E-09,1.00E-09,1.00E-09
H + O2 (+M) <=> HO2 (+M),1.00E-09,1.00E-09,1.00E-09
H + HO2 <=> H2 + O2,1.00E-09,1.00E-09,1.00E-09
H + HO2 <=> 2 OH,1.00E-09,1.00E-09,1.00E-09
H + HO2 <=> H2O + O,1.00E-09,1.00E-09,1.00E-09
HO2 + O <=> O2 + OH,1.00E-09,1.00E-09,1.00E-09
H + H2O2 <=> H2O + OH,1.00E-09,1.00E-09,1.00E-09
H + H2O2 <=> H2 + HO2,1.00E-09,1.00E-09,1.00E-09
H2O2 + O <=> HO2 + OH,1.00E-09,1.00E-09,1.00E-09
CO + O (+M) <=> CO2 (+M),1.00E-09,1.00E-09,1.00E-09
CO + OH <=> CO2 + H,1.00E-09,1.00E-09,1.00E-09
CO + OH <=> HOCO,1.00E-09,1.00E-09,1.00E-09
CO + HO2 <=> CO2 + OH,1.00E-09,1.00E-09,1.00E-09
CO + O2 <=> CO2 + O,1.00E-09,1.00E-09,1.00E-09
CO + H2O2 <=> HOCO + OH,1.00E-09,1.00E-09,1.00E-09
HOCO (+M) <=> CO2 + H (+M),1.00E-09,1.00E-09,1.00E-09
H + HOCO <=> CO2 + H2,1.00E-09,1.00E-09,1.00E-09
H + HOCO <=> CO + H2O,1.00E-09,1.00E-09,1.00E-09
HOCO + O <=> CO2 + OH,1.00E-09,1.00E-09,1.00E-09
HOCO + OH <=> CO2 + H2O,1.00E-09,1.00E-09,1.00E-09
HOCO + OH <=> CO2 + H2O,1.00E-09,1.00E-09,1.00E-09
HO2 + HOCO <=> CO2 + H2O2,1.00E-09,1.00E-09,1.00E-09
HOCO + O2 <=> CO2 + HO2,1.00E-09,1.00E-09,1.00E-09
CH2O (+M) <=> H + HCO (+M),1.00E-09,1.00E-09,1.00E-09
CH2O (+M) <=> CO + H2 (+M),1.00E-09,1.00E-09,1.00E-09
CH2O + H <=> H2 + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + H <=> H2 + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + H <=> CO + H + H2,1.00E-09,1.00E-09,1.00E-09
CH2O + O <=> HCO + OH,1.00E-09,1.00E-09,1.00E-09
CH2O + O <=> HCO + OH,1.00E-09,1.00E-09,1.00E-09
CH2O + O <=> CO + H + OH,1.00E-09,1.00E-09,1.00E-09
CH2O + OH <=> H2O + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + OH <=> CO + H + H2O,1.00E-09,1.00E-09,1.00E-09
CH2O + HO2 <=> H2O2 + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + HO2 <=> CO + H + H2O2,1.00E-09,1.00E-09,1.00E-09
CH2O + O2 <=> HCO + HO2,1.00E-09,1.00E-09,1.00E-09
CH2O + O2 <=> HCO + HO2,1.00E-09,1.00E-09,1.00E-09
CH2O + O2 <=> CO + H + HO2,1.00E-09,1.00E-09,1.00E-09
HCO (+M) <=> CO + H (+M),1.00E-09,1.00E-09,1.00E-09
H + HCO <=> CO + H2,1.00E-09,1.00E-09,1.00E-09
HCO + O <=> CO + OH,1.00E-09,1.00E-09,1.00E-09
HCO + O <=> CO2 + H,1.00E-09,1.00E-09,1.00E-09
HCO + OH <=> CO + H2O,1.00E-09,1.00E-09,1.00E-09
HCO + O2 <=> CO + HO2,1.00E-09,1.00E-09,1.00E-09
HCO + HO2 <=> CO2 + H + OH,1.00E-09,1.00E-09,1.00E-09
2 HCO <=> CH2O + CO,1.00E-09,1.00E-09,1.00E-09
CH3 + H (+M) <=> CH4 (+M),1.00E-09,1.00E-09,1.00E-09
CH4 + H <=> CH3 + H2,1.00E-09,1.00E-09,1.00E-09
CH4 + O <=> CH3 + OH,1.00E-09,1.00E-09,1.00E-09
CH4 + HO2 <=> CH3 + H2O2,1.00E-09,1.00E-09,1.00E-09
CH2 + CH4 <=> 2 CH3,1.00E-09,1.00E-09,1.00E-09
CH2(S) + CH4 <=> 2 CH3,1.00E-09,1.00E-09,1.00E-09
CH + CH4 <=> C2H4 + H,1.00E-09,1.00E-09,1.00E-09
CH3 + M <=> CH + H2 + M,1.00E-09,1.00E-09,1.00E-09
CH3 + M <=> CH2 + H + M,1.00E-09,1.00E-09,1.00E-09
CH3 + H <=> CH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH2(S) + H2 <=> CH3 + H,1.00E-09,1.00E-09,1.00E-09
CH3 + O <=> CH2O + H,1.00E-09,1.00E-09,1.00E-09
CH3 + O <=> CO + H + H2,1.00E-09,1.00E-09,1.00E-09
CH3 + OH <=> CH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + OH <=> CH3OH,1.00E-09,1.00E-09,1.00E-09
