Time,H_ppm
2.52E-13,1.31E+00
2.52E-09,1.31E+00
2.78E-08,1.31E+00
7.10E-08,1.31E+00
1.47E-07,1.31E+00
2.80E-07,1.31E+00
5.11E-07,1.31E+00
9.15E-07,1.31E+00
1.67E-06,1.31E+00
2.99E-06,1.30E+00
4.31E-06,1.30E+00
5.63E-06,1.30E+00
6.95E-06,1.29E+00
8.27E-06,1.29E+00
1.02E-05,1.28E+00
1.20E-05,1.28E+00
1.39E-05,1.27E+00
1.58E-05,1.27E+00
2.17E-05,1.25E+00
2.77E-05,1.23E+00
3.37E-05,1.22E+00
3.96E-05,1.20E+00
4.56E-05,1.18E+00
5.15E-05,1.17E+00
6.07E-05,1.14E+00
6.98E-05,1.12E+00
7.89E-05,1.10E+00
8.80E-05,1.08E+00
9.71E-05,1.05E+00
1.06E-04,1.03E+00
1.15E-04,1.01E+00
1.30E-04,9.78E-01
1.54E-04,9.26E-01
1.71E-04,8.92E-01
1.87E-04,8.60E-01
2.04E-04,8.28E-01
2.20E-04,7.98E-01
2.37E-04,7.69E-01
2.54E-04,7.41E-01
2.70E-04,7.14E-01
3.01E-04,6.66E-01
3.21E-04,6.37E-01
3.41E-04,6.09E-01
3.61E-04,5.82E-01
3.81E-04,5.57E-01
4.01E-04,5.32E-01
4.22E-04,5.09E-01
4.42E-04,4.87E-01
4.80E-04,4.47E-01
5.08E-04,4.21E-01
5.36E-04,3.96E-01
5.63E-04,3.72E-01
5.91E-04,3.51E-01
6.19E-04,3.30E-01
6.46E-04,3.11E-01
6.74E-04,2.93E-01
7.02E-04,2.76E-01
