Time,OH_ppm,Relative_Uncertainty,W
5.1316082051444095e-14,5.20369851238447e-19,0.25,1e-10
5.132121365964926e-10,5.202841996447611e-11,0.25,1e-10
5.644820341740911e-09,4.034402729688279e-09,0.25,1e-10
1.07764285468853e-08,1.2624732613666999e-08,0.25,1e-10
2.0350259950132e-08,4.22534738198434e-08,0.25,1e-10
3.7247634730668e-08,1.3789256019142401e-07,0.25,1e-10
6.737950189009483e-08,4.4470833672195304e-07,0.25,1e-10
9.75113690495217e-08,9.242541050452101e-07,0.25,1e-10
1.2764323620894898e-07,1.5739968011632798e-06,0.25,1e-10
1.83936105287097e-07,3.23377011762766e-06,0.25,1e-10
2.40228974365246e-07,5.46075839966245e-06,0.25,1e-10
2.96521843443395e-07,8.236970097619631e-06,0.25,1e-10
3.5281471252154395e-07,1.15438742561784e-05,0.25,1e-10
4.84386335022715e-07,2.1243021364340306e-05,0.25,1e-10
6.15957957523885e-07,3.35234432033053e-05,0.25,1e-10
7.47529580025056e-07,4.81753397077292e-05,0.25,1e-10
8.791012025262259e-07,6.50024817100048e-05,0.25,1e-10
1.0106728250274e-06,8.38226096236757e-05,0.25,1e-10
1.14224444752857e-06,0.00010446758029299999,0.25,1e-10
1.27381607002974e-06,0.00012678319062,0.25,1e-10
1.4053876925309098e-06,0.00015062872299200002,0.25,1e-10
1.53695931503208e-06,0.000175876301761,0.25,1e-10
1.66853093753325e-06,0.00020241013877900002,0.25,1e-10
1.80010256003442e-06,0.00023012572205100001,0.25,1e-10
1.93167418253559e-06,0.000258928983313,0.25,1e-10
2.06324580503676e-06,0.00028873546917400003,0.25,1e-10
2.19481742753793e-06,0.000319469533348,0.25,1e-10
2.3930511333826002e-06,0.00036738078463699995,0.25,1e-10
2.59128483922727e-06,0.00041704461116000004,0.25,1e-10
2.7895185450719397e-06,0.000468291417161,0.25,1e-10
2.98775225091661e-06,0.0005209816061409999,0.25,1e-10
3.18598595676128e-06,0.000574999688832,0.25,1e-10
3.38421966260594e-06,0.0006302494297330001,0.25,1e-10
3.5824533684506103e-06,0.0006866508541130001,0.25,1e-10
3.78068707429528e-06,0.0007441381533560001,0.25,1e-10
3.97892078013995e-06,0.00080265772411,0.25,1e-10
4.3847825478747e-06,0.000925514848621,0.25,1e-10
4.79064431560945e-06,0.001052252634699,0.25,1e-10
5.1965060833442e-06,0.001182713537929,0.25,1e-10
5.6023678510789395e-06,0.001316812129046,0.25,1e-10
6.00822961881369e-06,0.001454504786244,0.25,1e-10
6.4140913865484394e-06,0.001595780027411,0.25,1e-10
6.81995315428319e-06,0.0017406555574400002,0.25,1e-10
7.2258149220179385e-06,0.001889170594012,0.25,1e-10
7.63167668975269e-06,0.002041376011588,0.25,1e-10
8.037538457487429e-06,0.002197328853825,0.25,1e-10
8.44340022522218e-06,0.0023570917533120004,0.25,1e-10
8.84926199295693e-06,0.00252073324603,0.25,1e-10
9.68377967930786e-06,0.002869704075756,0.25,1e-10
1.0518297365658801e-05,0.003236054519703,0.25,1e-10
1.1352815052009695e-05,0.003620502829083,0.25,1e-10
1.2187332738360699e-05,0.004023799603424,0.25,1e-10
1.30218504247116e-05,0.004446727488794001,0.25,1e-10
1.38563681110625e-05,0.004890105688666,0.25,1e-10
1.46908857974135e-05,0.005354792189555001,0.25,1e-10
1.5525403483764403e-05,0.005841683738904001,0.25,1e-10
1.6359921170115302e-05,0.0063517159466219995,0.25,1e-10
1.7648582528594106e-05,0.007187042593343998,0.25,1e-10
