Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
H2 + OH <=> H + H2O,1.00E-09,1.00E-09,1E-09
H + O2 <=> O + OH,10,1.00E-09,1.00E-09
H2 + O <=> H + OH,1E-09,1E-09,1E-09
2 OH <=> H2O + O,1E-09,1E-09,1E-09
HO2 + O <=> O2 + OH,1E-09,1E-09,1E-09
H + HO2 <=> 2 OH,1E-09,1E-09,1E-09
H + HO2 <=> H2 + O2,1E-09,1E-09,1E-09
HO2 + OH <=> H2O + O2,1E-09,1E-09,1E-09
2 HO2 <=> H2O2 + O2,1E-09,1E-09,1E-09
H2O2 + OH <=> H2O + HO2,1E-09,1E-09,1E-09
H + H2O2 <=> H2O + OH,1E-09,1E-09,1E-09
H + H2O2 <=> H2 + HO2,1E-09,1E-09,1E-09
H2O2 + O <=> HO2 + OH,1E-09,1E-09,1E-09
H2O2 + M <=> 2 OH + M,1E-09,1E-09,1E-09
2 O + M <=> O2 + M,1E-09,1E-09,1E-09
H + OH + M <=> H2O + M,1E-09,1E-09,1E-09
H2 + M <=> 2 H + M,1E-09,1E-09,1E-09
H + O2 + M <=> HO2 + M,1E-09,1E-09,1E-09
H + O + M <=> OH + M,1E-09,1E-09,1E-09
