Pressure,Density,Temperature,k1,O2,H2O,OH,H,NH3,NH2,Ar
0.415,2.01E+018,1515,642000000000,0.00124,0.00126,9.95E-07,9.95E-07,0,0,0.997
0.43,1.99E+018,1588,754000000000,0.00124,0.00126,1.01E-06,1.01E-06,0,0,0.997
0.467,2.03E+018,1690,911000000000,0.00124,0.00126,9.85E-07,9.85E-07,0,0,0.997
0.445,2.06E+018,1588,830000000000,0.00124,0.00126,9.73E-07,9.73E-07,0,0,0.997
0.447,2E+018,1640,908000000000,0.00124,0.00126,1E-06,1E-06,0,0,0.997
0.377,1.92E+018,1441,602000000000,0.00255,0.0025,1.04E-06,1.04E-06,0,0,0.995
0.355,1.89E+018,1378,487000000000,0.00255,0.0025,1.06E-06,1.06E-06,0,0,0.995
0.331,1.84E+018,1325,373000000000,0.00255,0.0025,1.09E-06,1.09E-06,0,0,0.995
0.279,1.7E+018,1206,261000000000,0.005,0,0,1.18E-06,0.0003,1.18E-06,0.995
0.281,1.74E+018,1187,226000000000,0.005,0,0,1.15E-06,0.0003,1.15E-06,0.995
0.343,1.85E+018,1360,370000000000,0.005,0,0,1.08E-06,0.0003,1.08E-06,0.995
0.323,1.82E+018,1308,304000000000,0.005,0,0,1.1E-06,0.0003,1.1E-06,0.995
0.278,1.72E+018,1186,198000000000,0.005,0,0,1.16E-06,0.0003,1.16E-06,0.995
0.257,1.65E+018,1145,121000000000,0.00744,0,0,1.21E-06,0.000738,1.21E-06,0.993
0.265,1.7E+018,1142,110000000000,0.00744,0,0,1.17E-06,0.000738,1.17E-06,0.993
0.236,1.6E+018,1083,92700000000,0.00744,0,0,1.25E-06,0.000738,1.25E-06,0.993
0.209,1.52E+018,1013,49300000000,0.00744,0,0,1.32E-06,0.000738,1.32E-06,0.993
0.234,1.63E+018,1051,72900000000,0.0185,0,0,1.23E-06,0.000738,1.23E-06,0.981508775
0.202,1.52E+018,972,48300000000,0.0185,0,0,1.31E-06,0.000738,1.31E-06,0.981508688
0.198,1.49E+018,976,44400000000,0.0185,0,0,1.34E-06,0.000738,1.34E-06,0.981508659
0.224,1.56E+018,1056,69300000000,0.0185,0,0,1.28E-06,0.000738,1.28E-06,0.981508715
0.192689885989637,1.47E+18,962,35770680000,3.70E-02,0,0,1.36E-06,7.38E-04,1.36E-06,0.962269778911565
0.218782473461831,1.57E+18,1024,56185260000,3.70E-02,0,0,1.27551020408163E-06,7.38E-04,1.27551020408163E-06,0.962269948979592
0.210990887720207,1.55E+18,999,40708720000,3.70E-02,0,0,1.29032258064516E-06,7.38E-04,1.29032258064516E-06,0.962269919354839
0.5097354262,2.77E+18,1351,393236600000,8.73E-04,4.15E-04,7.22282412423258E-07,7.22282412423258E-07,0,0,0.998711055435175
0.540599954567185,2.84E+18,1396,719026800000,8.73E-04,4.15E-04,7.03729767769177E-07,7.03729767769177E-07,0,0,0.998711092540464
0.564325852298791,2.83E+18,1465,754556600000,8.73E-04,4.15E-04,7.07463742483198E-07,7.07463742483198E-07,0,0,0.998711085072515
0.557044421798618,2.84E+18,1441,541377800000,8.73E-04,4.15E-04,7.04970038773352E-07,7.04970038773352E-07,0,0,0.998711090059922
0.614589905782383,2.95E+18,1530,719026800000,8.73E-04,4.15E-04,6.7842605156038E-07,6.7842605156038E-07,0,0,0.998711143147897
0.697921802337824,3.09E+18,1656,1117081000000,8.73E-04,4.15E-04,6.46621403168445E-07,6.46621403168445E-07,0,0,0.998711206757194
0.636792423279102,2.97E+18,1573,1565117800000,8.73E-04,4.15E-04,6.73174015483002E-07,6.73174015483002E-07,0,0,0.998711153651969
0.575145530970639,2.85E+18,1480,726253200000,1.24E-03,1.26E-03,7.01262272089762E-07,7.01262272089762E-07,0,0,0.997497597475456
