Pressure,Density,Temperature,k1,O2,H2O,OH,H,NH3,NH2,Ar
0.415,2.01E+018,1515,642000000000,0.00124,0.00126,9.95E-07,9.95E-07,0,0,0.997
0.43,1.99E+018,1588,754000000000,0.00124,0.00126,1.01E-06,1.01E-06,0,0,0.997
0.467,2.03E+018,1690,911000000000,0.00124,0.00126,9.85E-07,9.85E-07,0,0,0.997
0.445,2.06E+018,1588,830000000000,0.00124,0.00126,9.73E-07,9.73E-07,0,0,0.997
0.447,2E+018,1640,908000000000,0.00124,0.00126,1E-06,1E-06,0,0,0.997
0.377,1.92E+018,1441,602000000000,0.00255,0.0025,1.04E-06,1.04E-06,0,0,0.995
0.355,1.89E+018,1378,487000000000,0.00255,0.0025,1.06E-06,1.06E-06,0,0,0.995
0.331,1.84E+018,1325,373000000000,0.00255,0.0025,1.09E-06,1.09E-06,0,0,0.995
0.5097354262,2.77E+18,1351,393236600000,8.73E-04,4.15E-04,7.22282412423258E-07,7.22282412423258E-07,0,0,0.998711055435175
0.540599954567185,2.84E+18,1396,719026800000,8.73E-04,4.15E-04,7.03729767769177E-07,7.03729767769177E-07,0,0,0.998711092540464
0.564325852298791,2.83E+18,1465,754556600000,8.73E-04,4.15E-04,7.07463742483198E-07,7.07463742483198E-07,0,0,0.998711085072515
0.557044421798618,2.84E+18,1441,541377800000,8.73E-04,4.15E-04,7.04970038773352E-07,7.04970038773352E-07,0,0,0.998711090059922
0.614589905782383,2.95E+18,1530,719026800000,8.73E-04,4.15E-04,6.7842605156038E-07,6.7842605156038E-07,0,0,0.998711143147897
0.697921802337824,3.09E+18,1656,1117081000000,8.73E-04,4.15E-04,6.46621403168445E-07,6.46621403168445E-07,0,0,0.998711206757194
0.636792423279102,2.97E+18,1573,1565117800000,8.73E-04,4.15E-04,6.73174015483002E-07,6.73174015483002E-07,0,0,0.998711153651969
0.575145530970639,2.85E+18,1480,726253200000,1.24E-03,1.26E-03,7.01262272089762E-07,7.01262272089762E-07,0,0,0.997497597475456
0.536967687400691,2.79E+18,1415,555830600000,1.24E-03,1.26E-03,7.18132854578097E-07,7.18132854578097E-07,0,0,0.997497563734291
0.564835462502591,2.85E+18,1455,762987400000,1.24E-03,1.26E-03,7.02000702000702E-07,7.02000702000702E-07,0,0,0.997497595998596
0.593438493395855,2.92E+18,1491,840671200000,1.24E-03,1.26E-03,6.84697021567956E-07,6.84697021567956E-07,0,0,0.997497630605957
0.551096017133679,2.80E+18,1446,640138600000,1.24E-03,1.26E-03,7.15051841258491E-07,7.15051841258491E-07,0,0,0.997497569896317
0.439897980589292,2.59E+18,1246,297486800000,1.65E-03,1.25E-03,7.71902740254728E-07,7.71902740254728E-07,0,0,0.997098456194519
0.413554130759931,2.53E+18,1202,260150400000,1.65E-03,1.25E-03,7.92079207920792E-07,7.92079207920792E-07,0,0,0.997098415841584
0.44494366664456,2.60E+18,1254,293873600000,1.65E-03,1.25E-03,7.68049155145929E-07,7.68049155145929E-07,0,0,0.99709846390169
0.508503777367876,2.74E+18,1362,305315400000,1.65E-03,1.25E-03,7.2992700729927E-07,7.2992700729927E-07,0,0,0.997098540145985
0.425783413056995,2.60E+18,1200,257741600000,2.45E-03,2.50E-03,7.68049155145929E-07,7.68049155145929E-07,0,0,0.99504846390169
0.460796631765112,2.64E+18,1280,377579400000,2.45E-03,2.50E-03,7.57002271006813E-07,7.57002271006813E-07,0,0,0.995048485995458
0.483589970075648,2.70E+18,1313,357706800000,2.55E-03,2.50E-03,7.39918608953015E-07,7.39918608953015E-07,0,0,0.994948520162782
0.448086353740933,2.64E+18,1248,304713200000,2.55E-03,2.50E-03,7.59013282732448E-07,7.59013282732448E-07,0,0,0.994948481973434
