Pressure,Density,Temperature,k1,H2O,H,Ar
0.0143815847,2E+018,1403,48786300000,0.01,1E-06,0.989998998998999
0.0137368476,1.88E+018,1387,39751800000,0.01,1.06553010122536E-06,0.989998934469899
0.0137631634,1.94E+018,1476,104800200000,0.01,1.02880658436214E-06,0.989998971193416
0.0140131635,1.96E+018,1434,66855300000,0.01,1.02040816326531E-06,0.989998979591837
0.0137763213,1.96E+018,1483,113834700000,0.01,1.02040816326531E-06,0.989998979591837
0.0138421108,2.03E+018,1493,106607100000,0.01,9.85221674876848E-07,0.989999014778325
0.0136710581,1.97E+018,1468,118050800000,0.01,1.01781170483461E-06,0.989998982188295
0.0138552687,2.04E+018,1560,202372800000,0.01,9.79431929480901E-07,0.989999020568071
0.013815795,2.03E+018,1564,145154300000,0.01,9.86193293885602E-07,0.989999013806706
0.0135657949,2.02E+018,1599,212009600000,0.01,9.89119683481701E-07,0.989999010880316
0.0142500057,1.95E+018,1366,35535700000,0.01,1.02511532547412E-06,0.989998974884674
0.0135789528,2E+018,1606,308979900000,0.005,1E-06,0.994999
0.0137894792,1.96E+018,1493,159609500000,0.005,1.01988781234064E-06,0.994998980112188
0.013684216,2.01E+018,1617,260193600000,0.005,9.9403578528827E-07,0.994999005964215
0.014342111,2.07E+018,1559,118653100000,0.005,9.64320154291225E-07,0.994999035679846
0.013947374,2.09E+018,1700,266818900000,0.005,9.57854406130268E-07,0.994999042145594
0.0138815845,1.94E+018,1467,117448500000,0.005,1.03252452245741E-06,0.994998967475478
0.013684216,1.83E+018,1356,50593200000,0.005,1.09229929000546E-06,0.99499890770071
0.0138684266,2.01E+018,1591,272239600000,0.005,9.9304865938431E-07,0.99499900695134
0.0141184267,2.11E+018,1699,243931500000,0.0025,9.46521533364884E-07,0.997499053478467
0.0142894794,2.17E+018,1751,313798300000,0.0025,9.23361034164358E-07,0.997499076638966
0.0141184267,2.17E+018,1806,384267400000,0.0025,9.22934933087218E-07,0.997499077065067
0.0138026371,2.14E+018,1884,602300000000,0.0025,9.32835820895522E-07,0.997499067164179
0.0136447423,2.17E+018,2019,999818000000,0.0025,9.19963201471941E-07,0.997499080036799
0.0142631636,2.19E+018,1818,559536700000,0.0025,9.1533180778032E-07,0.997499084668192
0.0138552687,2.16E+018,1881,722760000000,0.0025,9.25497454881999E-07,0.997499074502545
0.0202236923,3.07E+018,1743,411973200000,0.0025,6.52315720808872E-07,0.997499347684279
0.0208289557,3.14E+018,1724,371619100000,0.0025,6.36334712058543E-07,0.997499363665288
0.0204868503,3.16E+018,1823,764921000000,0.0025,6.32511068943707E-07,0.997499367488931
0.0202368502,3.01E+018,1706,333674200000,0.0025,6.64010624169987E-07,0.997499335989376
0.0203026397,3.08E+018,1784,467384800000,0.0025,6.49772579597141E-07,0.99749935022742
0.0204605345,3.01E+018,1641,183701500000,0.0025,6.64672648720505E-07,0.997499335327351
0.0206052714,3.09E+018,1722,403541000000,0.0025,6.46412411118294E-07,0.997499353587589
0.0204473766,2.98E+018,1655,184906100000,0.00125,6.70690811535882E-07,0.998749329309188
0.0205921135,3.08E+018,1740,369812200000,0.00125,6.48718780408693E-07,0.99874935128122
0.0203552713,3.07E+018,1772,404143300000,0.00125,6.51465798045603E-07,0.998749348534202
0.0202368502,3.06E+018,1805,465577900000,0.00125,6.5359477124183E-07,0.998749346405229
0.0203421134,3.07E+018,1820,446906600000,0.00125,6.51041666666667E-07,0.998749348958333
0.0202894818,3.34E+018,2290,1162439000000,0.00125,5.98981731057203E-07,0.998749401018269
0.020657903,3.14E+018,1866,564355100000,0.00125,6.37755102040816E-07,0.998749362244898
0.0203552713,3.09E+018,1851,466782500000,0.00125,6.46412411118294E-07,0.998749353587589
0.0204210608,3.14E+018,1928,801059000000,0.00125,6.37348629700446E-07,0.99874936265137
0.0204736924,3.21E+018,1905,413177800000,0.00125,6.2402496099844E-07,0.998749375975039
0.020657903,3.28E+018,2015,855266000000,0.00125,6.09570252971655E-07,0.998749390429747
0.0203815871,3.09E+018,1791,366198400000,0.00125,6.47878198898607E-07,0.998749352121801
0.0201710607,3.19E+018,1960,626392000000,0.00125,6.26959247648903E-07,0.998749373040752
0.0201842186,3.17E+018,1930,502920500000,0.00125,6.30119722747322E-07,0.998749369880277
0.0207236925,3.16E+018,1798,360175400000,0.00125,6.33111744222855E-07,0.998749366888256
0.0210000084,3.16E+018,1741,275853400000,0.00125,6.32911392405063E-07,0.998749367088608
0.0204473766,3.26E+018,2068,969703000000,0.00125,6.13308800981294E-07,0.998749386691199
0.0207236925,3.21E+018,1941,601095400000,0.00125,6.2363579669473E-07,0.998749376364203
0.0204079029,3.39E+018,2297,2059866000000,0.001,5.89796520200531E-07,0.99899941020348
0.0204210608,3.16E+018,1903,722760000000,0.001,6.32111251580278E-07,0.998999367888748
0.0201842186,3.15E+018,1948,734806000000,0.001,6.34115409004439E-07,0.998999365884591
0.0203684292,3.07E+018,1766,461964100000,0.001,6.521030322791E-07,0.998999347896968
0.020657903,3.24E+018,1969,680599000000,0.001,6.17093489663684E-07,0.99899938290651
0.0209473768,3.49E+018,2278,2041797000000,0.001,5.7372346528973E-07,0.998999426276535
0.0204210608,3.17E+018,1916,813105000000,0.001,6.30517023959647E-07,0.998999369482976
0.0209342189,3.26E+018,1931,825151000000,0.001,6.13308800981294E-07,0.998999386691199
0.020394745,2.72E+018,1306,36740300000,0.01,7.35294117647059E-07,0.989999264705882
0.0203157976,2.68E+018,1284,36740300000,0.01,7.45434215430488E-07,0.989999254565785
0.0206315872,2.67E+018,1249,26501200000,0.01,7.50187546886722E-07,0.989999249812453
0.0206842188,2.68E+018,1252,30115000000,0.01,7.47384155455904E-07,0.989999252615844
0.020657903,2.76E+018,1337,51195500000,0.01,7.23850886717336E-07,0.989999276149113
0.0204473766,2.77E+018,1383,77696700000,0.01,7.21500721500722E-07,0.989999278499279
0.0203289555,2.8E+018,1428,85526600000,0.01,7.13266761768901E-07,0.989999286733238
0.0205657977,2.9E+018,1491,87333500000,0.01,6.89417442261289E-07,0.989999310582558
0.0204868503,2.82E+018,1420,92151900000,0.01,7.0997515086972E-07,0.989999290024849
0.0208552715,2.85E+018,1396,65650700000,0.005,7.02247191011236E-07,0.994999297752809
0.0203815871,2.78E+018,1392,56616200000,0.005,7.19683339330695E-07,0.994999280316661
0.0204342187,2.78E+018,1430,78299000000,0.005,7.18648939992814E-07,0.99499928135106
0.0204342187,2.75E+018,1399,63843800000,0.005,7.27008360596147E-07,0.994999272991639
0.0204210608,2.88E+018,1534,170450900000,0.005,6.93962526023595E-07,0.994999306037474
0.0200526396,2.83E+018,1474,85526600000,0.005,7.06713780918728E-07,0.994999293286219
0.0209473768,3.01E+018,1531,136119800000,0.005,6.6423115244105E-07,0.994999335768848
0.0208684294,3E+018,1544,230680900000,0.005,6.6711140760507E-07,0.994999332888592
0.0209079031,2.94E+018,1492,142142800000,0.005,6.80503572643756E-07,0.994999319496427
0.0201842186,2.82E+018,1471,113232400000,0.005,7.097232079489E-07,0.994999290276792
0.0201579028,2.94E+018,1610,234897000000,0.005,6.8073519400953E-07,0.994999319264806
0.0200526396,2.92E+018,1605,276455700000,0.005,6.85166152792052E-07,0.994999314833847
0.0203684292,2.8E+018,1425,85526600000,0.005,7.15051841258491E-07,0.994999284948159
0.0209736926,2.94E+018,1469,99981800000,0.0025,6.79578661230037E-07,0.997499320421339
0.0206710609,2.93E+018,1496,136119800000,0.0025,6.83526999316473E-07,0.997499316473001
0.0205526398,3.03E+018,1634,267421200000,0.0025,6.59848234905972E-07,0.997499340151765
0.020394745,2.94E+018,1549,245136100000,0.0025,6.81198910081744E-07,0.99749931880109
0.0204605345,3.01E+018,1621,228874000000,0.0025,6.6511473229132E-07,0.997499334885268
0.0207500083,3.1E+018,1678,449315800000,0.0025,6.45994832041344E-07,0.997499354005168
0.0206184293,3.06E+018,1658,272841900000,0.0025,6.5359477124183E-07,0.997499346405229
0.0402105424,5.14E+018,1325,40354100000,0.005,3.88878086719813E-07,0.994999611121913
0.0399342265,5.17E+018,1340,46979400000,0.005,3.8677238445175E-07,0.994999613227616
0.0404342267,5.28E+018,1369,68059900000,0.005,3.79075056861259E-07,0.994999620924943
0.0398158054,5.3E+018,1417,84322000000,0.005,3.77145012257213E-07,0.994999622854988
0.0400526476,5.45E+018,1429,65048400000,0.005,3.67174591518267E-07,0.994999632825408
0.0400394897,5.17E+018,1333,65048400000,0.005,3.86847195357834E-07,0.994999613152805
0.0401184371,4.99E+018,1246,30717300000,0.005,4.0048057669203E-07,0.994999599519423
