Time,H2O_ppm,Relative_Uncertainty,W
1.33779604749096E-12,1.54796904714707E-16,0.05,1E-10
7.09267231040527E-09,4.3396979218575E-09,0.05,1E-10
2.85965930118544E-08,4.39677769829176E-08,0.05,1E-10
5.01005137133036E-08,1.18713670839742E-07,0.05,1E-10
7.16044344147528E-08,2.31274315739563E-07,0.05,1E-10
9.31083551162019E-08,3.82359278440654E-07,0.05,1E-10
1.4499906983802E-07,9.05091602986071E-07,0.05,1E-10
1.96889784559837E-07,1.64888805334062E-06,0.05,1E-10
2.48780499281655E-07,2.61027210589882E-06,0.05,1E-10
3.00671214003473E-07,3.78558594460446E-06,0.05,1E-10
3.5256192872529E-07,5.17116555026004E-06,0.05,1E-10
4.33567463640135E-07,7.74698197222566E-06,0.05,1E-10
5.1457299855498E-07,1.08143469879666E-05,0.05,1E-10
5.95578533469824E-07,1.43590549700181E-05,0.05,1E-10
6.76584068384669E-07,1.83678711492953E-05,0.05,1E-10
7.57589603299513E-07,2.28288108079125E-05,0.05,1E-10
8.38595138214358E-07,2.77305079883866E-05,0.05,1E-10
9.19600673129203E-07,3.30618133042323E-05,0.05,1E-10
1.00060620804405E-06,3.88117819432923E-05,0.05,1E-10
1.24478330629445E-06,5.8573485882817E-05,0.05,1E-10
1.48896040454485E-06,8.17760472628178E-05,0.05,1E-10
1.73313750279525E-06,0.000108170384566,0.05,1E-10
1.97731460104565E-06,0.000137533016645,0.05,1E-10
2.22149169929605E-06,0.000169663785005,0.05,1E-10
2.46566879754645E-06,0.000204381054998,0.05,1E-10
2.70984589579685E-06,0.000241518660982,0.05,1E-10
2.95402299404725E-06,0.000280924584117,0.05,1E-10
3.19820009229765E-06,0.000322460063478,0.05,1E-10
3.44268056489168E-06,0.000366053764792,0.05,1E-10
3.68716103748571E-06,0.000411539185975,0.05,1E-10
3.93164151007974E-06,0.000458809845913,0.05,1E-10
4.17612198267377E-06,0.000507767974849,0.05,1E-10
4.4206024552678E-06,0.00055832367309,0.05,1E-10
4.84785982531642E-06,0.000650265970496,0.05,1E-10
5.27511719536504E-06,0.000746441161446,0.05,1E-10
5.70237456541366E-06,0.00084650476285,0.05,1E-10
6.12963193546228E-06,0.000950154674091,0.05,1E-10
6.5568893055109E-06,0.001057123754783,0.05,1E-10
6.98414667555953E-06,0.001167175363552,0.05,1E-10
7.41140404560815E-06,0.00128009984061,0.05,1E-10
7.83866141565677E-06,0.001395710648324,0.05,1E-10
8.26591878570539E-06,0.001513840667235,0.05,1E-10
8.69317615575401E-06,0.001634339415854,0.05,1E-10
9.12043352580263E-06,0.001757071117254,0.05,1E-10
9.54769089585125E-06,0.001881913063785,0.05,1E-10
9.97494826589987E-06,0.002008754014508,0.05,1E-10
1.04022056359485E-05,0.00213749274899,0.05,1E-10
1.08294630059971E-05,0.002268036920824,0.05,1E-10
1.12567203760457E-05,0.00240030215889,0.05,1E-10
1.19624975089882E-05,0.002622354972055,0.05,1E-10
1.24589923818988E-05,0.002781082826591,0.05,1E-10
1.29554872548094E-05,0.002941781341006,0.05,1E-10
1.34519821277201E-05,0.003104363590975,0.05,1E-10
1.39484770006307E-05,0.003268750621983,0.05,1E-10
1.44449718735414E-05,0.003434870621135,0.05,1E-10
1.4941466746452E-05,0.003602658236278,0.05,1E-10
1.57890696750134E-05,0.003892787313267,0.05,1E-10
1.66366726035749E-05,0.00418734469782,0.05,1E-10
1.74842755321363E-05,0.004486107711221,0.05,1E-10
1.83318784606977E-05,0.004788886694746,0.05,1E-10
1.91794813892591E-05,0.005095520630072,0.05,1E-10
2.00270843178205E-05,0.005405873165622,0.05,1E-10
2.08746872463819E-05,0.005719829081903,0.05,1E-10
2.23654678594425E-05,0.0062804783067,0.05,1E-10
2.38562484725031E-05,0.006851570091188,0.05,1E-10
2.53470290855637E-05,0.007432808557496,0.05,1E-10
2.68378096986244E-05,0.008023991462547,0.05,1E-10
2.8328590311685E-05,0.008624991991424,0.05,1E-10
2.98193709247456E-05,0.009235742192463,0.05,1E-10
3.13101515378062E-05,0.009856219088708,0.05,1E-10
3.28009321508668E-05,0.010486434964539,0.05,1E-10
3.42917127639274E-05,0.011126430791892,0.05,1E-10
3.5782493376988E-05,0.011776270882565,0.05,1E-10
3.72732739900486E-05,0.01243603808815,0.05,1E-10
3.87640546031092E-05,0.013105829930894,0.05,1E-10
4.14188328831514E-05,0.014323763669495,0.05,1E-10
4.40736111631935E-05,0.015574534501468,0.05,1E-10
4.67283894432357E-05,0.016858905364139,0.05,1E-10
4.93831677232779E-05,0.018177695377261,0.05,1E-10
5.203794600332E-05,0.019531771830967,0.05,1E-10
5.46927242833622E-05,0.020922041165977,0.05,1E-10
5.73475025634043E-05,0.022349441596326,0.05,1E-10
6.16316452720119E-05,0.024733686342522,0.05,1E-10
6.59157879806194E-05,0.027221387446216,0.05,1E-10
7.0199930689227E-05,0.029816964150208,0.05,1E-10
7.44840733978346E-05,0.032525036396784,0.05,1E-10
7.87682161064421E-05,0.035350430797442,0.05,1E-10
8.52939690731942E-05,0.039891053102787,0.05,1E-10
9.18197220399462E-05,0.044734378955336,0.05,1E-10
9.83454750066982E-05,0.049900399748111,0.05,1E-10
0.000104871227973,0.0554104312835,0.05,1E-10
0.00011139698094,0.061287201597811,0.05,1E-10
0.000117922733907,0.067554941632653,0.05,1E-10
0.000124448486874,0.074239484676804,0.05,1E-10
0.00013097423984,0.081368375005466,0.05,1E-10
0.000137499992807,0.088970982930382,0.05,1E-10
0.000144025745774,0.097078625975718,0.05,1E-10
0.000150551498741,0.105724698431269,0.05,1E-10
0.000157077251707,0.114944810706178,0.05,1E-10
0.000163603004674,0.124776938262537,0.05,1E-10
0.000170128757641,0.135261580082294,0.05,1E-10
0.000176654510608,0.146441927716421,0.05,1E-10
0.000183180263574,0.15836404618654,0.05,1E-10
0.000189706016541,0.171077067468474,0.05,1E-10
0.000196231769508,0.184633397100717,0.05,1E-10
0.000202757522475,0.199088934830291,0.05,1E-10
0.000209283275441,0.214503310502701,0.05,1E-10
0.000215809028408,0.230940136346668,0.05,1E-10
0.000222334781375,0.248467276711651,0.05,1E-10
0.000228860534342,0.267157136445898,0.05,1E-10
0.000235386287308,0.287086969313041,0.05,1E-10
0.000241912040275,0.308339207946066,0.05,1E-10
0.000248437793242,0.331001816875942,0.05,1E-10
0.000254963546209,0.355168670273743,0.05,1E-10
0.000261489299175,0.380939956210664,0.05,1E-10
0.000268015052142,0.408422609392443,0.05,1E-10
0.000274540805109,0.437730774455069,0.05,1E-10
0.000281066558076,0.4689863020492,0.05,1E-10
0.000287592311043,0.502319280112076,0.05,1E-10
0.000294118064009,0.53786860291777,0.05,1E-10
0.000300643816976,0.57578258069033,0.05,1E-10
0.000307169569943,0.616219592761242,0.05,1E-10
0.00031369532291,0.659348787467489,0.05,1E-10
0.000320221075876,0.705350832222839,0.05,1E-10
0.000326746828843,0.754418717443758,0.05,1E-10
0.00033327258181,0.806758618268601,0.05,1E-10
0.000339798334777,0.862590818279161,0.05,1E-10
0.000346324087743,0.922150699715378,0.05,1E-10
0.00035284984071,0.985689804999098,0.05,1E-10
0.000359375593677,1.05347697464911,0.05,1E-10
0.000365901346644,1.12579956700186,0.05,1E-10
