Pressure,Density,Temperature,k1,H2,O,He
0.014210526,2.23E+18,2024,5.18E+12,1.80E-04,8.98E-07,0.999819102
0.013868421,2.18E+18,2043,5.38E+12,1.80E-04,9.16E-07,0.999819084
0.013973684,2.23E+18,2117,6.03E+12,1.80E-04,8.96E-07,0.999819104
0.013710526,2.33E+18,2495,1.30E+13,1.80E-04,8.58E-07,0.999819142
0.013921053,2.32E+18,2347,9.06E+12,1.80E-04,8.64E-07,0.999819136
0.013592105,2.17E+18,2106,7.33E+12,3.78E-04,9.23E-07,0.999621577
0.014026316,2.25E+18,2146,7.46E+12,3.78E-04,8.87E-07,0.999621613
0.014394737,2.25E+18,1961,6.37E+12,3.78E-04,8.90E-07,0.99962161
0.014078947,2.17E+18,1887,4.70E+12,3.78E-04,9.23E-07,0.999621577
0.013473684,2.05E+18,1841,4.17E+12,3.78E-04,9.74E-07,0.999621526
0.014078947,2.14E+18,1836,4.46E+12,6.25E-04,9.33E-07,0.999374067
0.013684211,2.06E+18,1723,2.63E+12,6.25E-04,9.71E-07,0.999374029
0.013447368,2.00E+18,1699,2.72E+12,6.25E-04,9.99E-07,0.999374001
0.013631579,1.94E+18,1542,1.92E+12,6.25E-04,1.03E-06,0.99937397
0.013618421,1.99E+18,1651,2.78E+12,6.25E-04,1.00E-06,0.999373996
0.013868421,1.57E+18,1057,3.16E+11,4.04E-03,1.27E-06,0.995960727
0.013894737,1.50E+18,991,2.03E+11,4.04E-03,1.33E-06,0.995960666
0.013526316,1.60E+18,1125,3.82E+11,4.04E-03,1.25E-06,0.99596075
0.013565789,1.67E+18,1195,5.24E+11,4.04E-03,1.20E-06,0.995960803
0.013921053,1.73E+18,1210,5.67E+11,4.04E-03,1.16E-06,0.995960843
0.013776316,1.78E+18,1289,7.23E+11,4.04E-03,1.12E-06,0.995960876
0.013486842,1.75E+18,1304,8.91E+11,4.04E-03,1.14E-06,0.995960859
0.013881579,1.38E+18,879,1.01E+11,4.04E-03,1.45E-06,0.99596055
0.013986842,1.72E+18,1194,5.22E+11,5.57E-03,1.17E-06,0.994425834
0.013421053,1.60E+18,1113,4.10E+11,5.57E-03,1.25E-06,0.994425747
