Reaction,temperature,pressure,M,k,ln_unc_k,W
2 OH <=> H2O + O,360,0,0,771000000000,0.693147181,0.377964473
2 OH <=> H2O + O,340,0,0,777000000000,0.693147181,0.377964473
2 OH <=> H2O + O,320,0,0,807000000000,0.693147181,0.377964473
2 OH <=> H2O + O,299,0,0,843000000000,0.693147181,0.377964473
2 OH <=> H2O + O,273,0,0,957000000000,0.693147181,0.377964473
2 OH <=> H2O + O,253,0,0,939000000000,0.693147181,0.377964473
2 OH <=> H2O + O,233,0,0,1050000000000,0.693147181,0.377964473
2 OH <=> H2O + O,1050,0.217,0,1950000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1069,0.215,0,1850000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1103,0.205,0,1700000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1105,0.365,0,1850000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1118,0.205,0,2150000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1183,0.202,0,2000000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1198,0.421,0,1950000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1228,0.219,0,2350000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1248,0.182,0,2200000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1256,0.183,0,2400000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1300,0.439,0,2010000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1398,0.305,0,2450000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1416,0.405,0,2550000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1494,0.397,0,2660000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1591,0.363,0,2950000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1592,0.364,0,3100000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1644,0.602,0,3100000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1650,0.34,0,3350000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1684,0.253,0,3650000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1750,0.227,0,3850000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1861,0.287,0,4950000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1902,0.292,0,4750000000000,0.693147181,0.19245009
2 OH <=> H2O + O,2013,0.322,0,4720000000000,0.693147181,0.19245009
2 OH <=> H2O + O,2189,0.217,0,6400000000000,0.693147181,0.19245009
2 OH <=> H2O + O,2265,0.286,0,7320000000000,0.693147181,0.19245009
2 OH <=> H2O + O,2352,0.196,0,7500000000000,0.693147181,0.19245009
2 OH <=> H2O + O,2384,0.182,0,8500000000000,0.693147181,0.19245009
2 OH <=> H2O + O,1176,1.81,0,1700000000000,0.693147181,1E-10
2 OH <=> H2O + O,1233,1.746,0,1900000000000,0.693147181,1E-10
2 OH <=> H2O + O,1344,1.974,0,2000000000000,0.693147181,1E-10
2 OH <=> H2O + O,1277,2.02,0,2000000000000,0.693147181,1E-10
2 OH <=> H2O + O,1317,2.011,0,2100000000000,0.693147181,1E-10
2 OH <=> H2O + O,1374,1.945,0,2200000000000,0.693147181,1E-10
2 OH <=> H2O + O,1398,1.909,0,2300000000000,0.693147181,1E-10
2 OH <=> H2O + O,1424,1.868,0,2200000000000,0.693147181,1E-10
2 OH <=> H2O + O,1123,0,0,1570000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1123,0,0,1480000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1123,0,0,1430000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1123,0,0,1580000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1123,0,0,1630000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1123,0,0,1510000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1123,0,0,1520000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1123,0,0,1520000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1123,0,0,1580000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1090,0,0,1360000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1091,0,0,1370000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1090,0,0,1360000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1090,0,0,1290000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1090,0,0,1410000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1090,0,0,1360000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1091,0,0,1390000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1054,0,0,1280000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1054,0,0,1240000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1053,0,0,1390000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1053,0,0,1210000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1053,0,0,1370000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1615,0,0,2280000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1683,0,0,2810000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1843,0,0,3240000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1899,0,0,2350000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1933,0,0,3130000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1935,0,0,3270000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1954,0,0,2120000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1983,0,0,3140000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1997,0,0,2580000000000,0.693147181,0.098058068
2 OH <=> H2O + O,2001,0,0,3520000000000,0.693147181,0.098058068
2 OH <=> H2O + O,2031,0,0,3020000000000,0.693147181,0.098058068
2 OH <=> H2O + O,2033,0,0,2940000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1534,0,0,2520000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1627,0,0,1580000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1690,0,0,1740000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1694,0,0,2410000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1744,0,0,2230000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1775,0,0,1620000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1852,0,0,3130000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1887,0,0,4050000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1897,0,0,2930000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1975,0,0,2240000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1995,0,0,3160000000000,0.693147181,0.098058068
2 OH <=> H2O + O,2010,0,0,2420000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1623,0,0,1560000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1757,0,0,1820000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1890,0,0,3130000000000,0.693147181,0.098058068
2 OH <=> H2O + O,2016,0,0,2160000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1698,0,0,2080000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1704,0,0,2170000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1743,0,0,2420000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1767,0,0,2570000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1773,0,0,2550000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1778,0,0,2310000000000,0.693147181,0.098058068
2 OH <=> H2O + O,1805,0,0,2850000000000,0.693147181,0.098058068
