Time,OH_ppm
1.99E-15,2.62E-08
1.90E-11,0.000250771
7.86E-11,0.001039096
1.38E-10,0.001827409
1.98E-10,0.00261571
2.58E-10,0.003403997
3.83E-10,0.00506796
6.13E-10,0.008095856
1.02E-09,0.013465057
1.75E-09,0.023066114
3.25E-09,0.042898562
4.75E-09,0.062722442
6.25E-09,0.082537759
8.59E-09,0.113348609
1.09E-08,0.144138753
1.33E-08,0.174908205
1.56E-08,0.20565698
1.99E-08,0.262707602
2.43E-08,0.319687041
2.86E-08,0.376595384
3.59E-08,0.471950975
4.84E-08,0.635553915
6.10E-08,0.79856797
7.35E-08,0.960995229
8.60E-08,1.122837774
1.07E-07,1.396702923
1.29E-07,1.668893531
1.50E-07,1.939419686
1.71E-07,2.208291407
1.93E-07,2.475518649
2.14E-07,2.74111131
2.35E-07,3.005079222
2.69E-07,3.426085812
3.04E-07,3.842958328
3.69E-07,4.631997602
4.35E-07,5.406218834
5.01E-07,6.165895171
5.67E-07,6.911294607
6.33E-07,7.642680094
7.39E-07,8.797183975
8.45E-07,9.916731387
9.52E-07,11.00235664
1.06E-06,12.05506283
1.16E-06,13.07582284
1.27E-06,14.06558031
1.38E-06,15.0252505
1.48E-06,15.95572125
1.59E-06,16.85785381
1.70E-06,17.73248365
1.80E-06,18.58042129
1.91E-06,19.40245306
2.02E-06,20.19934187
2.12E-06,20.97182789
2.23E-06,21.7206293
2.34E-06,22.44644293
2.44E-06,23.14994496
2.55E-06,23.8317915
2.65E-06,24.49261924
2.76E-06,25.13304602
2.87E-06,25.75367143
2.97E-06,26.35507735
3.08E-06,26.93782847
3.19E-06,27.50247286
3.29E-06,28.04954241
3.40E-06,28.57955338
3.51E-06,29.09300681
3.61E-06,29.59038904
3.77E-06,30.30781711
3.93E-06,30.99163577
4.09E-06,31.64331588
4.25E-06,32.2642641
4.41E-06,32.85582567
4.57E-06,33.41928715
4.73E-06,33.95587907
4.89E-06,34.46677833
5.05E-06,34.95311064
5.21E-06,35.4159527
5.37E-06,35.85633443
5.53E-06,36.27524093
5.69E-06,36.67361455
5.85E-06,37.05235666
6.01E-06,37.41232953
6.17E-06,37.75435798
6.33E-06,38.07923102
6.49E-06,38.38770344
6.65E-06,38.68049727
6.81E-06,38.95830324
6.97E-06,39.22178209
7.13E-06,39.47156593
7.29E-06,39.70825942
7.45E-06,39.93244104
7.61E-06,40.14466415
7.77E-06,40.34545811
7.93E-06,40.53532935
8.09E-06,40.7147623
8.25E-06,40.88422041
8.41E-06,41.04414699
8.57E-06,41.19496615
8.72E-06,41.33708357
8.88E-06,41.47088734
9.04E-06,41.59674871
9.20E-06,41.7150228
9.36E-06,41.82604931
9.52E-06,41.9301532
9.68E-06,42.02764532
9.92E-06,42.16231738
1.02E-05,42.28369154
1.04E-05,42.39265987
1.06E-05,42.49005688
1.09E-05,42.57666307
1.11E-05,42.65320851
1.14E-05,42.72037604
1.16E-05,42.77880432
1.18E-05,42.82909069
1.21E-05,42.87179381
1.23E-05,42.90743613
1.26E-05,42.93650625
1.28E-05,42.95946108
1.30E-05,42.97672791
1.33E-05,42.98870627
1.35E-05,42.99576977
1.38E-05,42.99826771
1.40E-05,42.99652672
1.42E-05,42.99085215
1.45E-05,42.98152952
1.47E-05,42.9688257
1.50E-05,42.95299021
1.52E-05,42.93425629
1.54E-05,42.91284193
1.57E-05,42.88895093
1.59E-05,42.86277372
1.62E-05,42.83448831
1.64E-05,42.80426104
1.66E-05,42.77224733
1.69E-05,42.73859243
1.71E-05,42.70343203
1.74E-05,42.66689291
1.76E-05,42.62909348
1.78E-05,42.59014436
1.81E-05,42.55014887
1.83E-05,42.50920347
1.87E-05,42.44607714
1.90E-05,42.38128813
1.94E-05,42.31508964
1.98E-05,42.24770987
2.01E-05,42.17935442
2.05E-05,42.1102084
2.08E-05,42.04043841
2.12E-05,41.97019435
2.16E-05,41.89961096
2.19E-05,41.82880929
2.23E-05,41.75789795
2.27E-05,41.68697437
2.30E-05,41.61612582
2.34E-05,41.54543037
2.37E-05,41.47495779
2.41E-05,41.40477032
2.45E-05,41.3349234
2.48E-05,41.2654663
2.52E-05,41.19644273
2.55E-05,41.12789136
2.59E-05,41.05984628
2.63E-05,40.99233746
2.66E-05,40.92539114
2.70E-05,40.85903019
2.73E-05,40.79327442
2.77E-05,40.72814086
2.82E-05,40.63085705
2.88E-05,40.53506963
2.93E-05,40.44080925
2.99E-05,40.34809787
3.04E-05,40.25694999
3.10E-05,40.16737371
3.15E-05,40.07937174
3.21E-05,39.99294214
3.26E-05,39.90807905
3.32E-05,39.82477327
3.37E-05,39.74301276
3.42E-05,39.66278311
3.48E-05,39.58406792
3.53E-05,39.50684912
3.59E-05,39.43110727
3.64E-05,39.3568218
3.70E-05,39.28397121
3.75E-05,39.2125333
3.81E-05,39.14248526
3.89E-05,39.03878808
3.97E-05,38.93815564
4.05E-05,38.84050462
4.14E-05,38.74575146
4.22E-05,38.65381278
4.30E-05,38.56460584
4.39E-05,38.47804885
4.47E-05,38.39406121
4.55E-05,38.31256374
4.63E-05,38.23347873
4.72E-05,38.15673015
4.80E-05,38.08224366
4.88E-05,38.00994673
4.97E-05,37.93976859
5.05E-05,37.87164036
5.17E-05,37.77286331
5.30E-05,37.67835376
5.42E-05,37.58790059
5.55E-05,37.50130188
5.67E-05,37.41836471
5.79E-05,37.33890491
5.92E-05,37.26274682
6.04E-05,37.18972301
6.17E-05,37.11967398
6.29E-05,37.05244788
6.42E-05,36.98790019
6.54E-05,36.92589344
6.74E-05,36.8340043
6.93E-05,36.74750865
7.12E-05,36.66597805
7.32E-05,36.58901718
7.51E-05,36.51626146
7.71E-05,36.44737485
7.90E-05,36.38204773
8.09E-05,36.3199949
8.29E-05,36.26095373
8.48E-05,36.20468245
8.68E-05,36.15095852
8.87E-05,36.09957713
9.07E-05,36.05034979
9.26E-05,36.00310309
9.45E-05,35.95767745
9.65E-05,35.91392606
9.84E-05,35.8717138
0.000100354,35.83091639
0.000102295,35.79141945
0.000104236,35.75311772
0.000106177,35.71591433
0.000108117,35.67972014
0.000110058,35.64445309
0.000111999,35.61003763
0.00011394,35.57640423
0.000115881,35.54348885
0.000117821,35.51123251
0.000119762,35.4795809
0.000121703,35.448484
0.000123644,35.41789571
0.000125585,35.38777357
0.000127525,35.35807844
0.000129466,35.32877426
0.000131407,35.29982778
0.000133348,35.27120835
0.000135288,35.24288771
0.000137229,35.2148398
0.00013917,35.18704059
0.000141111,35.1594679
0.000143052,35.13210129
0.000144992,35.10492188
0.000146933,35.07791228
0.000148874,35.05105642
0.000150815,35.02433947
0.000152756,34.99774775
0.000154696,34.97126863
0.000156637,34.94489046
0.000158578,34.91860249
0.000160519,34.89239477
0.00016246,34.86625815
0.0001644,34.84018417
0.000167334,34.80087939
0.000170267,34.7616756
0.0001732,34.72255116
0.000176133,34.68348694
0.000179066,34.644466
0.000182,34.60547336
0.000184933,34.56649577
0.000187866,34.52752152
0.000190799,34.48854028
0.000193732,34.44954295
0.000196665,34.41052151
0.000199599,34.37146891
0.000202532,34.33237897
0.000205465,34.29324628
0.000208398,34.25406612
0.000211331,34.21483438
0.000214265,34.17554751
0.000217198,34.13620244
0.000220131,34.09679653
0.000223064,34.05732754
0.000225997,34.0177936
0.000230454,33.95759307
0.000234911,33.89723467
0.000239368,33.8367153
0.000243826,33.77603298
0.000248283,33.71518661
0.00025274,33.65417587
0.000257197,33.59300108
0.000261654,33.53166307
0.000266111,33.47016317
0.000270568,33.4085031
0.000275025,33.3466849
0.000279482,33.28471085
0.000283939,33.22258351
0.000288396,33.16030561
0.000292853,33.09788007
0.00029731,33.03530989
0.000304149,32.9390284
0.000310988,32.84242559
0.000317827,32.74551361
0.000324666,32.64830481
0.000331504,32.55081176
0.000338343,32.4530472
0.000345182,32.35502391
0.000352021,32.25675454
0.00035886,32.15825171
0.000365699,32.05952819
0.000372538,31.9605968
0.000379377,31.86147004
0.000386215,31.76215995
0.000393054,31.66267887
0.000399893,31.56303957
0.000406732,31.463254
0.000413571,31.36333345
0.00042041,31.26328988
0.000427249,31.16313576
0.000434088,31.06288256
0.000439065,30.98985382
0.000444043,30.91678262
0.000449021,30.84367358
0.000453999,30.77053102
0.000458977,30.69735901
0.000463955,30.6241617
0.000468933,30.55094336
0.000473911,30.47770815
0.000478889,30.4044601
0.000483866,30.33120324
0.000488844,30.25794162
0.000493822,30.18467925
0.0004988,30.11142003
0.000503778,30.03816784
0.000508756,29.96492657
0.000513734,29.89170009
0.000518712,29.81849214
0.00052369,29.74530647
0.000528667,29.6721468
0.000536404,29.55850858
0.00054414,29.44495577
0.000551876,29.33150172
0.000559612,29.21815958
0.000567348,29.10494243
0.000575085,28.99186314
0.000582821,28.87893425
0.000590557,28.76616801
0.000598293,28.65357666
0.00060603,28.54117242
0.000613766,28.42896703
0.000621502,28.31697169
0.000629238,28.20519776
0.000636974,28.09365697
0.000644711,27.98236054
0.000652447,27.87131848
0.00065778,27.79491601
0.000663114,27.71864312
0.000668448,27.64250344
0.000673781,27.56649992
0.000679115,27.49063563
0.000684448,27.41491413
0.000689782,27.33933874
0.000695115,27.2639123
0.000700449,27.18863792
0.000705783,27.11351896
0.000711116,27.03855856
0.00071645,26.96375938
0.000721783,26.88912406
0.000727117,26.8146559
0.00073245,26.74035813
0.000737784,26.66623333
0.000743118,26.59228394
0.000748451,26.5185128
0.000753785,26.44492283
0.000759118,26.37151668
0.000764452,26.29829681
0.000769786,26.22526575
0.000775119,26.15242613
0.000780453,26.07978049
0.000785786,26.00733127
0.00079112,25.93508084
0.000796453,25.86303157
0.000801787,25.79118584
0.000807121,25.71954592
0.000812454,25.64811408
0.000817788,25.57689251
0.000823121,25.50588341
0.000828455,25.43508891
0.000833789,25.36451111
0.000839122,25.29415206
0.000847668,25.1818839
0.000856213,25.0701906
0.000864758,24.95908
0.000873304,24.84855971
0.000881849,24.73863708
0.000890395,24.62931922
0.00089894,24.520613
0.000907486,24.41252505
0.000916031,24.30506174
0.000924577,24.1982292
0.000933122,24.09203335
0.000941668,23.98647985
0.000950213,23.88157413
0.000958759,23.77732137
0.000967304,23.67372655
0.000975849,23.57079442
0.000984395,23.46852948
0.00099294,23.36693601
0.001001486,23.26601806
