Time,H2O_ppm
1E-06,660.4578
4.06E-05,676.44763
7.03E-05,697.2279
0.00013,716.41815
0.000141,732.4
0.000165,748.38513
0.000201,765.9712
0.000225,781.95624
0.000266,804.3375
0.000302,817.13
0.000331,831.5188
0.000367,842.7134
0.000391,858.6984
0.000426,871.4909
0.000462,892.2727
0.000498,906.6631
0.000545,929.04596
0.000563,935.4422
0.000593,949.83093
0.000652,962.62976
0.000688,981.8137
0.000717,997.80035
0.000759,1015.388
0.000806,1028.1837
0.000848,1047.3693
0.00089,1056.9675
0.000925,1063.3685
0.000985,1084.1567
0.001032117,1098.5502
0.001067743,1112.9406
0.001121214,1125.7378
0.001174685,1138.535
0.001222216,1149.7328
0.001275687,1162.53
0.001335105,1175.3289
0.001376695,1184.9271
0.001418261,1200.9169
0.001483625,1213.7173
0.001513334,1220.1167
0.001548983,1228.1156
0.00162624,1240.9192
0.00168567,1250.5222
0.001745099,1260.1252
0.001786689,1269.7236
0.001828285,1277.724
0.00188178,1284.1298
0.001947144,1296.9302
0.002012526,1304.9369
0.002054127,1311.3395
0.002095735,1316.1442
0.00214923,1322.5499
0.002226493,1333.7556
0.002333476,1348.165
0.002428596,1354.5818
0.002523693,1367.3901
0.002589074,1375.3969
0.002648521,1380.2063
0.002713903,1388.2131
0.002773356,1391.4247
0.002850643,1396.2389
0.002927912,1405.8467
0.003017091,1410.6641
0.003106253,1420.275
0.00320139,1421.8983
0.003296505,1429.913
0.003385672,1437.9261
0.003451084,1437.9435
0.003510531,1442.7529
0.003546198,1445.9583
0.003605657,1447.5719
0.00369483,1453.9872
0.003778081,1454.0093
0.003891052,1457.2351
0.003980232,1462.0525
0.004099143,1466.8778
0.004235894,1471.7079
0.004319139,1473.3279
0.004438057,1476.5553
0.004562898,1486.1758
0.004652089,1487.7974
0.004741286,1487.8212
0.004854269,1487.8513
0.004985086,1489.484
0.005145623,1494.3203
0.005252648,1497.5446
0.005347786,1499.1678
0.005460769,1499.1979
0.005549954,1502.4174
0.005603472,1502.4316
0.005686723,1502.4539
0.005769968,1504.0739
0.005888885,1507.3013
