Time,OH_ppm,Relative_Uncertainty,W
1.38E-05,47.82728,0.05,0.145864991497895
1.98E-05,47.389343,0.05,0.145864991497895
2.27E-05,46.289295,0.05,0.145864991497895
2.28E-05,44.967678,0.05,0.145864991497895
2.87E-05,44.30947,0.05,0.145864991497895
3.61E-05,43.872192,0.05,0.145864991497895
4.8E-05,42.115246,0.05,0.145864991497895
5.69E-05,40.797535,0.05,0.145864991497895
6.13E-05,39.918407,0.05,0.145864991497895
6.73E-05,39.260204,0.05,0.145864991497895
7.76E-05,38.383686,0.05,0.145864991497895
9.24E-05,37.949665,0.05,0.145864991497895
0.000107,37.0751,0.05,0.145864991497895
0.000128,36.643684,0.05,0.145864991497895
0.000155,36.214874,0.05,0.145864991497895
0.000168,36.00047,0.05,0.145864991497895
0.000187,35.78867,0.05,0.145864991497895
0.000212,35.35921,0.05,0.145864991497895
0.000232,34.486603,0.05,0.145864991497895
0.000245,34.492466,0.05,0.145864991497895
0.000257,34.49768,0.05,0.145864991497895
0.000271,34.504196,0.05,0.145864991497895
0.000292,34.29305,0.05,0.145864991497895
0.000314,34.082554,0.05,0.145864991497895
0.000338,32.99163,0.05,0.145864991497895
0.000363,32.562172,0.05,0.145864991497895
0.000391,31.913742,0.05,0.145864991497895
0.000425,31.047651,0.05,0.145864991497895
0.000452,31.059381,0.05,0.145864991497895
0.000485,29.311558,0.05,0.145864991497895
0.000517,29.105625,0.05,0.145864991497895
0.000545,28.457197,0.05,0.145864991497895
0.000572,28.468927,0.05,0.145864991497895
0.000604,27.381914,0.05,0.145864991497895
0.000634,27.174679,0.05,0.145864991497895
0.000662,26.96679,0.05,0.145864991497895
0.000702,25.883036,0.05,0.145864991497895
0.000726,25.673193,0.05,0.145864991497895
0.000752,25.684923,0.05,0.145864991497895
0.000772,24.812315,0.05,0.145864991497895
0.000803,24.38546,0.05,0.145864991497895
0.000823,24.174313,0.05,0.145864991497895
0.00085,23.525234,0.05,0.145864991497895
0.000869,23.533705,0.05,0.145864991497895
0.000893,22.883322,0.05,0.145864991497895
0.000927,22.457771,0.05,0.145864991497895
0.000966,21.813904,0.05,0.145864991497895
0.001002521,21.389656,0.05,0.145864991497895
