time,Absorbance_215,Relative_Uncertainty,W
2.547E-06,0.210917,0.1,0.1111111111
1.0191E-05,0.204367,0.1,0.1111111111
1.0191E-05,0.227948,0.1,0.1111111111
1.5286E-05,0.222707,0.1,0.1111111111
1.7834E-05,0.244978,0.1,0.1111111111
2.0382E-05,0.230568,0.1,0.1111111111
2.293E-05,0.248908,0.1,0.1111111111
2.8025E-05,0.247598,0.1,0.1111111111
3.0573E-05,0.265939,0.1,0.1111111111
4.586E-05,0.279039,0.1,0.1111111111
4.8407E-05,0.271179,0.1,0.1111111111
5.6051E-05,0.281659,0.1,0.1111111111
6.1146E-05,0.29345,0.1,0.1111111111
6.879E-05,0.282969,0.1,0.1111111111
7.8981E-05,0.29345,0.1,0.1111111111
8.6624E-05,0.277729,0.1,0.1111111111
9.1719E-05,0.29738,0.1,0.1111111111
9.9363E-05,0.280349,0.1,0.1111111111
0.000109554,0.28952,0.1,0.1111111111
0.000109554,0.275109,0.1,0.1111111111
0.000129936,0.269869,0.1,0.1111111111
0.000132484,0.28559,0.1,0.1111111111
0.000150318,0.271179,0.1,0.1111111111
0.000150318,0.260699,0.1,0.1111111111
0.000168153,0.269869,0.1,0.1111111111
0.000168153,0.256769,0.1,0.1111111111
0.000188535,0.258079,0.1,0.1111111111
0.000188535,0.246288,0.1,0.1111111111
0.000206369,0.248908,0.1,0.1111111111
0.000211465,0.237118,0.1,0.1111111111
0.000236942,0.238428,0.1,0.1111111111
0.000236942,0.229258,0.1,0.1111111111
0.000257325,0.230568,0.1,0.1111111111
0.000267516,0.216157,0.1,0.1111111111
0.000300637,0.218777,0.1,0.1111111111
0.000300637,0.206987,0.1,0.1111111111
0.000315923,0.214847,0.1,0.1111111111
0.000321019,0.201747,0.1,0.1111111111
0.000341401,0.205677,0.1,0.1111111111
0.000341401,0.191266,0.1,0.1111111111
0.00035414,0.203057,0.1,0.1111111111
0.000364331,0.189956,0.1,0.1111111111
0.00037707,0.189956,0.1,0.1111111111
0.000387261,0.179476,0.1,0.1111111111
0.000410191,0.180786,0.1,0.1111111111
0.000425478,0.165066,0.1,0.1111111111
0.000435668,0.175546,0.1,0.1111111111
0.000448408,0.161135,0.1,0.1111111111
0.000471338,0.157205,0.1,0.1111111111
0.000484078,0.161135,0.1,0.1111111111
0.000509558,0.144105,0.1,0.1111111111
0.000529938,0.140175,0.1,0.1111111111
0.000535028,0.148035,0.1,0.1111111111
0.000570698,0.141485,0.1,0.1111111111
0.000580888,0.131004,0.1,0.1111111111
0.000611468,0.132314,0.1,0.1111111111
0.000614008,0.125764,0.1,0.1111111111
0.000631848,0.127074,0.1,0.1111111111
0.000631848,0.116594,0.1,0.1111111111
0.000664968,0.111354,0.1,0.1111111111
0.000670068,0.121834,0.1,0.1111111111
0.000692998,0.106114,0.1,0.1111111111
0.000695538,0.113974,0.1,0.1111111111
0.000726118,0.108734,0.1,0.1111111111
0.000726118,0.100873,0.1,0.1111111111
0.000751588,0.104803,0.1,0.1111111111
0.000754138,0.0930131,0.1,0.1111111111
0.000799998,0.0930131,0.1,0.1111111111
0.000799998,0.0877729,0.1,0.1111111111
0.000828028,0.0917031,0.1,0.1111111111
0.000828028,0.0825328,0.1,0.1111111111
0.000856048,0.089083,0.1,0.1111111111
0.000868788,0.0759825,0.1,0.1111111111
0.000904458,0.0825328,0.1,0.1111111111
0.000912098,0.0694323,0.1,0.1111111111
0.000935028,0.0759825,0.1,0.1111111111
0.000950318,0.0694323,0.1,0.1111111111
0.000975798,0.0733624,0.1,0.1111111111
0.000985988,0.0641921,0.1,0.1111111111
0.001019108,0.0694323,0.1,1E-10
0.001019108,0.058952,0.1,1E-10
0.001062418,0.058952,0.1,1E-10
0.001064968,0.0655022,0.1,1E-10
0.001098088,0.058952,0.1,1E-10
0.001110828,0.0497817,0.1,1E-10
0.001123568,0.0576419,0.1,1E-10
0.001133758,0.0445415,0.1,1E-10
0.001149048,0.0550218,0.1,1E-10
0.001177068,0.0497817,0.1,1E-10
0.001182168,0.0419214,0.1,1E-10
0.001225478,0.0524017,0.1,1E-10
0.001233118,0.0458515,0.1,1E-10
0.001238218,0.0510917,0.1,1E-10
0.001268788,0.0419214,0.1,1E-10
0.001276428,0.0471616,0.1,1E-10
0.001291718,0.0366812,0.1,1E-10
0.001307008,0.0445415,0.1,1E-10
0.001319748,0.0353712,0.1,1E-10
0.001350318,0.0393013,0.1,1E-10
0.001357958,0.030131,0.1,1E-10
0.001385988,0.0393013,0.1,1E-10
0.001396178,0.028821,0.1,1E-10
0.001419108,0.0379913,0.1,1E-10
0.001426748,0.028821,0.1,1E-10
0.001444588,0.0393013,0.1,1E-10
0.001449678,0.0262009,0.1,1E-10
0.001477708,0.0340611,0.1,1E-10
0.001500638,0.0262009,0.1,1E-10
0.001521018,0.031441,0.1,1E-10
0.001546498,0.0222707,0.1,1E-10
0.001551588,0.031441,0.1,1E-10
0.001571978,0.0235808,0.1,1E-10
0.001594908,0.0275109,0.1,1E-10
0.001602548,0.0248908,0.1,1E-10
