time,Absorbance_227,Relative_Uncertainty,W
2.38E-15,0.0649697,0.1,0.012453387
2.39E-11,0.0649697,0.1,0.012453387
1.07E-10,0.0649697,0.1,0.012453387
1.90E-10,0.0649697,0.1,0.012453387
2.73E-10,0.0649697,0.1,0.012453387
3.99E-10,0.0649697,0.1,0.012453387
6.05E-10,0.0649696,0.1,0.012453387
9.55E-10,0.0649696,0.1,0.012453387
1.56E-09,0.0649695,0.1,0.012453387
2.63E-09,0.0649693,0.1,0.012453387
4.78E-09,0.064969,0.1,0.012453387
6.93E-09,0.0649687,0.1,0.012453387
9.07E-09,0.0649683,0.1,0.012453387
1.25E-08,0.0649678,0.1,0.012453387
1.60E-08,0.0649673,0.1,0.012453387
1.95E-08,0.0649668,0.1,0.012453387
2.30E-08,0.0649663,0.1,0.012453387
3.01E-08,0.0649653,0.1,0.012453387
3.72E-08,0.0649643,0.1,0.012453387
5.66E-08,0.0649617,0.1,0.012453387
7.60E-08,0.0649592,0.1,0.012453387
9.54E-08,0.0649569,0.1,0.012453387
1.15E-07,0.0649548,0.1,0.012453387
1.34E-07,0.0649528,0.1,0.012453387
1.67E-07,0.0649497,0.1,0.012453387
2.00E-07,0.0649471,0.1,0.012453387
2.39E-07,0.0649446,0.1,0.012453387
2.78E-07,0.0649426,0.1,0.012453387
3.17E-07,0.0649413,0.1,0.012453387
3.56E-07,0.0649406,0.1,0.012453387
3.96E-07,0.0649404,0.1,0.012453387
4.61E-07,0.0649415,0.1,0.012453387
5.26E-07,0.0649442,0.1,0.012453387
5.92E-07,0.0649485,0.1,0.012453387
6.57E-07,0.0649544,0.1,0.012453387
7.23E-07,0.0649619,0.1,0.012453387
8.33E-07,0.0649781,0.1,0.012453387
9.44E-07,0.0649985,0.1,0.012453387
1.05E-06,0.0650232,0.1,0.012453387
1.16E-06,0.0650521,0.1,0.012453387
1.27E-06,0.065085,0.1,0.012453387
1.39E-06,0.065122,0.1,0.012453387
1.56E-06,0.0651902,0.1,0.012453387
1.74E-06,0.0652684,0.1,0.012453387
1.92E-06,0.0653562,0.1,0.012453387
2.10E-06,0.0654532,0.1,0.012453387
2.28E-06,0.0655592,0.1,0.012453387
2.46E-06,0.0656738,0.1,0.012453387
2.64E-06,0.0657966,0.1,0.012453387
2.82E-06,0.0659275,0.1,0.012453387
3.00E-06,0.066066,0.1,0.012453387
3.18E-06,0.0662119,0.1,0.012453387
3.36E-06,0.0663649,0.1,0.012453387
3.54E-06,0.0665248,0.1,0.012453387
3.72E-06,0.0666912,0.1,0.012453387
3.90E-06,0.066864,0.1,0.012453387
4.08E-06,0.0670427,0.1,0.012453387
4.26E-06,0.0672273,0.1,0.012453387
4.44E-06,0.0674175,0.1,0.012453387
4.62E-06,0.0676129,0.1,0.012453387
4.79E-06,0.0678135,0.1,0.012453387
4.97E-06,0.068019,0.1,0.012453387
5.15E-06,0.0682291,0.1,0.012453387
5.33E-06,0.0684436,0.1,0.012453387
5.51E-06,0.0686624,0.1,0.012453387
5.69E-06,0.0688853,0.1,0.012453387
5.87E-06,0.069112,0.1,0.012453387
