Time,H2O_ppm,Relative_Uncertainty,W
1.65E-15,1113.03,0.05,0.011434734
1.55E-11,1113.03,0.05,0.011434734
6.40E-11,1113.03,0.05,0.011434734
1.13E-10,1113.03,0.05,0.011434734
1.61E-10,1113.03,0.05,0.011434734
2.10E-10,1113.03,0.05,0.011434734
3.12E-10,1113.03,0.05,0.011434734
4.99E-10,1113.03,0.05,0.011434734
8.29E-10,1113.03,0.05,0.011434734
1.42E-09,1113.03,0.05,0.011434734
2.57E-09,1113.03,0.05,0.011434734
4.45E-09,1113.03,0.05,0.011434734
6.32E-09,1113.03,0.05,0.011434734
8.20E-09,1113.03,0.05,0.011434734
1.01E-08,1113.03,0.05,0.011434734
1.21E-08,1113.03,0.05,0.011434734
1.42E-08,1113.03,0.05,0.011434734
1.63E-08,1113.03,0.05,0.011434734
1.99E-08,1113.03,0.05,0.011434734
2.36E-08,1113.03,0.05,0.011434734
2.72E-08,1113.03,0.05,0.011434734
3.09E-08,1113.03,0.05,0.011434734
3.80E-08,1113.03,0.05,0.011434734
5.34E-08,1113.03,0.05,0.011434734
6.87E-08,1113.04,0.05,0.011434734
8.40E-08,1113.04,0.05,0.011434734
9.93E-08,1113.05,0.05,0.011434734
1.15E-07,1113.06,0.05,0.011434734
1.30E-07,1113.07,0.05,0.011434734
1.48E-07,1113.08,0.05,0.011434734
1.65E-07,1113.09,0.05,0.011434734
1.83E-07,1113.11,0.05,0.011434734
2.01E-07,1113.13,0.05,0.011434734
2.19E-07,1113.14,0.05,0.011434734
2.49E-07,1113.18,0.05,0.011434734
3.03E-07,1113.25,0.05,0.011434734
3.57E-07,1113.34,0.05,0.011434734
4.11E-07,1113.44,0.05,0.011434734
4.64E-07,1113.55,0.05,0.011434734
5.18E-07,1113.67,0.05,0.011434734
5.72E-07,1113.81,0.05,0.011434734
6.26E-07,1113.96,0.05,0.011434734
6.79E-07,1114.13,0.05,0.011434734
7.33E-07,1114.3,0.05,0.011434734
8.14E-07,1114.59,0.05,0.011434734
8.95E-07,1114.9,0.05,0.011434734
9.75E-07,1115.23,0.05,0.011434734
1.06E-06,1115.6,0.05,0.011434734
1.14E-06,1115.98,0.05,0.011434734
1.22E-06,1116.4,0.05,0.011434734
1.34E-06,1117.08,0.05,0.011434734
1.47E-06,1117.82,0.05,0.011434734
1.59E-06,1118.61,0.05,0.011434734
1.72E-06,1119.45,0.05,0.011434734
1.84E-06,1120.34,0.05,0.011434734
1.96E-06,1121.27,0.05,0.011434734
2.09E-06,1122.26,0.05,0.011434734
2.21E-06,1123.29,0.05,0.011434734
2.34E-06,1124.36,0.05,0.011434734
2.46E-06,1125.47,0.05,0.011434734
2.59E-06,1126.62,0.05,0.011434734
2.71E-06,1127.82,0.05,0.011434734
2.84E-06,1129.04,0.05,0.011434734
2.96E-06,1130.31,0.05,0.011434734
3.08E-06,1131.61,0.05,0.011434734
3.21E-06,1132.94,0.05,0.011434734
3.33E-06,1134.31,0.05,0.011434734
3.46E-06,1135.71,0.05,0.011434734
3.58E-06,1137.14,0.05,0.011434734
3.71E-06,1138.6,0.05,0.011434734
3.83E-06,1140.08,0.05,0.011434734
3.96E-06,1141.6,0.05,0.011434734
4.08E-06,1143.14,0.05,0.011434734
4.20E-06,1144.7,0.05,0.011434734
4.33E-06,1146.29,0.05,0.011434734
4.45E-06,1147.9,0.05,0.011434734
4.58E-06,1149.54,0.05,0.011434734
4.70E-06,1151.2,0.05,0.011434734
4.83E-06,1152.88,0.05,0.011434734
4.95E-06,1154.58,0.05,0.011434734
5.08E-06,1156.3,0.05,0.011434734
5.20E-06,1158.03,0.05,0.011434734
5.33E-06,1159.79,0.05,0.011434734
5.45E-06,1161.56,0.05,0.011434734
5.57E-06,1163.35,0.05,0.011434734
5.70E-06,1165.16,0.05,0.011434734
5.82E-06,1166.98,0.05,0.011434734
6.01E-06,1169.75,0.05,0.011434734
6.20E-06,1172.56,0.05,0.011434734
6.39E-06,1175.39,0.05,0.011434734
6.57E-06,1178.26,0.05,0.011434734
6.76E-06,1181.15,0.05,0.011434734
6.95E-06,1184.06,0.05,0.011434734
7.14E-06,1187,0.05,0.011434734
7.32E-06,1189.96,0.05,0.011434734
7.51E-06,1192.94,0.05,0.011434734
7.70E-06,1195.94,0.05,0.011434734
7.89E-06,1198.96,0.05,0.011434734
8.07E-06,1201.99,0.05,0.011434734
8.26E-06,1205.04,0.05,0.011434734
8.45E-06,1208.1,0.05,0.011434734
8.64E-06,1211.18,0.05,0.011434734
8.82E-06,1214.27,0.05,0.011434734
9.01E-06,1217.37,0.05,0.011434734
9.20E-06,1220.48,0.05,0.011434734
9.39E-06,1223.61,0.05,0.011434734
9.57E-06,1226.74,0.05,0.011434734
9.76E-06,1229.87,0.05,0.011434734
9.95E-06,1233.02,0.05,0.011434734
1.01E-05,1236.17,0.05,0.011434734
1.03E-05,1239.33,0.05,0.011434734
1.05E-05,1242.49,0.05,0.011434734
1.07E-05,1245.66,0.05,0.011434734
1.09E-05,1248.83,0.05,0.011434734
1.11E-05,1252.01,0.05,0.011434734
1.13E-05,1255.18,0.05,0.011434734
1.14E-05,1258.37,0.05,0.011434734
1.16E-05,1261.55,0.05,0.011434734
1.18E-05,1264.73,0.05,0.011434734
1.20E-05,1267.92,0.05,0.011434734
1.22E-05,1271.1,0.05,0.011434734
1.24E-05,1274.29,0.05,0.011434734
1.26E-05,1277.48,0.05,0.011434734
1.28E-05,1280.66,0.05,0.011434734
1.29E-05,1283.85,0.05,0.011434734
1.31E-05,1287.03,0.05,0.011434734
1.33E-05,1290.22,0.05,0.011434734
1.36E-05,1295,0.05,0.011434734
1.39E-05,1299.79,0.05,0.011434734
1.42E-05,1304.56,0.05,0.011434734
1.45E-05,1309.34,0.05,0.011434734
1.47E-05,1314.1,0.05,0.011434734
1.50E-05,1318.86,0.05,0.011434734
1.53E-05,1323.61,0.05,0.011434734
1.56E-05,1328.35,0.05,0.011434734
1.59E-05,1333.09,0.05,0.011434734
1.61E-05,1337.81,0.05,0.011434734
1.64E-05,1342.53,0.05,0.011434734
1.67E-05,1347.23,0.05,0.011434734
1.70E-05,1351.93,0.05,0.011434734
1.73E-05,1356.61,0.05,0.011434734
1.76E-05,1361.28,0.05,0.011434734
1.78E-05,1365.95,0.05,0.011434734
1.81E-05,1370.6,0.05,0.011434734
1.84E-05,1375.24,0.05,0.011434734
1.87E-05,1379.86,0.05,0.011434734
1.90E-05,1384.48,0.05,0.011434734
1.92E-05,1389.08,0.05,0.011434734
1.95E-05,1393.67,0.05,0.011434734
1.98E-05,1398.25,0.05,0.011434734
2.01E-05,1402.82,0.05,0.011434734
2.04E-05,1407.38,0.05,0.011434734
2.07E-05,1411.92,0.05,0.011434734
2.09E-05,1416.45,0.05,0.011434734
2.12E-05,1420.97,0.05,0.011434734
2.15E-05,1425.47,0.05,0.011434734
2.18E-05,1429.96,0.05,0.011434734
2.21E-05,1434.44,0.05,0.011434734
2.24E-05,1438.91,0.05,0.011434734
2.26E-05,1443.36,0.05,0.011434734
2.29E-05,1447.81,0.05,0.011434734
