Time,OH_ppm,Relative_Uncertainty,W
2.67E-05,21.6472,0.05,0.016556654
2.72E-05,21.6395,0.05,0.016556654
2.77E-05,21.6295,0.05,0.016556654
2.82E-05,21.6173,0.05,0.016556654
2.86E-05,21.6031,0.05,0.016556654
2.91E-05,21.5871,0.05,0.016556654
2.96E-05,21.5694,0.05,0.016556654
3.01E-05,21.5501,0.05,0.016556654
3.06E-05,21.5294,0.05,0.016556654
3.10E-05,21.5074,0.05,0.016556654
3.15E-05,21.4842,0.05,0.016556654
3.20E-05,21.4599,0.05,0.016556654
3.25E-05,21.4346,0.05,0.016556654
3.30E-05,21.4085,0.05,0.016556654
3.34E-05,21.3814,0.05,0.016556654
3.39E-05,21.3537,0.05,0.016556654
3.44E-05,21.3252,0.05,0.016556654
3.49E-05,21.2962,0.05,0.016556654
3.54E-05,21.2666,0.05,0.016556654
3.58E-05,21.2365,0.05,0.016556654
3.63E-05,21.206,0.05,0.016556654
3.68E-05,21.1751,0.05,0.016556654
3.73E-05,21.1439,0.05,0.016556654
3.78E-05,21.1124,0.05,0.016556654
3.85E-05,21.0647,0.05,0.016556654
3.92E-05,21.0165,0.05,0.016556654
3.99E-05,20.968,0.05,0.016556654
4.07E-05,20.9192,0.05,0.016556654
4.14E-05,20.8704,0.05,0.016556654
4.21E-05,20.8215,0.05,0.016556654
4.28E-05,20.7726,0.05,0.016556654
4.35E-05,20.7238,0.05,0.016556654
4.43E-05,20.6752,0.05,0.016556654
4.50E-05,20.6268,0.05,0.016556654
4.57E-05,20.5786,0.05,0.016556654
4.64E-05,20.5307,0.05,0.016556654
4.71E-05,20.4831,0.05,0.016556654
4.79E-05,20.4358,0.05,0.016556654
4.86E-05,20.3889,0.05,0.016556654
4.93E-05,20.3425,0.05,0.016556654
5.00E-05,20.2964,0.05,0.016556654
5.08E-05,20.2507,0.05,0.016556654
5.15E-05,20.2055,0.05,0.016556654
5.22E-05,20.1607,0.05,0.016556654
5.29E-05,20.1164,0.05,0.016556654
5.36E-05,20.0725,0.05,0.016556654
5.44E-05,20.0292,0.05,0.016556654
5.51E-05,19.9863,0.05,0.016556654
5.58E-05,19.9439,0.05,0.016556654
5.65E-05,19.902,0.05,0.016556654
5.73E-05,19.8605,0.05,0.016556654
5.83E-05,19.7992,0.05,0.016556654
5.94E-05,19.739,0.05,0.016556654
6.05E-05,19.6799,0.05,0.016556654
6.16E-05,19.6219,0.05,0.016556654
6.27E-05,19.5649,0.05,0.016556654
6.38E-05,19.509,0.05,0.016556654
6.48E-05,19.4542,0.05,0.016556654
6.59E-05,19.4004,0.05,0.016556654
6.70E-05,19.3477,0.05,0.016556654
6.81E-05,19.2959,0.05,0.016556654
6.92E-05,19.2452,0.05,0.016556654
7.03E-05,19.1954,0.05,0.016556654
7.14E-05,19.1466,0.05,0.016556654
7.24E-05,19.0987,0.05,0.016556654
7.35E-05,19.0518,0.05,0.016556654
7.46E-05,19.0058,0.05,0.016556654
7.62E-05,18.9383,0.05,0.016556654
7.79E-05,18.8728,0.05,0.016556654
7.95E-05,18.8092,0.05,0.016556654
8.11E-05,18.7475,0.05,0.016556654
8.28E-05,18.6875,0.05,0.016556654
8.44E-05,18.6293,0.05,0.016556654
8.60E-05,18.5728,0.05,0.016556654
8.76E-05,18.5179,0.05,0.016556654
8.93E-05,18.4645,0.05,0.016556654
9.09E-05,18.4127,0.05,0.016556654
9.25E-05,18.3624,0.05,0.016556654
9.42E-05,18.3135,0.05,0.016556654
9.58E-05,18.2659,0.05,0.016556654
9.74E-05,18.2198,0.05,0.016556654
9.90E-05,18.1749,0.05,0.016556654
0.000101,18.1313,0.05,0.016556654
0.000102,18.0889,0.05,0.016556654
0.000104,18.0477,0.05,0.016556654
0.000106,18.0076,0.05,0.016556654
0.000107,17.9686,0.05,0.016556654
0.000109,17.9307,0.05,0.016556654
0.00011,17.8938,0.05,0.016556654
0.000112,17.8579,0.05,0.016556654
0.000114,17.8229,0.05,0.016556654
0.000115,17.7889,0.05,0.016556654
0.000117,17.7558,0.05,0.016556654
0.000119,17.7236,0.05,0.016556654
0.00012,17.6922,0.05,0.016556654
0.000122,17.6616,0.05,0.016556654
0.000123,17.6318,0.05,0.016556654
0.000125,17.6027,0.05,0.016556654
0.000127,17.5744,0.05,0.016556654
0.000128,17.5468,0.05,0.016556654
0.00013,17.5199,0.05,0.016556654
0.000132,17.4802,0.05,0.016556654
0.000135,17.442,0.05,0.016556654
