Temperature,H2O2 + M <=> 2OH + M,H2O2 + OH <=> H2O + HO2,HO2 + OH <=> H2O + O2,2 HO2 <=> H2O2 + O2,Sigma_H2O2,Sigma_HO2
1072,2.45E+07,5.32E+12,1.26E+13,8.63E+11,1.40E+05,1.36E+06
1108,4.03E+07,4.75E+12,1.63E+13,8.63E+11,1.43E+05,1.17E+06
1138,6.61E+07,5.54E+12,1.37E+13,1.15E+12,1.48E+05,1.28E+06
1182,1.44E+08,5.88E+12,1.23E+13,1.38E+12,1.40E+05,1.27E+06
1200,1.70E+08,3.90E+12,1.32E+13,9.46E+11,1.48E+05,1.31E+06
1194,1.46E+08,5.79E+12,1.36E+13,1.04E+12,1.42E+05,1.24E+06
1227,2.49E+08,6.80E+12,1.59E+13,1.68E+12,1.63E+05,1.09E+06
1186,1.33E+08,6.32E+12,1.36E+13,1.13E+12,1.25E+05,1.23E+06
1135,6.03E+08,5.19E+12,1.37E+13,1.16E+12,1.23E+05,1.36E+06
1210,2.26E+08,6.60E+12,1.46E+13,1.12E+12,1.42E+05,1.24E+06
1245,3.44E+08,6.16E+12,1.47E+13,1.67E+12,1.57E+05,1.55E+06
1268,4.35E+08,5.88E+12,1.58E+13,1.88E+12,1.48E+05,1.39E+06
1091,3.44E+07,4.89E+12,1.51E+13,8.32E+11,1.41E+05,1.30E+06
1149,8.43E+07,5.80E+12,1.74E+13,1.08E+12,1.46E+05,1.29E+06
1244,3.37E+08,6.77E+12,1.83E+13,2.28E+12,1.48E+05,1.51E+06
1283,5.60E+08,6.93E+12,1.82E+13,3.17E+12,1.59E+05,1.47E+06
