time,Absorbance_227,Relative_Uncertainty,W
3.26e-15,0.0798291,0.1,1e-09
3.26e-11,0.0798291,0.1,1e-09
1.41e-10,0.0798291,0.1,1e-09
2.5e-10,0.0798291,0.1,1e-09
3.58e-10,0.0798291,0.1,1e-09
4.669999999999999e-10,0.079829,0.1,1e-09
7.01e-10,0.079829,0.1,1e-09
1.13e-09,0.079829,0.1,1e-09
1.89e-09,0.0798289,0.1,1e-09
3.2600000000000003e-09,0.0798288,0.1,1e-09
6.34e-09,0.0798285,0.1,1e-09
9.41e-09,0.07982819999999999,0.1,1e-09
1.25e-08,0.0798279,0.1,1e-09
1.56e-08,0.07982760000000001,0.1,1e-09
1.86e-08,0.0798273,0.1,1e-09
2.29e-08,0.07982689999999999,0.1,1e-09
2.7200000000000002e-08,0.07982660000000001,0.1,1e-09
3.15e-08,0.0798262,0.1,1e-09
3.58e-08,0.0798258,0.1,1e-09
4.91e-08,0.0798247,0.1,1e-09
6.230000000000001e-08,0.07982360000000001,0.1,1e-09
8.41e-08,0.079822,0.1,1e-09
1.06e-07,0.0798204,0.1,1e-09
1.28e-07,0.0798191,0.1,1e-09
1.49e-07,0.0798178,0.1,1e-09
1.71e-07,0.07981669999999999,0.1,1e-09
1.93e-07,0.0798158,0.1,1e-09
2.15e-07,0.079815,0.1,1e-09
2.6e-07,0.07981369999999999,0.1,1e-09
3.05e-07,0.079813,0.1,1e-09
3.4899999999999996e-07,0.0798128,0.1,1e-09
3.94e-07,0.0798132,0.1,1e-09
4.39e-07,0.07981419999999999,0.1,1e-09
4.839999999999999e-07,0.07981569999999999,0.1,1e-09
5.58e-07,0.0798194,0.1,1e-09
6.32e-07,0.0798245,0.1,1e-09
7.06e-07,0.0798311,0.1,1e-09
7.8e-07,0.079839,0.1,1e-09
8.540000000000001e-07,0.07984839999999999,0.1,1e-09
1e-06,0.0798714,0.1,1e-09
1.15e-06,0.07989969999999999,0.1,1e-09
1.3e-06,0.07993330000000001,0.1,1e-09
1.45e-06,0.0799719,0.1,1e-09
1.6e-06,0.0800154,0.1,1e-09
1.75e-06,0.08006369999999999,0.1,1e-09
1.9e-06,0.0801165,0.1,1e-09
2.05e-06,0.0801738,0.1,1e-09
2.2e-06,0.0802355,0.1,1e-09
2.35e-06,0.0803013,0.1,1e-09
2.49e-06,0.0803711,0.1,1e-09
2.64e-06,0.0804449,0.1,1e-09
2.79e-06,0.0805225,0.1,1e-09
2.94e-06,0.08060369999999999,0.1,1e-09
3.09e-06,0.0806885,0.1,1e-09
3.24e-06,0.08077669999999999,0.1,1e-09
3.39e-06,0.0808682,0.1,1e-09
3.54e-06,0.080963,0.1,1e-09
3.69e-06,0.0810608,0.1,1e-09
3.84e-06,0.08116169999999999,0.1,1e-09
3.98e-06,0.0812654,0.1,1e-09
4.13e-06,0.0813719,0.1,1e-09
4.28e-06,0.0814811,0.1,1e-09
4.43e-06,0.081593,0.1,1e-09
4.58e-06,0.0817073,0.1,1e-09
4.73e-06,0.08182410000000001,0.1,1e-09
4.96e-06,0.0820047,0.1,1e-09
5.18e-06,0.0821904,0.1,1e-09
5.4e-06,0.0823808,0.1,1e-09
5.63e-06,0.08257569999999999,0.1,1e-09
5.85e-06,0.08277489999999998,0.1,1e-09
6.08e-06,0.08297810000000001,0.1,1e-09
6.3e-06,0.08318510000000001,0.1,1e-09
6.53e-06,0.0833957,0.1,1e-09
6.75e-06,0.0836096,0.1,1e-09
6.98e-06,0.0838266,0.1,1e-09
7.2e-06,0.0840466,0.1,1e-09
7.43e-06,0.0842694,0.1,1e-09
7.65e-06,0.0844947,0.1,1e-09
7.88e-06,0.0847225,0.1,1e-09
8.1e-06,0.0849525,0.1,1e-09
8.33e-06,0.0851846,0.1,1e-09
8.55e-06,0.0854187,0.1,1e-09
8.78e-06,0.0856545,0.1,1e-09
9e-06,0.0858921,0.1,1e-09
9.23e-06,0.0861311,0.1,1e-09
9.45e-06,0.0863716,0.1,1e-09
9.68e-06,0.0866133,0.1,1e-09
9.9e-06,0.0868562,0.1,1e-09
1.01e-05,0.08710019999999999,0.1,1e-09
1.04e-05,0.0873452,0.1,1e-09
1.06e-05,0.0875909,0.1,1e-09
1.0800000000000002e-05,0.0878375,0.1,1e-09
1.1e-05,0.0880847,0.1,1e-09
1.13e-05,0.08833250000000001,0.1,1e-09
1.15e-05,0.0885808,0.1,1e-09
1.17e-05,0.08882949999999999,0.1,1e-09
1.1900000000000001e-05,0.08907849999999999,0.1,1e-09
1.22e-05,0.0893278,0.1,1e-09
1.24e-05,0.0895773,0.1,1e-09
1.26e-05,0.089827,0.1,1e-09
1.28e-05,0.0900767,0.1,1e-09
1.31e-05,0.09032639999999999,0.1,1e-09
1.3300000000000001e-05,0.090576,0.1,1e-09
1.3500000000000001e-05,0.0908255,0.1,1e-09
1.3800000000000002e-05,0.0911997,0.1,1e-09
1.42e-05,0.09157330000000001,0.1,1e-09
1.4499999999999998e-05,0.09194630000000001,0.1,1e-09
1.49e-05,0.0923183,0.1,1e-09
1.52e-05,0.0926895,0.1,1e-09
1.55e-05,0.0930595,0.1,1e-09
1.59e-05,0.0934283,0.1,1e-09
1.62e-05,0.0937957,0.1,1e-09
1.65e-05,0.0941617,0.1,1e-09
1.6899999999999997e-05,0.09452619999999999,0.1,1e-09
1.7199999999999998e-05,0.0948891,0.1,1e-09
1.76e-05,0.09525030000000001,0.1,1e-09
1.7899999999999998e-05,0.09560969999999999,0.1,1e-09
1.82e-05,0.0959672,0.1,1e-09
1.86e-05,0.09632289999999999,0.1,1e-09
1.89e-05,0.0966765,0.1,1e-09
1.92e-05,0.0970282,0.1,1e-09
1.9600000000000002e-05,0.0973778,0.1,1e-09
1.99e-05,0.0977253,0.1,1e-09
2.0300000000000002e-05,0.09807060000000001,0.1,1e-09
2.0600000000000003e-05,0.09841369999999999,0.1,1e-09
2.09e-05,0.0987545,0.1,1e-09
2.13e-05,0.0990932,0.1,1e-09
2.1600000000000003e-05,0.09942949999999999,0.1,1e-09
2.1899999999999997e-05,0.09976339999999999,0.1,1e-09
2.23e-05,0.100095,0.1,1e-09
2.26e-05,0.100424,0.1,1e-09
2.3e-05,0.100751,0.1,1e-09
2.33e-05,0.101076,0.1,1e-09
2.36e-05,0.101398,0.1,1e-09
2.4e-05,0.101717,0.1,1e-09
2.4299999999999998e-05,0.102034,0.1,1e-09
2.46e-05,0.102349,0.1,1e-09
2.5e-05,0.10266099999999999,0.1,1e-09
2.5300000000000002e-05,0.10297100000000001,0.1,1e-09
2.57e-05,0.103278,0.1,1e-09
2.6000000000000002e-05,0.103583,0.1,1e-09
2.6300000000000002e-05,0.10388499999999999,0.1,1e-09
2.68e-05,0.10433699999999999,0.1,1e-09
2.7300000000000003e-05,0.10478399999999999,0.1,1e-09
2.7899999999999997e-05,0.105224,0.1,1e-09
2.84e-05,0.10565899999999999,0.1,1e-09
2.8899999999999998e-05,0.10608800000000002,0.1,1e-09
2.94e-05,0.106512,0.1,1e-09
2.99e-05,0.106929,0.1,1e-09
3.04e-05,0.107342,0.1,1e-09
3.09e-05,0.107748,0.1,1e-09
3.14e-05,0.108149,0.1,1e-09
3.19e-05,0.108544,0.1,1e-09
3.24e-05,0.10893399999999999,0.1,1e-09
3.3e-05,0.10931800000000001,0.1,1e-09
3.35e-05,0.109697,0.1,1e-09
3.4e-05,0.11007,0.1,1e-09
3.45e-05,0.11043800000000001,0.1,1e-09
3.5e-05,0.110801,0.1,1e-09
3.5499999999999996e-05,0.11115799999999999,0.1,1e-09
3.6e-05,0.111509,0.1,1e-09
3.65e-05,0.111856,0.1,1e-09
3.7e-05,0.112197,0.1,1e-09
3.75e-05,0.112533,0.1,1e-09
3.81e-05,0.112864,0.1,1e-09
3.86e-05,0.11318900000000001,0.1,1e-09
3.91e-05,0.11350999999999999,0.1,1e-09
3.96e-05,0.113825,0.1,1e-09
4.01e-05,0.11413599999999999,0.1,1e-09
4.09e-05,0.114597,0.1,1e-09
4.16e-05,0.115048,0.1,1e-09
4.24e-05,0.11548699999999999,0.1,1e-09
4.3200000000000007e-05,0.115915,0.1,1e-09
4.4e-05,0.11633199999999999,0.1,1e-09
4.47e-05,0.11673900000000001,0.1,1e-09
4.55e-05,0.11713499999999999,0.1,1e-09
4.6299999999999994e-05,0.11752,0.1,1e-09
4.71e-05,0.117895,0.1,1e-09
4.7799999999999996e-05,0.11825999999999999,0.1,1e-09
4.8599999999999995e-05,0.11861500000000001,0.1,1e-09
4.94e-05,0.11896,0.1,1e-09
5.02e-05,0.119296,0.1,1e-09
5.0900000000000004e-05,0.119622,0.1,1e-09
5.17e-05,0.11993800000000002,0.1,1e-09
5.25e-05,0.120246,0.1,1e-09
5.3299999999999995e-05,0.12054400000000001,0.1,1e-09
5.4000000000000005e-05,0.120833,0.1,1e-09
5.479999999999999e-05,0.12111300000000001,0.1,1e-09
5.6000000000000006e-05,0.121527,0.1,1e-09
5.720000000000001e-05,0.121922,0.1,1e-09
5.8399999999999997e-05,0.122296,0.1,1e-09
5.96e-05,0.122652,0.1,1e-09
6.08e-05,0.12298900000000001,0.1,1e-09
6.2e-05,0.12330799999999999,0.1,1e-09
6.31e-05,0.12361,0.1,1e-09
6.43e-05,0.123894,0.1,1e-09
6.55e-05,0.124162,0.1,1e-09
6.670000000000001e-05,0.12441300000000001,0.1,1e-09
6.790000000000001e-05,0.124649,0.1,1e-09
6.91e-05,0.12486900000000001,0.1,1e-09
7.03e-05,0.125074,0.1,1e-09
7.15e-05,0.12526500000000002,0.1,1e-09
7.269999999999999e-05,0.125442,0.1,1e-09
7.390000000000001e-05,0.125605,0.1,1e-09
7.509999999999998e-05,0.125755,0.1,1e-09
7.63e-05,0.125892,0.1,1e-09
7.74e-05,0.12601600000000002,0.1,1e-09
7.859999999999999e-05,0.126128,0.1,1e-09
7.979999999999999e-05,0.126229,0.1,1e-09
8.1e-05,0.126318,0.1,1e-09
8.22e-05,0.126395,0.1,1e-09
8.340000000000001e-05,0.126462,0.1,1e-09
8.46e-05,0.126519,0.1,1e-09
8.58e-05,0.126565,0.1,1e-09
8.7e-05,0.126602,0.1,1e-09
8.82e-05,0.126629,0.1,1e-09
8.94e-05,0.126647,0.1,1e-09
9.05e-05,0.126656,0.1,1e-09
9.17e-05,0.126656,0.1,1e-09
9.290000000000001e-05,0.126648,0.1,1e-09
9.41e-05,0.126632,0.1,1e-09
9.53e-05,0.126608,0.1,1e-09
9.71e-05,0.126557,0.1,1e-09
9.89e-05,0.12649100000000002,0.1,1e-09
0.000101,0.126408,0.1,1e-09
0.000102,0.12631099999999998,0.1,1e-09
0.00010400000000000001,0.1262,0.1,1e-09
0.000106,0.126076,0.1,1e-09
0.00010800000000000001,0.12593900000000002,0.1,1e-09
0.00011,0.125789,0.1,1e-09
0.00011100000000000001,0.125629,0.1,1e-09
0.000113,0.12545699999999999,0.1,1e-09
0.00011499999999999999,0.125275,0.1,1e-09
0.000117,0.125083,0.1,1e-09
0.00011899999999999999,0.12488199999999999,0.1,1e-09
0.00011999999999999999,0.124672,0.1,1e-09
0.000122,0.124454,0.1,1e-09
0.000125,0.124105,0.1,1e-09
0.000128,0.12373900000000002,0.1,1e-09
0.00013000000000000002,0.123358,0.1,1e-09
0.000133,0.12296199999999999,0.1,1e-09
0.000136,0.122553,0.1,1e-09
0.000139,0.12213199999999999,0.1,1e-09
0.00014099999999999998,0.1217,0.1,1e-09
0.000144,0.12125799999999999,0.1,1e-09
0.000147,0.120807,0.1,1e-09
0.000149,0.12034700000000001,0.1,1e-09
0.000152,0.11988,0.1,1e-09
0.000155,0.119407,0.1,1e-09
0.00015800000000000002,0.118927,0.1,1e-09
0.00016,0.118442,0.1,1e-09
0.00016299999999999998,0.117952,0.1,1e-09
0.000166,0.11745699999999999,0.1,1e-09
0.000169,0.116959,0.1,1e-09
0.000171,0.11645699999999999,0.1,1e-09
0.000174,0.115952,0.1,1e-09
0.000177,0.115445,0.1,1e-09
0.00017900000000000001,0.114936,0.1,1e-09
0.000182,0.114424,0.1,1e-09
0.000185,0.11391099999999998,0.1,1e-09
0.000188,0.113397,0.1,1e-09
0.00018999999999999998,0.112882,0.1,1e-09
0.000193,0.11236700000000001,0.1,1e-09
0.000196,0.11185,0.1,1e-09
0.000199,0.11133399999999999,0.1,1e-09
0.00020099999999999998,0.11081700000000001,0.1,1e-09
0.000204,0.110301,0.1,1e-09
0.000207,0.109785,0.1,1e-09
0.00021,0.109269,0.1,1e-09
0.000212,0.10875399999999999,0.1,1e-09
0.000215,0.10823900000000002,0.1,1e-09
0.000218,0.107726,0.1,1e-09
0.00022,0.107214,0.1,1e-09
0.000223,0.10670199999999999,0.1,1e-09
0.000226,0.10619200000000001,0.1,1e-09
0.000229,0.105683,0.1,1e-09
0.000231,0.105176,0.1,1e-09
0.000234,0.10467,0.1,1e-09
0.00023799999999999998,0.10391099999999999,0.1,1e-09
0.000242,0.103157,0.1,1e-09
0.000246,0.102406,0.1,1e-09
0.000251,0.101659,0.1,1e-09
0.00025499999999999996,0.10091699999999999,0.1,1e-09
0.000259,0.10017899999999999,0.1,1e-09
0.000263,0.0994448,0.1,1e-09
0.000267,0.0987155,0.1,1e-09
0.000271,0.0979909,0.1,1e-09
0.000275,0.0972709,0.1,1e-09
0.000279,0.09655570000000001,0.1,1e-09
0.000283,0.0958452,0.1,1e-09
0.000288,0.0951396,0.1,1e-09
0.000292,0.09443889999999999,0.1,1e-09
0.000296,0.09374299999999999,0.1,1e-09
0.0003,0.093052,0.1,1e-09
0.000304,0.0923659,0.1,1e-09
0.000308,0.09168480000000001,0.1,1e-09
0.000312,0.0910086,0.1,1e-09
0.00031600000000000004,0.09033730000000001,0.1,1e-09
0.00032,0.0896709,0.1,1e-09
0.000324,0.08900939999999999,0.1,1e-09
0.00032900000000000003,0.0883528,0.1,1e-09
0.000332715,0.0877011,0.1,1e-09
0.000336824,0.0870543,0.1,1e-09
0.000343055,0.0860825,0.1,1e-09
0.000349286,0.0851219,0.1,1e-09
0.00035551800000000003,0.0841722,0.1,1e-09
0.000361749,0.0832334,0.1,1e-09
0.00036798,0.0823054,0.1,1e-09
0.00037421199999999996,0.0813882,0.1,1e-09
0.000380443,0.0804816,0.1,1e-09
0.000386674,0.07958539999999999,0.1,1e-09
0.000392906,0.0786997,0.1,1e-09
0.000399137,0.0778243,0.1,1e-09
0.000405368,0.076959,0.1,1e-09
0.00041160000000000003,0.0761039,0.1,1e-09
0.00041783099999999996,0.0752586,0.1,1e-09
0.00042406199999999995,0.07442330000000001,0.1,1e-09
0.00043029300000000005,0.07359760000000001,0.1,1e-09
0.000436525,0.0727816,0.1,1e-09
0.000442756,0.07197510000000001,0.1,1e-09
0.000448987,0.0711779,0.1,1e-09
0.00045521900000000003,0.07039010000000001,0.1,1e-09
0.00046145,0.06961139999999999,0.1,1e-09
0.000467681,0.0688418,0.1,1e-09
0.000473913,0.0680811,0.1,1e-09
0.00048334,0.0669471,0.1,1e-09
