Time,H2O_ppm,Relative_Uncertainty,W
1.9600000000000003e-15,1113.03,0.05,1e-09
1.96e-11,1113.03,0.05,1e-09
8.68e-11,1113.03,0.05,1e-09
1.54e-10,1113.03,0.05,1e-09
2.21e-10,1113.03,0.05,1e-09
3.23e-10,1113.03,0.05,1e-09
4.89e-10,1113.03,0.05,1e-09
7.7e-10,1113.03,0.05,1e-09
1.26e-09,1113.03,0.05,1e-09
2.1100000000000004e-09,1113.03,0.05,1e-09
3.78e-09,1113.03,0.05,1e-09
6.520000000000001e-09,1113.03,0.05,1e-09
9.25e-09,1113.03,0.05,1e-09
1.2e-08,1113.03,0.05,1e-09
1.47e-08,1113.03,0.05,1e-09
1.77e-08,1113.03,0.05,1e-09
2.0699999999999997e-08,1113.03,0.05,1e-09
2.37e-08,1113.03,0.05,1e-09
2.9100000000000002e-08,1113.03,0.05,1e-09
3.44e-08,1113.03,0.05,1e-09
3.9700000000000005e-08,1113.03,0.05,1e-09
4.51e-08,1113.03,0.05,1e-09
5.5599999999999995e-08,1113.03,0.05,1e-09
7.96e-08,1113.03,0.05,1e-09
1.04e-07,1113.04,0.05,1e-09
1.28e-07,1113.05,0.05,1e-09
1.5199999999999998e-07,1113.05,0.05,1e-09
1.7600000000000001e-07,1113.06,0.05,1e-09
2e-07,1113.07,0.05,1e-09
2.2699999999999998e-07,1113.09,0.05,1e-09
2.55e-07,1113.1,0.05,1e-09
2.8300000000000003e-07,1113.12,0.05,1e-09
3.1e-07,1113.14,0.05,1e-09
3.38e-07,1113.16,0.05,1e-09
3.85e-07,1113.2,0.05,1e-09
4.5799999999999995e-07,1113.27,0.05,1e-09
5.3e-07,1113.35,0.05,1e-09
6.03e-07,1113.45,0.05,1e-09
6.75e-07,1113.55,0.05,1e-09
7.48e-07,1113.67,0.05,1e-09
9.079999999999999e-07,1113.97,0.05,1e-09
1.01e-06,1114.19,0.05,1e-09
1.12e-06,1114.43,0.05,1e-09
1.22e-06,1114.7,0.05,1e-09
1.33e-06,1114.99,0.05,1e-09
1.43e-06,1115.29,0.05,1e-09
1.54e-06,1115.62,0.05,1e-09
1.64e-06,1115.97,0.05,1e-09
1.74e-06,1116.34,0.05,1e-09
1.98e-06,1117.23,0.05,1e-09
2.21e-06,1118.21,0.05,1e-09
