Time,OH_ppm,Relative_Uncertainty,W
1.26e-05,22.066,0.05,1e-09
1.28e-05,22.1324,0.05,1e-09
1.31e-05,22.1948,0.05,1e-09
1.3300000000000001e-05,22.2532,0.05,1e-09
1.3500000000000001e-05,22.3079,0.05,1e-09
1.3800000000000002e-05,22.3833,0.05,1e-09
1.42e-05,22.4513,0.05,1e-09
1.4499999999999998e-05,22.5122,0.05,1e-09
1.49e-05,22.5666,0.05,1e-09
1.52e-05,22.6149,0.05,1e-09
1.55e-05,22.6575,0.05,1e-09
1.59e-05,22.6948,0.05,1e-09
1.62e-05,22.7271,0.05,1e-09
1.65e-05,22.7548,0.05,1e-09
1.6899999999999997e-05,22.7782,0.05,1e-09
1.7199999999999998e-05,22.7975,0.05,1e-09
1.76e-05,22.8132,0.05,1e-09
1.7899999999999998e-05,22.8253,0.05,1e-09
1.82e-05,22.8342,0.05,1e-09
1.86e-05,22.8401,0.05,1e-09
1.89e-05,22.8432,0.05,1e-09
1.92e-05,22.8437,0.05,1e-09
1.9600000000000002e-05,22.8418,0.05,1e-09
1.99e-05,22.8376,0.05,1e-09
2.0300000000000002e-05,22.8313,0.05,1e-09
2.0600000000000003e-05,22.8232,0.05,1e-09
2.09e-05,22.8132,0.05,1e-09
2.13e-05,22.8016,0.05,1e-09
2.1600000000000003e-05,22.7884,0.05,1e-09
2.1899999999999997e-05,22.7738,0.05,1e-09
2.23e-05,22.758000000000003,0.05,1e-09
2.26e-05,22.7409,0.05,1e-09
2.3e-05,22.7227,0.05,1e-09
2.33e-05,22.7035,0.05,1e-09
2.36e-05,22.6834,0.05,1e-09
2.4e-05,22.6624,0.05,1e-09
2.4299999999999998e-05,22.6406,0.05,1e-09
2.46e-05,22.6181,0.05,1e-09
2.5e-05,22.595,0.05,1e-09
2.5300000000000002e-05,22.5712,0.05,1e-09
2.57e-05,22.546999999999997,0.05,1e-09
2.6000000000000002e-05,22.5222,0.05,1e-09
2.6300000000000002e-05,22.497,0.05,1e-09
2.68e-05,22.4581,0.05,1e-09
2.7300000000000003e-05,22.4185,0.05,1e-09
2.7899999999999997e-05,22.3782,0.05,1e-09
2.84e-05,22.3375,0.05,1e-09
2.8899999999999998e-05,22.2962,0.05,1e-09
2.94e-05,22.2547,0.05,1e-09
2.99e-05,22.2129,0.05,1e-09
3.04e-05,22.1709,0.05,1e-09
3.09e-05,22.1288,0.05,1e-09
3.14e-05,22.0867,0.05,1e-09
3.19e-05,22.0445,0.05,1e-09
3.24e-05,22.0024,0.05,1e-09
3.3e-05,21.9604,0.05,1e-09
3.35e-05,21.9185,0.05,1e-09
3.4e-05,21.8768,0.05,1e-09
3.45e-05,21.8353,0.05,1e-09
3.5e-05,21.7939,0.05,1e-09
3.5499999999999996e-05,21.7528,0.05,1e-09
3.6e-05,21.712,0.05,1e-09
3.65e-05,21.6714,0.05,1e-09
3.7e-05,21.6311,0.05,1e-09
3.75e-05,21.5911,0.05,1e-09
3.81e-05,21.5515,0.05,1e-09
3.86e-05,21.5121,0.05,1e-09
3.91e-05,21.4731,0.05,1e-09
3.96e-05,21.4344,0.05,1e-09
4.01e-05,21.396,0.05,1e-09
4.09e-05,21.3385,0.05,1e-09
4.16e-05,21.2818,0.05,1e-09
4.24e-05,21.2258,0.05,1e-09
4.3200000000000007e-05,21.1708,0.05,1e-09
4.4e-05,21.1165,0.05,1e-09
4.47e-05,21.0631,0.05,1e-09
4.55e-05,21.0105,0.05,1e-09
4.6299999999999994e-05,20.9587,0.05,1e-09
4.71e-05,20.9077,0.05,1e-09
4.7799999999999996e-05,20.8576,0.05,1e-09
4.8599999999999995e-05,20.8082,0.05,1e-09
4.94e-05,20.7597,0.05,1e-09
5.02e-05,20.7119,0.05,1e-09
5.0900000000000004e-05,20.665,0.05,1e-09
5.17e-05,20.6187,0.05,1e-09
5.25e-05,20.5733,0.05,1e-09
5.3299999999999995e-05,20.5286,0.05,1e-09
5.4000000000000005e-05,20.4846,0.05,1e-09
5.479999999999999e-05,20.4413,0.05,1e-09
5.6000000000000006e-05,20.3762,0.05,1e-09
5.720000000000001e-05,20.3127,0.05,1e-09
5.8399999999999997e-05,20.2508,0.05,1e-09
5.96e-05,20.1905,0.05,1e-09
6.08e-05,20.1317,0.05,1e-09
6.2e-05,20.0745,0.05,1e-09
6.31e-05,20.0186,0.05,1e-09
6.43e-05,19.9643,0.05,1e-09
6.55e-05,19.9113,0.05,1e-09
6.670000000000001e-05,19.8596,0.05,1e-09
6.790000000000001e-05,19.8093,0.05,1e-09
6.91e-05,19.7602,0.05,1e-09
7.03e-05,19.7124,0.05,1e-09
7.15e-05,19.6658,0.05,1e-09
7.269999999999999e-05,19.6204,0.05,1e-09
7.390000000000001e-05,19.5762,0.05,1e-09
7.509999999999998e-05,19.533,0.05,1e-09
7.63e-05,19.491,0.05,1e-09
7.74e-05,19.45,0.05,1e-09
7.859999999999999e-05,19.4101,0.05,1e-09
7.979999999999999e-05,19.3711,0.05,1e-09
8.1e-05,19.3331,0.05,1e-09
8.22e-05,19.2961,0.05,1e-09
8.340000000000001e-05,19.2599,0.05,1e-09
8.46e-05,19.2247,0.05,1e-09
8.58e-05,19.1903,0.05,1e-09
8.7e-05,19.1568,0.05,1e-09
8.82e-05,19.1241,0.05,1e-09
8.94e-05,19.0922,0.05,1e-09
9.05e-05,19.0611,0.05,1e-09
9.17e-05,19.0307,0.05,1e-09
9.290000000000001e-05,19.000999999999998,0.05,1e-09
9.41e-05,18.9721,0.05,1e-09
9.53e-05,18.9438,0.05,1e-09
9.71e-05,18.9026,0.05,1e-09
9.89e-05,18.8629,0.05,1e-09
0.000101,18.8245,0.05,1e-09
0.000102,18.7875,0.05,1e-09
0.00010400000000000001,18.7517,0.05,1e-09
0.000106,18.7171,0.05,1e-09
0.00010800000000000001,18.6836,0.05,1e-09
0.00011,18.6512,0.05,1e-09
0.00011100000000000001,18.6199,0.05,1e-09
0.000113,18.5896,0.05,1e-09
0.00011499999999999999,18.5602,0.05,1e-09
0.000117,18.5318,0.05,1e-09
0.00011899999999999999,18.5042,0.05,1e-09
0.00011999999999999999,18.4774,0.05,1e-09
0.000122,18.4514,0.05,1e-09
0.000125,18.4132,0.05,1e-09
0.000128,18.3766,0.05,1e-09
0.00013000000000000002,18.3416,0.05,1e-09
0.000133,18.308,0.05,1e-09
0.000136,18.2758,0.05,1e-09
0.000139,18.2448,0.05,1e-09
0.00014099999999999998,18.215,0.05,1e-09
0.000144,18.1862,0.05,1e-09
0.000147,18.1585,0.05,1e-09
0.000149,18.1318,0.05,1e-09
0.000152,18.105999999999998,0.05,1e-09
0.000155,18.0809,0.05,1e-09
0.00015800000000000002,18.0567,0.05,1e-09
0.00016,18.0332,0.05,1e-09
0.00016299999999999998,18.0103,0.05,1e-09
0.000166,17.9881,0.05,1e-09
0.000169,17.9665,0.05,1e-09
0.000171,17.9455,0.05,1e-09
0.000174,17.9249,0.05,1e-09
0.000177,17.9049,0.05,1e-09
0.00017900000000000001,17.8853,0.05,1e-09
0.000182,17.8661,0.05,1e-09
0.000185,17.8473,0.05,1e-09
0.000188,17.8289,0.05,1e-09
0.00018999999999999998,17.8109,0.05,1e-09
0.000193,17.7932,0.05,1e-09
0.000196,17.7757,0.05,1e-09
0.000199,17.7586,0.05,1e-09
0.00020099999999999998,17.7417,0.05,1e-09
0.000204,17.7251,0.05,1e-09
0.000207,17.7087,0.05,1e-09
0.00021,17.6926,0.05,1e-09
0.000212,17.6766,0.05,1e-09
0.000215,17.6609,0.05,1e-09
0.000218,17.6453,0.05,1e-09
0.00022,17.6299,0.05,1e-09
0.000223,17.6146,0.05,1e-09
0.000226,17.5995,0.05,1e-09
0.000229,17.5846,0.05,1e-09
0.000231,17.5697,0.05,1e-09
0.000234,17.555,0.05,1e-09
0.00023799999999999998,17.5331,0.05,1e-09
0.000242,17.5115,0.05,1e-09
0.000246,17.49,0.05,1e-09
0.000251,17.4688,0.05,1e-09
0.00025499999999999996,17.4477,0.05,1e-09
0.000259,17.4268,0.05,1e-09
0.000263,17.406,0.05,1e-09
0.000267,17.3854,0.05,1e-09
0.000271,17.3648,0.05,1e-09
0.000275,17.3444,0.05,1e-09
0.000279,17.3241,0.05,1e-09
0.000283,17.3039,0.05,1e-09
0.000288,17.2838,0.05,1e-09
0.000292,17.2638,0.05,1e-09
0.000296,17.2438,0.05,1e-09
0.0003,17.2239,0.05,1e-09
0.000304,17.204,0.05,1e-09
0.000308,17.1842,0.05,1e-09
0.000312,17.1644,0.05,1e-09
0.00031600000000000004,17.1447,0.05,1e-09
0.00032,17.125,0.05,1e-09
0.000324,17.1054,0.05,1e-09
0.00032900000000000003,17.0858,0.05,1e-09
0.000332715,17.0662,0.05,1e-09
0.000336824,17.0466,0.05,1e-09
0.000343055,17.017,0.05,1e-09
0.000349286,16.9874,0.05,1e-09
0.00035551800000000003,16.9579,0.05,1e-09
0.000361749,16.9284,0.05,1e-09
0.00036798,16.8989,0.05,1e-09
0.00037421199999999996,16.8694,0.05,1e-09
0.000380443,16.84,0.05,1e-09
0.000386674,16.8106,0.05,1e-09
0.000392906,16.7812,0.05,1e-09
0.000399137,16.7518,0.05,1e-09
0.000405368,16.7224,0.05,1e-09
0.00041160000000000003,16.692999999999998,0.05,1e-09
0.00041783099999999996,16.6637,0.05,1e-09
0.00042406199999999995,16.6343,0.05,1e-09
0.00043029300000000005,16.605,0.05,1e-09
0.000436525,16.5756,0.05,1e-09
0.000442756,16.5463,0.05,1e-09
0.000448987,16.5169,0.05,1e-09
0.00045521900000000003,16.4876,0.05,1e-09
0.00046145,16.4583,0.05,1e-09
0.000467681,16.4289,0.05,1e-09
0.000473913,16.3996,0.05,1e-09
0.00048334,16.3552,0.05,1e-09
0.000492767,16.3108,0.05,1e-09
0.000502195,16.2665,0.05,1e-09
0.000511622,16.2221,0.05,1e-09
0.00052105,16.1777,0.05,1e-09
0.000530477,16.1334,0.05,1e-09
0.000539904,16.089000000000002,0.05,1e-09
0.0005493319999999999,16.0447,0.05,1e-09
0.000558759,16.0003,0.05,1e-09
0.000568186,15.956,0.05,1e-09
0.0005776140000000001,15.9117,0.05,1e-09
0.000587041,15.8674,0.05,1e-09
0.00060127,15.8005,0.05,1e-09
0.000615499,15.7337,0.05,1e-09
0.0006297280000000001,15.667,0.05,1e-09
0.000643957,15.6003,0.05,1e-09
0.0006581860000000001,15.5336,0.05,1e-09
0.000672415,15.467,0.05,1e-09
0.0006866439999999999,15.4005,0.05,1e-09
0.0007008730000000001,15.334000000000001,0.05,1e-09
0.000715102,15.2676,0.05,1e-09
0.0007293310000000001,15.2013,0.05,1e-09
0.00074356,15.1351,0.05,1e-09
0.0007577889999999999,15.0689,0.05,1e-09
0.0007720180000000001,15.0029,0.05,1e-09
0.000786247,14.937000000000001,0.05,1e-09
0.000800476,14.8711,0.05,1e-09
0.000814705,14.8054,0.05,1e-09
0.0008289339999999999,14.7398,0.05,1e-09
0.0008431630000000001,14.6743,0.05,1e-09
0.000857392,14.609000000000002,0.05,1e-09
0.000871621,14.5437,0.05,1e-09
0.00088585,14.4786,0.05,1e-09
0.0009000789999999999,14.4137,0.05,1e-09
0.0009143080000000001,14.3489,0.05,1e-09
0.000924725,14.3015,0.05,1e-09
0.0009351419999999999,14.2543,0.05,1e-09
0.0009455589999999999,14.2071,0.05,1e-09
0.000955977,14.16,0.05,1e-09
0.0009635819999999999,14.1257,0.05,1e-09
0.000971187,14.0914,0.05,1e-09
0.000978793,14.0572,0.05,1e-09
0.000986398,14.023,0.05,1e-09
0.000994004,13.9888,0.05,1e-09
0.00100161,13.9547,0.05,1e-09
