time,pressure,mass,temperature,H2,H,O,O2,OH,H2O,HO2,H2O2,N2,AR,Absorbance
2.21E-15,169820.7,0.689585174397303,1181.99999999988,1.20E-37,8.25E-28,6.01E-30,0.000556597228827,2.35E-14,0.001114195531806,7.75E-20,0.002048197716138,0,0.996281009523207,0.0753194
2.21E-11,169820.7,0.689585174397303,1181.99999879374,1.37E-29,9.45E-24,4.42E-23,0.000556597228761,2.36E-10,0.001114195531676,1.86E-15,0.002048197598147,0,0.996281009405896,0.0753194
9.44E-11,169820.7,0.689585174397303,1181.99999485595,2.18E-28,5.96E-23,1.84E-21,0.000556597228545,1.00E-09,0.001114195531258,1.56E-14,0.002048197212917,0,0.996281009022896,0.0753193
1.67E-10,169820.7,0.689585174397303,1181.99999091822,7.61E-28,1.50E-22,7.87E-21,0.00055659722833,1.77E-09,0.001114195530852,3.97E-14,0.002048196827678,0,0.996281008639896,0.0753193
2.39E-10,169820.7,0.689585174397303,1181.99998698057,1.90E-27,3.03E-22,2.10E-20,0.000556597228115,2.54E-09,0.001114195530456,7.49E-14,0.002048196442427,0,0.996281008256897,0.0753193
3.11E-10,169820.7,0.689585174397303,1181.99998304299,4.00E-27,5.43E-22,4.44E-20,0.0005565972279,3.31E-09,0.001114195530072,1.21E-13,0.002048196057165,0,0.996281007873897,0.0753193
4.65E-10,169820.7,0.689585174397303,1181.99997462638,1.52E-26,1.50E-21,1.48E-19,0.00055659722744,4.95E-09,0.001114195529289,2.60E-13,0.002048195233601,0,0.996281007055208,0.0753193
7.48E-10,169820.7,0.689585174397303,1181.99995925138,8.90E-26,5.57E-21,6.21E-19,0.000556597226599,7.96E-09,0.001114195527995,6.49E-13,0.002048193728937,0,0.996281005559585,0.0753192
1.25E-09,169820.7,0.689585174397303,1181.99993196022,6.62E-25,2.47E-20,2.94E-18,0.000556597225107,1.33E-08,0.001114195526133,1.77E-12,0.002048191057398,0,0.996281002904532,0.0753191
2.14E-09,169820.7,0.689585174397303,1181.99988325812,5.70E-24,1.23E-19,1.50E-17,0.000556597222444,2.28E-08,0.001114195524189,5.16E-12,0.002048186287686,0,0.996280998165623,0.075319
3.95E-09,169820.7,0.689585174397303,1181.99978492285,6.89E-23,7.74E-19,9.62E-17,0.000556597217065,4.20E-08,0.001114195525654,1.74E-11,0.002048176648274,0,0.996280988593821,0.0753186
5.75E-09,169820.7,0.689585174397303,1181.99968663459,2.71E-22,2.28E-18,2.85E-16,0.000556597211686,6.12E-08,0.001114195534332,3.68E-11,0.002048167001695,0,0.996280979022065,0.0753183
7.56E-09,169820.7,0.689585174397303,1181.99958839332,7.35E-22,5.02E-18,6.27E-16,0.000556597206306,8.04E-08,0.00111419555022,6.35E-11,0.002048157347953,0,0.996280969450355,0.0753179
1.05E-08,169820.7,0.689585174397303,1181.99943023419,2.49E-21,1.29E-17,1.62E-15,0.000556597197641,1.11E-07,0.00111419559097,1.22E-10,0.002048141781579,0,0.996280954031281,0.0753174
1.34E-08,169820.7,0.689585174397303,1181.99927219689,6.27E-21,2.65E-17,3.32E-15,0.000556597188976,1.42E-07,0.001114195650411,1.98E-10,0.002048126196634,0,0.996280938612326,0.0753168
1.63E-08,169820.7,0.689585174397303,1181.99911428135,1.33E-20,4.73E-17,5.92E-15,0.000556597180311,1.73E-07,0.001114195728533,2.94E-10,0.002048110593128,0,0.996280923193489,0.0753163
1.92E-08,169820.7,0.689585174397303,1181.9989564875,2.51E-20,7.69E-17,9.63E-15,0.000556597171646,2.04E-07,0.001114195825324,4.08E-10,0.002048094971074,0,0.996280907774772,0.0753158
2.52E-08,169820.7,0.689585174397303,1181.99863279033,7.31E-20,1.72E-16,2.16E-14,0.00055659715385,2.67E-07,0.001114196082608,7.01E-10,0.002048062828245,0,0.996280876108044,0.0753147
3.11E-08,169820.7,0.689585174397303,1181.99830960548,1.70E-19,3.25E-16,4.08E-14,0.000556597136055,3.30E-07,0.001114196418491,1.07E-09,0.002048030607333,0,0.99628084444182,0.0753137
4.77E-08,169820.7,0.689585174397303,1181.99741607435,9.49E-19,1.16E-15,1.46E-13,0.000556597086712,5.05E-07,0.001114197760257,2.51E-09,0.00204794084967,0,0.996280756632609,0.0753109
6.43E-08,169820.7,0.689585174397303,1181.99652646449,3.11E-18,2.84E-15,3.56E-13,0.000556597037376,6.79E-07,0.001114199703541,4.55E-09,0.002047850494534,0,0.996280668827305,0.0753083
8.08E-08,169820.7,0.689585174397303,1181.99564076246,7.67E-18,5.65E-15,7.06E-13,0.000556596988053,8.53E-07,0.001114202246228,7.20E-09,0.002047759544105,0,0.996280581025935,0.0753059
9.74E-08,169820.7,0.689585174397303,1181.99475895485,1.60E-17,9.86E-15,1.23E-12,0.000556596938746,1.03E-06,0.001114205386213,1.04E-08,0.002047668000556,0,0.996280493228525,0.0753037
1.14E-07,169820.7,0.689585174397303,1181.99388102835,2.98E-17,1.58E-14,1.97E-12,0.000556596889462,1.20E-06,0.001114209121402,1.43E-08,0.002047575866047,0,0.9962804054351,0.0753016
1.41E-07,169820.7,0.689585174397303,1181.99246767611,6.90E-17,2.97E-14,3.70E-12,0.000556596809729,1.48E-06,0.001114216426272,2.17E-08,0.002047425433189,0,0.996280263287527,0.0752987
1.68E-07,169820.7,0.689585174397303,1181.99106440881,1.38E-16,5.00E-14,6.21E-12,0.000556596730114,1.75E-06,0.001114225277385,3.07E-08,0.002047273465685,0,0.996280121150579,0.0752962
1.94E-07,169820.7,0.689585174397303,1181.98967117083,2.50E-16,7.79E-14,9.65E-12,0.000556596650659,2.03E-06,0.001114235665969,4.13E-08,0.0020471199726,0,0.996279979024365,0.0752942
2.21E-07,169820.7,0.689585174397303,1181.98828790691,4.18E-16,1.15E-13,1.42E-11,0.000556596571415,2.30E-06,0.001114247583299,5.34E-08,0.002046964962957,0,0.996279836908992,0.0752926
2.48E-07,169820.7,0.689585174397303,1181.98691456215,6.59E-16,1.61E-13,1.99E-11,0.00055659649244,2.57E-06,0.001114261020701,6.69E-08,0.002046808445735,0,0.996279694804566,0.0752914
2.75E-07,169820.7,0.689585174397303,1181.98555108204,9.93E-16,2.19E-13,2.69E-11,0.000556596413798,2.84E-06,0.001114275969548,8.20E-08,0.002046650429863,0,0.996279552711194,0.0752908
3.15E-07,169820.7,0.689585174397303,1181.98351463167,1.71E-15,3.29E-13,4.04E-11,0.00055659629606,3.25E-06,0.001114301336376,1.08E-07,0.002046409464499,0,0.996279338576355,0.0752906
3.81E-07,169820.7,0.689585174397303,1181.98022662555,3.66E-15,5.81E-13,7.08E-11,0.000556596105912,3.90E-06,0.001114350185942,1.57E-07,0.002046007535363,0,0.996278987882864,0.0752924
4.48E-07,169820.7,0.689585174397303,1181.97699711902,6.92E-15,9.35E-13,1.13E-10,0.000556595920335,4.55E-06,0.001114407989814,2.15E-07,0.002045596739492,0,0.996278637259899,0.0752969
5.14E-07,169820.7,0.689585174397303,1181.97382532795,1.20E-14,1.41E-12,1.69E-10,0.000556595740924,5.18E-06,0.001114474623065,2.82E-07,0.002045177206741,0,0.996278286708992,0.075304
5.80E-07,169820.7,0.689585174397303,1181.97071048099,1.94E-14,2.02E-12,2.41E-10,0.000556595569487,5.81E-06,0.001114549962498,3.58E-07,0.002044749065344,0,0.996277936231654,0.0753137
6.46E-07,169820.7,0.689585174397303,1181.96765181934,2.98E-14,2.78E-12,3.30E-10,0.00055659540803,6.43E-06,0.001114633886618,4.42E-07,0.002044312441933,0,0.996277585829371,0.0753259
7.12E-07,169820.7,0.689585174397303,1181.9646485965,4.39E-14,3.72E-12,4.38E-10,0.000556595258754,7.04E-06,0.001114726275612,5.34E-07,0.002043867461552,0,0.996277235503608,0.0753406
7.79E-07,169820.7,0.689585174397303,1181.96170007804,6.25E-14,4.84E-12,5.66E-10,0.000556595124041,7.64E-06,0.001114827011319,6.35E-07,0.002043414247679,0,0.996276885255806,0.0753578
8.45E-07,169820.7,0.689585174397303,1181.95880554136,8.64E-14,6.17E-12,7.15E-10,0.00055659500645,8.24E-06,0.001114935977211,7.44E-07,0.002042952922239,0,0.996276535087385,0.0753774
