,,,,,,time,pressure,mass,temperature,H2,H,O,O2,OH,H2O,HO2,H2O2,N2,AR,Absorbance
,,,,,,2.21E-15,169820.7,0.689585174397303,1181.99999999988,1.20E-37,8.25E-28,6.01E-30,0.000556597228827,2.35E-14,0.001114195531806,7.75E-20,0.002048197716138,0,0.996281009523207,0.0753194
,,,,,,2.21E-11,169820.7,0.689585174397303,1181.99999879381,1.38E-29,9.45E-24,4.42E-23,0.000556597228761,2.36E-10,0.001114195531676,1.86E-15,0.002048197598153,0,0.996281009405903,0.0753194
,,,,,,9.43E-11,169820.7,0.689585174397303,1181.99999485771,2.18E-28,5.96E-23,1.83E-21,0.000556597228545,1.00E-09,0.001114195531259,1.56E-14,0.002048197213089,0,0.996281009023068,0.0753193
,,,,,,1.67E-10,169820.7,0.689585174397303,1181.99999092167,7.60E-28,1.50E-22,7.86E-21,0.00055659722833,1.77E-09,0.001114195530852,3.97E-14,0.002048196828015,0,0.996281008640232,0.0753193
,,,,,,2.39E-10,169820.7,0.689585174397303,1181.99998698571,1.90E-27,3.03E-22,2.10E-20,0.000556597228115,2.54E-09,0.001114195530456,7.48E-14,0.00204819644293,0,0.996281008257397,0.0753193
,,,,,,3.11E-10,169820.7,0.689585174397303,1181.99998304982,4.00E-27,5.43E-22,4.43E-20,0.0005565972279,3.31E-09,0.001114195530072,1.21E-13,0.002048196057833,0,0.996281007874562,0.0753193
,,,,,,4.65E-10,169820.7,0.689585174397303,1181.99997463786,1.52E-26,1.50E-21,1.47E-19,0.00055659722744,4.95E-09,0.00111419552929,2.60E-13,0.002048195234724,0,0.996281007056325,0.0753193
,,,,,,7.47E-10,169820.7,0.689585174397303,1181.99995927188,8.89E-26,5.56E-21,6.20E-19,0.0005565972266,7.95E-09,0.001114195527997,6.48E-13,0.002048193730943,0,0.99628100556158,0.0753192
,,,,,,1.25E-09,169820.7,0.689585174397303,1181.99993199657,6.61E-25,2.47E-20,2.93E-18,0.000556597225109,1.33E-08,0.001114195526136,1.77E-12,0.002048191060956,0,0.996281002908068,0.0753191
,,,,,,2.14E-09,169820.7,0.689585174397303,1181.9998833173,5.70E-24,1.23E-19,1.50E-17,0.000556597222447,2.28E-08,0.001114195524192,5.16E-12,0.00204818629348,0,0.99628099817138,0.075319
,,,,,,3.95E-09,169820.7,0.689585174397303,1181.99978492714,6.90E-23,7.75E-19,9.62E-17,0.000556597217065,4.20E-08,0.001114195525661,1.74E-11,0.002048176648683,0,0.996280988594234,0.0753186
,,,,,,5.75E-09,169820.7,0.689585174397303,1181.99968658421,2.71E-22,2.29E-18,2.85E-16,0.000556597211683,6.12E-08,0.001114195534353,3.69E-11,0.002048166996724,0,0.996280979017149,0.0753183
,,,,,,7.56E-09,169820.7,0.689585174397303,1181.99958828848,7.37E-22,5.02E-18,6.27E-16,0.000556597206301,8.04E-08,0.001114195550266,6.36E-11,0.002048157337605,0,0.996280969440123,0.0753179
,,,,,,1.05E-08,169820.7,0.689585174397303,1181.99943029521,2.49E-21,1.29E-17,1.62E-15,0.000556597197645,1.11E-07,0.001114195590998,1.22E-10,0.002048141787514,0,0.996280954037203,0.0753174
,,,,,,1.34E-08,169820.7,0.689585174397303,1181.99927242395,6.27E-21,2.65E-17,3.32E-15,0.000556597188989,1.42E-07,0.001114195650391,1.98E-10,0.002048126218919,0,0.996280938634438,0.0753168
,,,,,,1.63E-08,169820.7,0.689585174397303,1181.99911467461,1.33E-20,4.72E-17,5.91E-15,0.000556597180333,1.73E-07,0.001114195728432,2.94E-10,0.002048110631833,0,0.996280923231828,0.0753163
,,,,,,1.92E-08,169820.7,0.689585174397303,1181.99895704713,2.51E-20,7.68E-17,9.62E-15,0.000556597171677,2.04E-07,0.00111419582511,4.08E-10,0.002048095026269,0,0.996280907829375,0.0753158
,,,,,,2.52E-08,169820.7,0.689585174397303,1181.99863331215,7.30E-20,1.72E-16,2.16E-14,0.000556597153879,2.67E-07,0.001114196082411,7.01E-10,0.002048062879706,0,0.996280876158956,0.0753147
,,,,,,3.11E-08,169820.7,0.689585174397303,1181.99831009142,1.70E-19,3.25E-16,4.07E-14,0.000556597136082,3.30E-07,0.00111419641836,1.07E-09,0.002048030655168,0,0.996280844489197,0.0753137
,,,,,,4.79E-08,169820.7,0.689585174397303,1181.99740341523,9.69E-19,1.18E-15,1.48E-13,0.000556597086011,5.08E-07,0.001114197784697,2.54E-09,0.002047939569163,0,0.99628075538516,0.0753109
,,,,,,6.47E-08,169820.7,0.689585174397303,1181.99650079082,3.21E-18,2.91E-15,3.64E-13,0.000556597035949,6.84E-07,0.001114199770641,4.62E-09,0.00204784786895,0,0.996280666286371,0.0753083
,,,,,,8.16E-08,169820.7,0.689585174397303,1181.99560220398,7.95E-18,5.80E-15,7.25E-13,0.000556596985899,8.61E-07,0.001114202373968,7.33E-09,0.002047755556817,0,0.996280577192854,0.0753058
,,,,,,9.84E-08,169820.7,0.689585174397303,1181.99470764058,1.66E-17,1.02E-14,1.27E-12,0.000556596935869,1.04E-06,0.001114205592466,1.06E-08,0.002047662635038,0,0.996280488104629,0.0753036
,,,,,,1.15E-07,169820.7,0.689585174397303,1181.99381708656,3.11E-17,1.63E-14,2.03E-12,0.000556596885863,1.21E-06,0.001114209423937,1.46E-08,0.00204756910588,0,0.996280399021718,0.0753015
,,,,,,1.41E-07,169820.7,0.689585174397303,1181.9924315949,7.04E-17,3.01E-14,3.75E-12,0.000556596807684,1.48E-06,0.001114216644044,2.20E-08,0.002047421541759,0,0.996280259639021,0.0752986
,,,,,,1.68E-07,169820.7,0.689585174397303,1181.9910558326,1.39E-16,5.02E-14,6.23E-12,0.00055659672962,1.75E-06,0.001114225351267,3.08E-08,0.002047272504624,0,0.996280120269468,0.0752962
,,,,,,1.94E-07,169820.7,0.689585174397303,1181.98968974668,2.48E-16,7.75E-14,9.60E-12,0.000556596651713,2.02E-06,0.00111423553729,4.12E-08,0.002047122003048,0,0.996279980913139,0.0752942
,,,,,,2.20E-07,169820.7,0.689585174397303,1181.98833328453,4.12E-16,1.13E-13,1.40E-11,0.00055659657401,2.29E-06,0.001114247193838,5.30E-08,0.002046970045566,0,0.996279841570116,0.0752926
,,,,,,2.61E-07,169820.7,0.689585174397303,1181.98624507842,8.11E-16,1.88E-13,2.32E-11,0.000556596453838,2.70E-06,0.001114268198646,7.42E-08,0.002046731122574,0,0.996279625136941,0.0752911
,,,,,,3.02E-07,169820.7,0.689585174397303,1181.98417977551,1.45E-15,2.90E-13,3.56E-11,0.000556596334523,3.11E-06,0.001114292701591,9.89E-08,0.002046488738364,0,0.996279408736362,0.0752905
,,,,,,3.66E-07,169820.7,0.689585174397303,1181.98101406935,3.09E-15,5.12E-13,6.25E-11,0.000556596151377,3.74E-06,0.001114337668968,1.44E-07,0.002046105127078,0,0.996279072384032,0.0752917
,,,,,,4.29E-07,169820.7,0.689585174397303,1181.97790253837,5.85E-15,8.24E-13,1.00E-10,0.000556595972124,4.37E-06,0.001114390904598,1.98E-07,0.002045713343175,0,0.996278736112277,0.0752954
,,,,,,4.93E-07,169820.7,0.689585174397303,1181.97484448075,1.01E-14,1.24E-12,1.50E-10,0.000556595798122,4.98E-06,0.00111445229722,2.59E-07,0.002045313501952,0,0.99627839992217,0.0753015
,,,,,,5.56E-07,169820.7,0.689585174397303,1181.97183920573,1.64E-14,1.78E-12,2.13E-10,0.00055659563091,5.58E-06,0.001114521737068,3.29E-07,0.002044905717308,0,0.99627806381477,0.0753099
,,,,,,6.20E-07,169820.7,0.689585174397303,1181.96888603343,2.52E-14,2.46E-12,2.92E-10,0.0005565954722,6.18E-06,0.001114599115849,4.07E-07,0.002044490101759,0,0.996277727791116,0.0753207
,,,,,,7.22E-07,169820.7,0.689585174397303,1181.96424770406,4.62E-14,3.86E-12,4.54E-10,0.000556595239749,7.12E-06,0.001114739826225,5.48E-07,0.002043806077218,0,0.996277187974293,0.0753429
,,,,,,8.24E-07,169820.7,0.689585174397303,1181.95973948384,7.82E-14,5.72E-12,6.65E-10,0.000556595042789,8.04E-06,0.001114900327703,7.09E-07,0.002043102569998,0,0.996276648380561,0.0753709
,,,,,,9.26E-07,169820.7,0.689585174397303,1181.95535871934,1.24E-13,8.10E-12,9.29E-10,0.000556594890928,8.95E-06,0.001115080193881,8.88E-07,0.002042380025267,0,0.996276109013987,0.0754046
,,,,,,1.03E-06,169820.7,0.689585174397303,1181.95110282282,1.88E-13,1.10E-11,1.25E-09,0.00055659479467,9.83E-06,0.001115279007445,1.09E-06,0.002041638879516,0,0.996275569878542,0.0754439
