time,pressure,mass,temperature,H2,H,O,O2,OH,H2O,HO2,H2O2,N2,AR,Absorbance
2.21E-15,169820.7,0.689585174397303,1181.99999999988,1.20E-37,8.25E-28,6.01E-30,0.000556597228827,2.35E-14,0.001114195531806,7.05E-20,0.002048197716138,0,0.996281009523207,0.0753194
2.21E-11,169820.7,0.689585174397303,1181.99999879374,1.37E-29,9.40E-24,4.42E-23,0.000556597228761,2.36E-10,0.001114195531676,1.79E-15,0.002048197598147,0,0.996281009405896,0.0753194
9.44E-11,169820.7,0.689585174397303,1181.99999485595,2.16E-28,5.91E-23,1.84E-21,0.000556597228546,1.00E-09,0.001114195531258,1.53E-14,0.002048197212917,0,0.996281009022896,0.0753193
1.67E-10,169820.7,0.689585174397303,1181.99999091823,7.54E-28,1.49E-22,7.87E-21,0.00055659722833,1.77E-09,0.001114195530852,3.92E-14,0.002048196827678,0,0.996281008639896,0.0753193
2.39E-10,169820.7,0.689585174397303,1181.99998698057,1.89E-27,3.01E-22,2.10E-20,0.000556597228115,2.54E-09,0.001114195530456,7.41E-14,0.002048196442427,0,0.996281008256897,0.0753193
3.11E-10,169820.7,0.689585174397303,1181.999983043,3.97E-27,5.38E-22,4.44E-20,0.0005565972279,3.31E-09,0.001114195530072,1.20E-13,0.002048196057165,0,0.996281007873897,0.0753193
4.65E-10,169820.7,0.689585174397303,1181.99997462639,1.51E-26,1.49E-21,1.48E-19,0.00055659722744,4.95E-09,0.001114195529289,2.58E-13,0.002048195233602,0,0.996281007055208,0.0753193
7.48E-10,169820.7,0.689585174397303,1181.99995925139,8.85E-26,5.54E-21,6.21E-19,0.0005565972266,7.96E-09,0.001114195527995,6.46E-13,0.002048193728938,0,0.996281005559585,0.0753192
1.25E-09,169820.7,0.689585174397303,1181.99993196023,6.60E-25,2.47E-20,2.94E-18,0.000556597225109,1.33E-08,0.001114195526133,1.77E-12,0.0020481910574,0,0.996281002904532,0.0753191
2.14E-09,169820.7,0.689585174397303,1181.99988325814,5.69E-24,1.23E-19,1.50E-17,0.000556597222447,2.28E-08,0.001114195524189,5.15E-12,0.002048186287689,0,0.996280998165622,0.075319
3.95E-09,169820.7,0.689585174397303,1181.99978492276,6.88E-23,7.74E-19,9.62E-17,0.000556597217071,4.20E-08,0.001114195525654,1.74E-11,0.002048176648267,0,0.996280988593808,0.0753186
5.75E-09,169820.7,0.689585174397303,1181.99968663439,2.71E-22,2.28E-18,2.85E-16,0.000556597211695,6.12E-08,0.001114195534332,3.68E-11,0.002048167001679,0,0.996280979022039,0.0753183
7.56E-09,169820.7,0.689585174397303,1181.99958839301,7.35E-22,5.01E-18,6.27E-16,0.000556597206318,8.04E-08,0.00111419555022,6.35E-11,0.002048157347926,0,0.996280969450316,0.0753179
1.05E-08,169820.7,0.689585174397303,1181.99943023622,2.49E-21,1.29E-17,1.62E-15,0.000556597197658,1.11E-07,0.001114195590969,1.22E-10,0.002048141781784,0,0.996280954031467,0.0753174
1.34E-08,169820.7,0.689585174397303,1181.99927220126,6.27E-21,2.65E-17,3.32E-15,0.000556597188997,1.42E-07,0.001114195650409,1.98E-10,0.00204812619707,0,0.996280938612736,0.0753168
1.63E-08,169820.7,0.689585174397303,1181.99911428805,1.33E-20,4.72E-17,5.92E-15,0.000556597180337,1.73E-07,0.00111419572853,2.94E-10,0.002048110593797,0,0.996280923194124,0.0753163
1.92E-08,169820.7,0.689585174397303,1181.99895649652,2.51E-20,7.69E-17,9.63E-15,0.000556597171677,2.04E-07,0.001114195825318,4.08E-10,0.002048094971976,0,0.996280907775631,0.0753158
2.52E-08,169820.7,0.689585174397303,1181.99863285381,7.30E-20,1.72E-16,2.16E-14,0.000556597153894,2.67E-07,0.001114196082551,7.01E-10,0.002048062834571,0,0.99628087611423,0.0753147
3.11E-08,169820.7,0.689585174397303,1181.99830972325,1.70E-19,3.25E-16,4.08E-14,0.000556597136111,3.30E-07,0.001114196418354,1.07E-09,0.00204803061911,0,0.996280844453331,0.0753137
4.78E-08,169820.7,0.689585174397303,1181.99741160254,9.55E-19,1.17E-15,1.47E-13,0.000556597086541,5.06E-07,0.001114197768507,2.52E-09,0.00204794039798,0,0.996280756192135,0.0753109
6.44E-08,169820.7,0.689585174397303,1181.99651744354,3.14E-18,2.86E-15,3.58E-13,0.000556597036979,6.81E-07,0.001114199726376,4.58E-09,0.002047849573221,0,0.996280667934887,0.0753083
8.11E-08,169820.7,0.689585174397303,1181.99562723258,7.76E-18,5.70E-15,7.12E-13,0.000556596987433,8.56E-07,0.001114202289815,7.24E-09,0.002047758147048,0,0.996280579681613,0.0753059
9.77E-08,169820.7,0.689585174397303,1181.99474095609,1.62E-17,9.97E-15,1.24E-12,0.000556596937906,1.03E-06,0.001114205456689,1.05E-08,0.002047666121665,0,0.996280491432339,0.0753037
1.14E-07,169820.7,0.689585174397303,1181.99385860056,3.02E-17,1.60E-14,1.99E-12,0.000556596888408,1.20E-06,0.001114209224871,1.44E-08,0.002047573499269,0,0.996280403187093,0.0753016
1.41E-07,169820.7,0.689585174397303,1181.99245404006,6.95E-17,2.98E-14,3.72E-12,0.000556596809242,1.48E-06,0.001114216504655,2.18E-08,0.002047423968983,0,0.99628026191091,0.0752987
1.68E-07,169820.7,0.689585174397303,1181.99105944108,1.39E-16,5.01E-14,6.22E-12,0.000556596730219,1.75E-06,0.001114225311727,3.08E-08,0.002047272922894,0,0.996280120645222,0.0752962
1.94E-07,169820.7,0.689585174397303,1181.98967474918,2.49E-16,7.78E-14,9.64E-12,0.000556596651391,2.03E-06,0.001114235637487,4.13E-08,0.0020471203699,0,0.996279979390138,0.0752942
2.21E-07,169820.7,0.689585174397303,1181.98829991027,4.16E-16,1.14E-13,1.41E-11,0.000556596572822,2.30E-06,0.001114247473381,5.32E-08,0.002046966318859,0,0.996279838145761,0.0752926
2.48E-07,169820.7,0.689585174397303,1181.98693487066,6.55E-16,1.60E-13,1.98E-11,0.00055659649458,2.57E-06,0.001114260810906,6.67E-08,0.002046810778587,0,0.996279696912197,0.0752915
2.74E-07,169820.7,0.689585174397303,1181.98557957703,9.85E-16,2.17E-13,2.68E-11,0.000556596416745,2.84E-06,0.00111427564161,8.17E-08,0.002046653757851,0,0.996279555689551,0.0752908
3.15E-07,169820.7,0.689585174397303,1181.98354354706,1.70E-15,3.27E-13,4.02E-11,0.000556596299726,3.24E-06,0.001114300952179,1.07E-07,0.002046412925624,0,0.996279341630446,0.0752906
3.81E-07,169820.7,0.689585174397303,1181.98024938739,3.64E-15,5.79E-13,7.05E-11,0.000556596111012,3.90E-06,0.001114349817487,1.56E-07,0.002046010368142,0,0.996278990326824,0.0752924
4.47E-07,169820.7,0.689585174397303,1181.97701395193,6.90E-15,9.33E-13,1.13E-10,0.000556595927995,4.54E-06,0.001114407670231,2.15E-07,0.002045598912186,0,0.996278639093963,0.0752969
5.14E-07,169820.7,0.689585174397303,1181.97383645788,1.20E-14,1.41E-12,1.69E-10,0.000556595752676,5.18E-06,0.001114474385203,2.82E-07,0.002045178688317,0,0.996278287933404,0.075304
5.80E-07,169820.7,0.689585174397303,1181.97071613599,1.94E-14,2.02E-12,2.41E-10,0.000556595587321,5.81E-06,0.001114549838983,3.57E-07,0.002044749825466,0,0.996277936846664,0.0753136
6.46E-07,169820.7,0.689585174397303,1181.96765223031,2.98E-14,2.78E-12,3.30E-10,0.000556595434447,6.43E-06,0.001114633909912,4.42E-07,0.002044312450958,0,0.996277585835238,0.0753259
7.13E-07,169820.7,0.689585174397303,1181.96464399788,4.39E-14,3.72E-12,4.38E-10,0.000556595296812,7.04E-06,0.001114726478059,5.34E-07,0.002043866690525,0,0.996277234900597,0.0753406
7.79E-07,169820.7,0.689585174397303,1181.96169070849,6.26E-14,4.85E-12,5.66E-10,0.000556595177404,7.64E-06,0.001114827425202,6.35E-07,0.002043412668328,0,0.996276884044191,0.0753578
8.45E-07,169820.7,0.689585174397303,1181.95879164441,8.66E-14,6.18E-12,7.16E-10,0.000556595079427,8.24E-06,0.001114936634793,7.45E-07,0.002042950506972,0,0.996276533267447,0.0753775
9.12E-07,169820.7,0.689585174397303,1181.95594610007,1.17E-13,7.73E-12,8.89E-10,0.000556595006289,8.83E-06,0.001115053991935,8.62E-07,0.002042480327531,0,0.99627618257177,0.0753995
1.04E-06,169820.7,0.689585174397303,1181.95072606216,1.95E-13,1.13E-11,1.28E-09,0.000556594948791,9.91E-06,0.001115296930484,1.10E-06,0.002041572786502,0,0.996275521828527,0.0754474
1.12E-06,169820.7,0.689585174397303,1181.94721266222,2.68E-13,1.44E-11,1.61E-09,0.000556594981904,1.06E-05,0.00111548183658,1.29E-06,0.002040927137571,0,0.996275063633833,0.0754854
1.21E-06,169820.7,0.689585174397303,1181.94378591654,3.60E-13,1.79E-11,1.99E-09,0.000556595085357,1.14E-05,0.001115679877354,1.49E-06,0.002040268621348,0,0.996274605587395,0.0755273
1.30E-06,169820.7,0.689585174397303,1181.94044438411,4.75E-13,2.20E-11,2.41E-09,0.000556595268826,1.21E-05,0.001115890814681,1.70E-06,0.002039597490809,0,0.996274147692103,0.0755729
1.38E-06,169820.7,0.689585174397303,1181.93718665492,6.14E-13,2.67E-11,2.89E-09,0.000556595542398,1.28E-05,0.00111611441477,1.92E-06,0.002038913994785,0,0.996273689950791,0.0756223
1.47E-06,169820.7,0.689585174397303,1181.93401134924,7.82E-13,3.21E-11,3.42E-09,0.000556595916542,1.34E-05,0.001116350448082,2.15E-06,0.002038218378021,0,0.99627323236623,0.0756752
