,,,,,,time,pressure,mass,temperature,H2,H,O,O2,OH,H2O,HO2,H2O2,N2,AR,Absorbance
,,,,,,2.21E-15,169820.7,0.689585174397303,1181.99999999988,1.20E-37,8.25E-28,6.01E-30,0.000556597228827,2.35E-14,0.001114195531806,7.75E-20,0.002048197716138,0,0.996281009523207,0.0753194
,,,,,,2.21E-11,169820.7,0.689585174397303,1181.99999879381,1.38E-29,9.45E-24,4.42E-23,0.000556597228761,2.36E-10,0.001114195531676,1.86E-15,0.002048197598153,0,0.996281009405903,0.0753194
,,,,,,9.43E-11,169820.7,0.689585174397303,1181.99999485771,2.18E-28,5.96E-23,1.83E-21,0.000556597228545,1.00E-09,0.001114195531259,1.56E-14,0.002048197213089,0,0.996281009023068,0.0753193
,,,,,,1.67E-10,169820.7,0.689585174397303,1181.99999092167,7.60E-28,1.50E-22,7.86E-21,0.00055659722833,1.77E-09,0.001114195530852,3.97E-14,0.002048196828015,0,0.996281008640232,0.0753193
,,,,,,2.39E-10,169820.7,0.689585174397303,1181.99998698571,1.90E-27,3.03E-22,2.10E-20,0.000556597228115,2.54E-09,0.001114195530456,7.48E-14,0.00204819644293,0,0.996281008257397,0.0753193
,,,,,,3.11E-10,169820.7,0.689585174397303,1181.99998304982,4.00E-27,5.43E-22,4.43E-20,0.0005565972279,3.31E-09,0.001114195530072,1.21E-13,0.002048196057833,0,0.996281007874562,0.0753193
,,,,,,4.65E-10,169820.7,0.689585174397303,1181.99997463786,1.52E-26,1.50E-21,1.47E-19,0.00055659722744,4.95E-09,0.00111419552929,2.60E-13,0.002048195234724,0,0.996281007056325,0.0753193
,,,,,,7.47E-10,169820.7,0.689585174397303,1181.99995927188,8.89E-26,5.56E-21,6.20E-19,0.0005565972266,7.95E-09,0.001114195527997,6.48E-13,0.002048193730943,0,0.99628100556158,0.0753192
,,,,,,1.25E-09,169820.7,0.689585174397303,1181.99993199657,6.61E-25,2.47E-20,2.93E-18,0.000556597225109,1.33E-08,0.001114195526136,1.77E-12,0.002048191060956,0,0.996281002908068,0.0753191
,,,,,,2.14E-09,169820.7,0.689585174397303,1181.9998833173,5.70E-24,1.23E-19,1.50E-17,0.000556597222447,2.28E-08,0.001114195524192,5.16E-12,0.00204818629348,0,0.99628099817138,0.075319
,,,,,,3.95E-09,169820.7,0.689585174397303,1181.99978492714,6.90E-23,7.75E-19,9.62E-17,0.000556597217065,4.20E-08,0.001114195525661,1.74E-11,0.002048176648683,0,0.996280988594234,0.0753186
,,,,,,5.75E-09,169820.7,0.689585174397303,1181.99968658421,2.71E-22,2.29E-18,2.85E-16,0.000556597211683,6.12E-08,0.001114195534353,3.69E-11,0.002048166996724,0,0.996280979017149,0.0753183
,,,,,,7.56E-09,169820.7,0.689585174397303,1181.99958828848,7.37E-22,5.02E-18,6.27E-16,0.000556597206301,8.04E-08,0.001114195550266,6.36E-11,0.002048157337605,0,0.996280969440123,0.0753179
,,,,,,1.05E-08,169820.7,0.689585174397303,1181.99943029522,2.49E-21,1.29E-17,1.62E-15,0.000556597197645,1.11E-07,0.001114195590998,1.22E-10,0.002048141787514,0,0.996280954037203,0.0753174
,,,,,,1.34E-08,169820.7,0.689585174397303,1181.99927242395,6.27E-21,2.65E-17,3.32E-15,0.000556597188989,1.42E-07,0.001114195650391,1.98E-10,0.002048126218919,0,0.996280938634438,0.0753168
,,,,,,1.63E-08,169820.7,0.689585174397303,1181.99911467462,1.33E-20,4.72E-17,5.91E-15,0.000556597180333,1.73E-07,0.001114195728432,2.94E-10,0.002048110631834,0,0.996280923231829,0.0753163
,,,,,,1.92E-08,169820.7,0.689585174397303,1181.99895704714,2.51E-20,7.68E-17,9.62E-15,0.000556597171677,2.04E-07,0.00111419582511,4.08E-10,0.002048095026269,0,0.996280907829375,0.0753158
,,,,,,2.52E-08,169820.7,0.689585174397303,1181.99863331216,7.30E-20,1.72E-16,2.16E-14,0.000556597153879,2.67E-07,0.001114196082411,7.01E-10,0.002048062879707,0,0.996280876158957,0.0753147
,,,,,,3.11E-08,169820.7,0.689585174397303,1181.99831009143,1.70E-19,3.25E-16,4.07E-14,0.000556597136082,3.30E-07,0.00111419641836,1.07E-09,0.002048030655169,0,0.996280844489198,0.0753137
,,,,,,4.79E-08,169820.7,0.689585174397303,1181.99740341401,9.69E-19,1.18E-15,1.48E-13,0.000556597086011,5.08E-07,0.001114197784699,2.54E-09,0.00204793956904,0,0.99628075538504,0.0753109
,,,,,,6.47E-08,169820.7,0.689585174397303,1181.99650078839,3.21E-18,2.91E-15,3.64E-13,0.000556597035948,6.84E-07,0.001114199770647,4.62E-09,0.002047847868702,0,0.996280666286131,0.0753083
,,,,,,8.16E-08,169820.7,0.689585174397303,1181.99560220035,7.95E-18,5.80E-15,7.25E-13,0.000556596985899,8.61E-07,0.001114202373979,7.33E-09,0.002047755556441,0,0.996280577192493,0.0753058
,,,,,,9.84E-08,169820.7,0.689585174397303,1181.99470763575,1.66E-17,1.02E-14,1.27E-12,0.000556596935868,1.04E-06,0.001114205592485,1.06E-08,0.002047662634534,0,0.996280488104147,0.0753036
,,,,,,1.15E-07,169820.7,0.689585174397303,1181.99381708055,3.11E-17,1.63E-14,2.03E-12,0.000556596885862,1.21E-06,0.001114209423965,1.46E-08,0.002047569105245,0,0.996280399021115,0.0753015
,,,,,,1.41E-07,169820.7,0.689585174397303,1181.99243159081,7.04E-17,3.01E-14,3.75E-12,0.000556596807684,1.48E-06,0.001114216644067,2.20E-08,0.002047421541319,0,0.996280259638608,0.0752986
,,,,,,1.68E-07,169820.7,0.689585174397303,1181.9910558304,1.39E-16,5.02E-14,6.23E-12,0.00055659672962,1.75E-06,0.001114225351282,3.08E-08,0.002047272504384,0,0.996280120269245,0.0752962
,,,,,,1.94E-07,169820.7,0.689585174397303,1181.98968974635,2.48E-16,7.75E-14,9.60E-12,0.000556596651713,2.02E-06,0.001114235537292,4.12E-08,0.002047122003012,0,0.996279980913105,0.0752942
,,,,,,2.20E-07,169820.7,0.689585174397303,1181.98833328604,4.12E-16,1.13E-13,1.40E-11,0.000556596574011,2.29E-06,0.001114247193824,5.30E-08,0.002046970045737,0,0.996279841570271,0.0752926
,,,,,,2.61E-07,169820.7,0.689585174397303,1181.98624505961,8.11E-16,1.88E-13,2.32E-11,0.000556596453837,2.70E-06,0.001114268198852,7.42E-08,0.002046731120394,0,0.99627962513498,0.0752911
,,,,,,3.02E-07,169820.7,0.689585174397303,1181.98417973681,1.45E-15,2.90E-13,3.56E-11,0.000556596334521,3.11E-06,0.001114292702085,9.89E-08,0.002046488733764,0,0.996279408732285,0.0752905
,,,,,,3.66E-07,169820.7,0.689585174397303,1181.9810139593,3.09E-15,5.12E-13,6.25E-11,0.000556596151371,3.74E-06,0.001114337670691,1.44E-07,0.002046105113482,0,0.996279072372239,0.0752917
,,,,,,4.29E-07,169820.7,0.689585174397303,1181.97790235943,5.85E-15,8.24E-13,1.00E-10,0.000556595972115,4.37E-06,0.001114390907924,1.98E-07,0.002045713320212,0,0.996278736092771,0.0752954
,,,,,,4.93E-07,169820.7,0.689585174397303,1181.97484423533,1.01E-14,1.24E-12,1.50E-10,0.000556595798109,4.98E-06,0.001114452302518,2.59E-07,0.002045313469259,0,0.996278399894956,0.0753015
,,,,,,5.56E-07,169820.7,0.689585174397303,1181.9718388962,1.64E-14,1.78E-12,2.13E-10,0.000556595630895,5.58E-06,0.001114521744699,3.29E-07,0.002044905674528,0,0.99627806377985,0.0753099
,,,,,,6.20E-07,169820.7,0.689585174397303,1181.96888566211,2.52E-14,2.46E-12,2.92E-10,0.000556595472183,6.18E-06,0.001114599126165,4.07E-07,0.002044490048545,0,0.996277727748496,0.0753207
,,,,,,7.22E-07,169820.7,0.689585174397303,1181.96424736633,4.62E-14,3.86E-12,4.54E-10,0.000556595239736,7.12E-06,0.001114739837357,5.48E-07,0.002043806025969,0,0.996277187934429,0.0753429
,,,,,,8.24E-07,169820.7,0.689585174397303,1181.9597391782,7.82E-14,5.72E-12,6.65E-10,0.000556595042781,8.04E-06,0.001114900339419,7.09E-07,0.002043102520945,0,0.99627664834345,0.0753709
,,,,,,9.26E-07,169820.7,0.689585174397303,1181.95535844431,1.24E-13,8.10E-12,9.29E-10,0.000556594890926,8.95E-06,0.001115080205955,8.88E-07,0.002042379978633,0,0.996276108979628,0.0754046
,,,,,,1.03E-06,169820.7,0.689585174397303,1181.95110257699,1.88E-13,1.10E-11,1.25E-09,0.000556594794676,9.83E-06,0.00111527901966,1.09E-06,0.002041638835518,0,0.996275569846933,0.0754439
