,time,pressure,mass,temperature,H2,H,O,O2,OH,H2O,HO2,H2O2,N2,AR
0,2.2124199660407463e-15,169820.69999999995,0.6895851743973026,1181.9999999998795,1.2001473311049882e-37,8.246002688796728e-28,6.0050319513396854e-30,0.0005565972288265243,2.3549689530325464e-14,0.0011141955318056146,7.054954573453417e-20,0.00204819771613763,0.0,0.9962810095232068
1,2.2126412080373504e-11,169820.69999999995,0.6895851743973026,1181.9999987937422,1.3683969478768235e-29,9.402016718500505e-24,4.423158440815589e-23,0.0005565972287606331,2.355193467604055e-10,0.0011141955316755043,1.7900992856913736e-15,0.0020481975981465794,0.0,0.9962810094058961
2,9.435257896718563e-11,169820.69999999992,0.6895851743973026,1181.9999948562638,2.1585118600538097e-28,5.912298478925753e-23,1.8361891281721846e-21,0.0005565972285455263,1.0043058504828344e-09,0.0011141955312584553,1.5339291935743596e-14,0.0020481972129479816,0.0,0.9962810090229268
3,1.6657874585399776e-10,169820.69999999992,0.6895851743973026,1181.9999909188525,7.540900546407982e-28,1.4864683652820057e-22,7.866801362228435e-21,0.0005565972283304196,1.7730819501628858e-09,0.00111419553085168,3.9162383876751074e-14,0.0020481968277391753,0.0,0.9962810086399576
4,2.388049127408099e-10,169820.69999999998,0.6895851743973026,1181.9999869815138,1.8854541694709733e-27,3.005301255580399e-22,2.1041542799093315e-20,0.0005565972281153128,2.5418467790173433e-09,0.0011141955304560347,7.411539060703629e-14,0.0020481964425193098,0.0,0.9962810082569884
5,3.1103107962762207e-10,169820.69999999995,0.6895851743973026,1181.9999830442493,3.967755475095751e-27,5.38323849014902e-22,4.437061555234788e-20,0.0005565972279002062,3.3106000482187027e-09,0.001114195530071805,1.2048353177905092e-13,0.0020481960572881013,0.0,0.9962810078740194
6,4.6541566268662455e-10,169820.69999999992,0.6895851743973026,1181.999974628536,1.513257481411407e-26,1.4867703895147552e-21,1.4750461218887807e-19,0.0005565972274404125,4.9537832141796885e-09,0.001114195529289219,2.5830744294268215e-13,0.002048195233811787,0.0,0.9962810070554171
7,7.474513306144882e-10,169820.69999999992,0.6895851743973026,1181.9999592552767,8.850067071697617e-26,5.542112622870803e-21,6.207512173769127e-19,0.0005565972266004443,7.955475149475395e-09,0.0011141955279958282,6.463555699521819e-13,0.002048193729318321,0.0,0.9962810055599639
8,1.2481268466377918e-09,169820.69999999992,0.6895851743973026,1181.9999319671795,6.59953791226349e-25,2.4663338274381808e-20,2.937237566917521e-18,0.0005565972251093168,1.3283700912098228e-08,0.0011141955261337523,1.7691998560473307e-12,0.0020481910580793703,0.0,0.9962810029052074
9,2.141788785498589e-09,169820.69999999992,0.6895851743973026,1181.9998832693097,5.6918327845466866e-24,1.2258353577068834e-19,1.5021258267482886e-17,0.0005565972224477898,2.2792719777607153e-08,0.0011141955241900183,5.153269111706316e-12,0.0020481862887807016,0.0,0.9962809981667083
10,3.9472608898396886e-09,169820.69999999992,0.6895851743973026,1181.9997849197935,6.887212063924057e-23,7.739975958191892e-19,9.618506058417669e-17,0.0005565972170707065,4.199840003324821e-08,0.0011141955256585123,1.7385468290325556e-11,0.0020481766479687733,0.0,0.9962809885935165
11,5.752732994180787e-09,169820.69999999995,0.6895851743973026,1181.99968661731,2.7081219417866625e-22,2.284399119879165e-18,2.8495763650003314e-16,0.0005565972116936502,6.11967724087005e-08,0.0011141955343432616,3.683376227522985e-11,0.0020481669999866258,0.0,0.9962809790203702
12,7.558205098521886e-09,169820.69999999992,0.6895851743973026,1181.9995883618433,7.353521814003365e-22,5.01673097455038e-18,6.269299565491622e-16,0.0005565972063166218,8.038783935571358e-08,0.0011141955502417026,6.349554007176228e-11,0.002048157344836904,0.0,0.9962809694472693
13,1.046556324164025e-08,169820.69999999992,0.6895851743973026,1181.999430239486,2.4906077566315175e-21,1.2941560336623565e-17,1.6197068834239825e-15,0.0005565971976580358,1.1127593550356234e-07,0.0011141955909970485,1.2158256258552274e-10,0.002048141782058113,0.0,0.9962809540317672
14,1.3372921384758613e-08,169820.69999999992,0.6895851743973026,1181.9992722389327,6.2691455228249305e-21,2.6486858340299344e-17,3.3174447060482376e-15,0.000556597188999531,1.4214510513570393e-07,0.001114195650440273,1.9835660185228492e-10,0.0020481262007115684,0.0,0.9962809386163837
15,1.6280279527876978e-08,169820.69999999995,0.6895851743973026,1181.9991143601094,1.3283259230046482e-20,4.724616869933981e-17,5.9199289473541914e-15,0.0005565971803411144,1.7299535937423152e-07,0.0011141957285597612,2.9380583122177743e-10,0.002048110600809233,0.0,0.9962809232011187
16,1.9187637670995343e-08,169820.6999999999,0.6895851743973026,1181.9989566029406,2.5076336652412456e-20,7.684611481080976e-17,9.630931258632485e-15,0.0005565971716827948,2.038267095871883e-07,0.0011141958253436445,4.0791816175562007e-10,0.002048094982363338,0.0,0.9962809077859727
17,2.515948098464493e-08,169820.69999999998,0.6895851743973026,1181.998632943942,7.304829101099905e-20,1.7212019979889223e-16,2.1574182465223077e-14,0.0005565971538985698,2.670964315647605e-07,0.0011141960826350078,7.007979424197519e-10,0.00204806284326634,0.0,0.9962808761229489
18,3.113132429829451e-08,169820.69999999992,0.6895851743973026,1181.9983097972624,1.6987297588723164e-19,3.251544745253692e-16,4.075259830122567e-14,0.000556597136114902,3.3028653874814557e-07,0.0011141964185238408,1.0722669003999223e-09,0.0020480306260862464,0.0,0.9962808444604282
19,4.782763504152551e-08,169820.69999999992,0.6895851743973026,1181.9974090444077,9.596984707447116e-19,1.174575516232449e-15,1.4709655959327113e-13,0.0005565970863988625,5.065342352647339e-07,0.0011141977738328705,2.5269914626193696e-09,0.002047940138584274,0.0,0.996280755939809
20,6.45239457847565e-08,169820.6999999999,0.6895851743973026,1181.9965122774402,3.1604916126588912e-18,2.8780030198415897e-15,3.600601435903846e-13,0.000556597036692147,6.821624281783299e-07,0.0011141997405695744,4.5930192845838975e-09,0.0020478490437669883,0.0,0.9962806674231609
