Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
H + O2 <=> O + OH,1.00E-06,1.00E-06,1.00E-06
H + O2 (+M) <=> HO2 (+M),1.00E-06,1.00E-06,1.00E-06
H + O2 (+AR) <=> HO2 (+AR),1.00E-06,1.00E-06,1.00E-06
H + O2 (+O2) <=> HO2 (+O2),1.00E-06,1.00E-06,1.00E-06
H + O2 (+H2O) <=> HO2 (+H2O),1.00E-06,1.00E-06,1.00E-06
H2O2 (+M) <=> 2 OH (+M),1.00E-06,1.00E-06,1.00E-06
H2O2 + OH <=> H2O + HO2,1.00E-06,1.00E-06,1.00E-06
HO2 + OH <=> H2O + O2,1.00E-06,1.00E-06,1.00E-06
2 HO2 <=> H2O2 + O2,1.00E-06,1.00E-06,1.00E-06
H2O + M <=> H + OH + M,1.00E-06,1.00E-06,1.00E-06
2 H2O <=> H + H2O + OH,1.00E-06,1.00E-06,1.00E-06
2 OH <=> H2O + O,1.00E-06,1.00E-06,1.00E-06
H2 + O <=> H + OH,1.00E-06,1.00E-06,1.00E-06
H2 + O <=> H + OH,1.00E-06,1.00E-06,1.00E-06
H2 + OH <=> H + H2O,1.00E-06,1.00E-06,1.00E-06
H + HO2 <=> 2 OH,1.00E-06,1.00E-06,1.00E-06
H + HO2 <=> H2O + O,1.00E-06,1.00E-06,1.00E-06
H + HO2 <=> H2 + O2,1.00E-06,1.00E-06,1.00E-06
HO2 + O <=> O2 + OH,1.00E-06,1.00E-06,1.00E-06
H + H2O2 <=> H2 + HO2,1.00E-06,1.00E-06,1.00E-06
H + H2O2 <=> H2O + OH,1.00E-06,1.00E-06,1.00E-06
H2O2 + O <=> HO2 + OH,1.00E-06,1.00E-06,1.00E-06
H2 + M <=> 2 H + M,1.00E-06,1.00E-06,1.00E-06
2 H2 <=> 2 H + H2,1.00E-06,1.00E-06,1.00E-06
H2 + N2 <=> 2 H + N2,1.00E-06,1.00E-06,1.00E-06
H2 + O2 <=> 2 H + O2,1.00E-06,1.00E-06,1.00E-06
2 O + M <=> O2 + M,1.00E-06,1.00E-06,1.00E-06
AR + 2 O <=> AR + O2,1.00E-06,1.00E-06,1.00E-06
H + O + M <=> OH + M,1.00E-06,1.00E-06,1.00E-06
