time,Absorbance_227,Relative_Uncertainty,W
9.63E-16,0.114453,0.1,0.041099747
7.28E-12,0.114453,0.1,0.041099747
3.01E-11,0.114453,0.1,0.041099747
5.30E-11,0.114453,0.1,0.041099747
7.59E-11,0.114453,0.1,0.041099747
9.87E-11,0.114453,0.1,0.041099747
1.47E-10,0.114453,0.1,0.041099747
2.35E-10,0.114453,0.1,0.041099747
3.90E-10,0.114452,0.1,0.041099747
6.65E-10,0.114452,0.1,0.041099747
1.18E-09,0.114452,0.1,0.041099747
2.35E-09,0.11445,0.1,0.041099747
3.52E-09,0.114449,0.1,0.041099747
4.68E-09,0.114448,0.1,0.041099747
5.85E-09,0.114447,0.1,0.041099747
7.01E-09,0.114446,0.1,0.041099747
8.18E-09,0.114445,0.1,0.041099747
9.47E-09,0.114443,0.1,0.041099747
1.08E-08,0.114442,0.1,0.041099747
1.21E-08,0.114441,0.1,0.041099747
1.40E-08,0.114439,0.1,0.041099747
1.60E-08,0.114437,0.1,0.041099747
1.80E-08,0.114435,0.1,0.041099747
2.00E-08,0.114434,0.1,0.041099747
2.39E-08,0.11443,0.1,0.041099747
3.35E-08,0.114422,0.1,0.041099747
4.31E-08,0.114415,0.1,0.041099747
5.27E-08,0.114408,0.1,0.041099747
6.22E-08,0.114402,0.1,0.041099747
7.18E-08,0.114397,0.1,0.041099747
8.14E-08,0.114392,0.1,0.041099747
9.16E-08,0.114388,0.1,0.041099747
1.02E-07,0.114384,0.1,0.041099747
1.12E-07,0.114381,0.1,0.041099747
1.36E-07,0.114377,0.1,0.041099747
1.59E-07,0.114376,0.1,0.041099747
1.83E-07,0.11438,0.1,0.041099747
2.06E-07,0.114386,0.1,0.041099747
2.30E-07,0.114397,0.1,0.041099747
2.54E-07,0.114411,0.1,0.041099747
2.77E-07,0.114428,0.1,0.041099747
3.01E-07,0.114449,0.1,0.041099747
3.24E-07,0.114474,0.1,0.041099747
3.48E-07,0.114502,0.1,0.041099747
3.89E-07,0.114557,0.1,0.041099747
4.29E-07,0.114623,0.1,0.041099747
4.70E-07,0.114698,0.1,0.041099747
5.10E-07,0.114783,0.1,0.041099747
