Time,H2O_ppm,Relative_Uncertainty,W
9.63E-16,1113.08,0.05,0.041099747
7.28E-12,1113.08,0.05,0.041099747
3.01E-11,1113.08,0.05,0.041099747
5.30E-11,1113.08,0.05,0.041099747
7.59E-11,1113.08,0.05,0.041099747
9.87E-11,1113.08,0.05,0.041099747
1.47E-10,1113.08,0.05,0.041099747
2.35E-10,1113.08,0.05,0.041099747
3.90E-10,1113.08,0.05,0.041099747
6.65E-10,1113.08,0.05,0.041099747
1.18E-09,1113.08,0.05,0.041099747
2.35E-09,1113.08,0.05,0.041099747
3.52E-09,1113.08,0.05,0.041099747
4.68E-09,1113.08,0.05,0.041099747
5.85E-09,1113.08,0.05,0.041099747
7.01E-09,1113.08,0.05,0.041099747
8.18E-09,1113.08,0.05,0.041099747
9.47E-09,1113.08,0.05,0.041099747
1.08E-08,1113.08,0.05,0.041099747
1.21E-08,1113.08,0.05,0.041099747
1.40E-08,1113.08,0.05,0.041099747
1.60E-08,1113.08,0.05,0.041099747
1.80E-08,1113.08,0.05,0.041099747
2.00E-08,1113.08,0.05,0.041099747
2.39E-08,1113.08,0.05,0.041099747
3.35E-08,1113.09,0.05,0.041099747
4.31E-08,1113.1,0.05,0.041099747
5.27E-08,1113.11,0.05,0.041099747
6.22E-08,1113.12,0.05,0.041099747
7.18E-08,1113.13,0.05,0.041099747
8.14E-08,1113.15,0.05,0.041099747
9.16E-08,1113.17,0.05,0.041099747
1.02E-07,1113.19,0.05,0.041099747
1.12E-07,1113.22,0.05,0.041099747
1.36E-07,1113.28,0.05,0.041099747
1.59E-07,1113.36,0.05,0.041099747
1.83E-07,1113.44,0.05,0.041099747
2.06E-07,1113.55,0.05,0.041099747
2.30E-07,1113.66,0.05,0.041099747
2.54E-07,1113.78,0.05,0.041099747
2.77E-07,1113.91,0.05,0.041099747
3.01E-07,1114.06,0.05,0.041099747
3.24E-07,1114.22,0.05,0.041099747
3.48E-07,1114.39,0.05,0.041099747
3.89E-07,1114.7,0.05,0.041099747
4.29E-07,1115.05,0.05,0.041099747
4.70E-07,1115.43,0.05,0.041099747
5.10E-07,1115.84,0.05,0.041099747
5.51E-07,1116.28,0.05,0.041099747
5.92E-07,1116.75,0.05,0.041099747
6.32E-07,1117.25,0.05,0.041099747
6.73E-07,1117.78,0.05,0.041099747
7.35E-07,1118.63,0.05,0.041099747
7.96E-07,1119.55,0.05,0.041099747
8.58E-07,1120.53,0.05,0.041099747
9.19E-07,1121.56,0.05,0.041099747
9.81E-07,1122.66,0.05,0.041099747
1.04E-06,1123.82,0.05,0.041099747
1.10E-06,1125.03,0.05,0.041099747
1.17E-06,1126.29,0.05,0.041099747
1.23E-06,1127.61,0.05,0.041099747
1.29E-06,1128.97,0.05,0.041099747
1.35E-06,1130.39,0.05,0.041099747
1.41E-06,1131.86,0.05,0.041099747
1.47E-06,1133.37,0.05,0.041099747
1.53E-06,1134.93,0.05,0.041099747
1.60E-06,1136.53,0.05,0.041099747
1.66E-06,1138.18,0.05,0.041099747
1.72E-06,1139.87,0.05,0.041099747
1.78E-06,1141.6,0.05,0.041099747
1.84E-06,1143.37,0.05,0.041099747
1.90E-06,1145.18,0.05,0.041099747
1.97E-06,1147.03,0.05,0.041099747
2.03E-06,1148.92,0.05,0.041099747
2.09E-06,1150.84,0.05,0.041099747
2.15E-06,1152.79,0.05,0.041099747
2.21E-06,1154.78,0.05,0.041099747
