Time,OH_ppm,Relative_Uncertainty,W
9.63E-16,5.41E-08,0.05,0.041099747
7.28E-12,0.000408778,0.05,0.041099747
3.01E-11,0.00169206,0.05,0.041099747
5.30E-11,0.00297534,0.05,0.041099747
7.59E-11,0.0042586,0.05,0.041099747
9.87E-11,0.00554185,0.05,0.041099747
1.47E-10,0.00824931,0.05,0.041099747
2.35E-10,0.0131739,0.05,0.041099747
3.90E-10,0.0218899,0.05,0.041099747
6.65E-10,0.0373051,0.05,0.041099747
1.18E-09,0.066419,0.05,0.041099747
2.35E-09,0.131824,0.05,0.041099747
3.52E-09,0.197196,0.05,0.041099747
4.68E-09,0.262536,0.05,0.041099747
5.85E-09,0.327844,0.05,0.041099747
7.01E-09,0.393121,0.05,0.041099747
8.18E-09,0.458365,0.05,0.041099747
9.47E-09,0.530567,0.05,0.041099747
1.08E-08,0.602729,0.05,0.041099747
1.21E-08,0.674853,0.05,0.041099747
1.40E-08,0.785968,0.05,0.041099747
1.60E-08,0.89699,0.05,0.041099747
1.80E-08,1.00792,0.05,0.041099747
2.00E-08,1.11875,0.05,0.041099747
2.39E-08,1.33699,0.05,0.041099747
3.35E-08,1.86789,0.05,0.041099747
4.31E-08,2.39665,0.05,0.041099747
5.27E-08,2.92328,0.05,0.041099747
6.22E-08,3.44779,0.05,0.041099747
7.18E-08,3.97018,0.05,0.041099747
8.14E-08,4.49047,0.05,0.041099747
9.16E-08,5.04411,0.05,0.041099747
1.02E-07,5.59535,0.05,0.041099747
1.12E-07,6.14423,0.05,0.041099747
1.36E-07,7.40051,0.05,0.041099747
1.59E-07,8.64434,0.05,0.041099747
1.83E-07,9.87583,0.05,0.041099747
2.06E-07,11.0951,0.05,0.041099747
2.30E-07,12.3022,0.05,0.041099747
2.54E-07,13.4974,0.05,0.041099747
2.77E-07,14.6806,0.05,0.041099747
3.01E-07,15.852,0.05,0.041099747
3.24E-07,17.0118,0.05,0.041099747
3.48E-07,18.16,0.05,0.041099747
3.89E-07,20.1118,0.05,0.041099747
4.29E-07,22.03,0.05,0.041099747
4.70E-07,23.9153,0.05,0.041099747
5.10E-07,25.7681,0.05,0.041099747
5.51E-07,27.5889,0.05,0.041099747
5.92E-07,29.3783,0.05,0.041099747
6.32E-07,31.1367,0.05,0.041099747
6.73E-07,32.8647,0.05,0.041099747
7.35E-07,35.425,0.05,0.041099747
7.96E-07,37.9181,0.05,0.041099747
8.58E-07,40.3456,0.05,0.041099747
9.19E-07,42.7091,0.05,0.041099747
9.81E-07,45.01,0.05,0.041099747
1.04E-06,47.2498,0.05,0.041099747
1.10E-06,49.43,0.05,0.041099747
1.17E-06,51.5519,0.05,0.041099747
1.23E-06,53.617,0.05,0.041099747
1.29E-06,55.6265,0.05,0.041099747
1.35E-06,57.5818,0.05,0.041099747
1.41E-06,59.4842,0.05,0.041099747
1.47E-06,61.3349,0.05,0.041099747
1.53E-06,63.1352,0.05,0.041099747
1.60E-06,64.8861,0.05,0.041099747
1.66E-06,66.589,0.05,0.041099747
1.72E-06,68.2448,0.05,0.041099747
1.78E-06,69.8548,0.05,0.041099747
1.84E-06,71.42,0.05,0.041099747
1.90E-06,72.9415,0.05,0.041099747
1.97E-06,74.4203,0.05,0.041099747
2.03E-06,75.8574,0.05,0.041099747
2.09E-06,77.2539,0.05,0.041099747
2.15E-06,78.6106,0.05,0.041099747
2.21E-06,79.9286,0.05,0.041099747
2.27E-06,81.2087,0.05,0.041099747
2.33E-06,82.4519,0.05,0.041099747
2.40E-06,83.6591,0.05,0.041099747
2.46E-06,84.831,0.05,0.041099747
2.55E-06,86.5266,0.05,0.041099747
2.64E-06,88.1476,0.05,0.041099747
2.74E-06,89.6966,0.05,0.041099747
2.83E-06,91.1762,0.05,0.041099747
2.92E-06,92.589,0.05,0.041099747
3.01E-06,93.9373,0.05,0.041099747
3.11E-06,95.2236,0.05,0.041099747
3.20E-06,96.45,0.05,0.041099747
3.29E-06,97.6188,0.05,0.041099747
3.38E-06,98.7322,0.05,0.041099747
3.47E-06,99.7921,0.05,0.041099747
3.57E-06,100.801,0.05,0.041099747
3.66E-06,101.76,0.05,0.041099747
3.75E-06,102.671,0.05,0.041099747
3.84E-06,103.536,0.05,0.041099747
3.94E-06,104.358,0.05,0.041099747
