Time,OH_ppm,Relative_Uncertainty,W
6.63E-06,115.013,5.00E-02,0.041099747
6.76E-06,115.114,5.00E-02,0.041099747
6.90E-06,115.189,5.00E-02,0.041099747
7.04E-06,115.24,5.00E-02,0.041099747
7.18E-06,115.267,5.00E-02,0.041099747
7.32E-06,115.274,5.00E-02,0.041099747
7.46E-06,115.261,5.00E-02,0.041099747
7.60E-06,115.23,5.00E-02,0.041099747
7.74E-06,115.182,5.00E-02,0.041099747
7.88E-06,115.118,5.00E-02,0.041099747
8.02E-06,115.04,5.00E-02,0.041099747
8.16E-06,114.949,5.00E-02,0.041099747
8.30E-06,114.846,5.00E-02,0.041099747
8.44E-06,114.732,5.00E-02,0.041099747
8.58E-06,114.607,5.00E-02,0.041099747
8.72E-06,114.474,5.00E-02,0.041099747
8.86E-06,114.331,5.00E-02,0.041099747
9.00E-06,114.182,5.00E-02,0.041099747
9.14E-06,114.025,5.00E-02,0.041099747
9.28E-06,113.862,5.00E-02,0.041099747
9.42E-06,113.693,5.00E-02,0.041099747
9.56E-06,113.519,5.00E-02,0.041099747
9.70E-06,113.341,5.00E-02,0.041099747
9.84E-06,113.158,5.00E-02,0.041099747
9.98E-06,112.973,5.00E-02,0.041099747
1.01E-05,112.784,5.00E-02,0.041099747
1.03E-05,112.592,5.00E-02,0.041099747
1.04E-05,112.399,5.00E-02,0.041099747
1.05E-05,112.203,5.00E-02,0.041099747
1.07E-05,112.007,5.00E-02,0.041099747
1.08E-05,111.808,5.00E-02,0.041099747
1.10E-05,111.61,5.00E-02,0.041099747
1.11E-05,111.41,5.00E-02,0.041099747
1.12E-05,111.21,5.00E-02,0.041099747
1.14E-05,111.01,5.00E-02,0.041099747
1.15E-05,110.81,5.00E-02,0.041099747
1.17E-05,110.61,5.00E-02,0.041099747
1.18E-05,110.411,5.00E-02,0.041099747
1.19E-05,110.213,5.00E-02,0.041099747
1.21E-05,110.015,5.00E-02,0.041099747
1.22E-05,109.818,5.00E-02,0.041099747
1.24E-05,109.523,5.00E-02,0.041099747
1.26E-05,109.231,5.00E-02,0.041099747
1.28E-05,108.942,5.00E-02,0.041099747
1.31E-05,108.657,5.00E-02,0.041099747
1.33E-05,108.375,5.00E-02,0.041099747
1.35E-05,108.098,5.00E-02,0.041099747
1.37E-05,107.824,5.00E-02,0.041099747
1.39E-05,107.555,5.00E-02,0.041099747
1.41E-05,107.291,5.00E-02,0.041099747
1.43E-05,107.031,5.00E-02,0.041099747
1.45E-05,106.775,5.00E-02,0.041099747
1.47E-05,106.524,5.00E-02,0.041099747
