Time,H2O_ppm,Relative_Uncertainty,W
1.99E-15,1113,0.05,1.00E-11
1.90E-11,1113,0.05,1.00E-11
7.86E-11,1112.999999,0.05,1.00E-11
1.38E-10,1112.999999,0.05,1.00E-11
1.98E-10,1112.999999,0.05,1.00E-11
2.58E-10,1112.999998,0.05,1.00E-11
3.83E-10,1112.999997,0.05,1.00E-11
6.13E-10,1112.999996,0.05,1.00E-11
1.02E-09,1112.999994,0.05,1.00E-11
1.75E-09,1112.999993,0.05,1.00E-11
3.25E-09,1112.999996,0.05,1.00E-11
4.75E-09,1113.000008,0.05,1.00E-11
6.25E-09,1113.000028,0.05,1.00E-11
8.59E-09,1113.000076,0.05,1.00E-11
1.09E-08,1113.000145,0.05,1.00E-11
1.33E-08,1113.000234,0.05,1.00E-11
1.56E-08,1113.000344,0.05,1.00E-11
1.99E-08,1113.000602,0.05,1.00E-11
2.43E-08,1113.000931,0.05,1.00E-11
2.86E-08,1113.001331,0.05,1.00E-11
3.59E-08,1113.002159,0.05,1.00E-11
4.84E-08,1113.004049,0.05,1.00E-11
6.10E-08,1113.006523,0.05,1.00E-11
7.35E-08,1113.00958,0.05,1.00E-11
8.60E-08,1113.013216,0.05,1.00E-11
1.07E-07,1113.020726,0.05,1.00E-11
1.29E-07,1113.029897,0.05,1.00E-11
1.50E-07,1113.040718,0.05,1.00E-11
1.71E-07,1113.05318,0.05,1.00E-11
1.93E-07,1113.067273,0.05,1.00E-11
2.14E-07,1113.082986,0.05,1.00E-11
2.35E-07,1113.100309,0.05,1.00E-11
2.69E-07,1113.131511,0.05,1.00E-11
3.04E-07,1113.166808,0.05,1.00E-11
3.69E-07,1113.245922,0.05,1.00E-11
4.35E-07,1113.339705,0.05,1.00E-11
5.01E-07,1113.44788,0.05,1.00E-11
5.67E-07,1113.570173,0.05,1.00E-11
6.33E-07,1113.706319,0.05,1.00E-11
7.39E-07,1113.955306,0.05,1.00E-11
8.45E-07,1114.238796,0.05,1.00E-11
9.52E-07,1114.555739,0.05,1.00E-11
1.06E-06,1114.905115,0.05,5.21E-02
1.16E-06,1115.285936,0.05,5.21E-02
1.27E-06,1115.697244,0.05,5.21E-02
1.38E-06,1116.138109,0.05,5.21E-02
1.48E-06,1116.607632,0.05,5.21E-02
1.59E-06,1117.104938,0.05,5.21E-02
1.70E-06,1117.62918,0.05,5.21E-02
1.80E-06,1118.179534,0.05,5.21E-02
1.91E-06,1118.755205,0.05,5.21E-02
2.02E-06,1119.355419,0.05,5.21E-02
2.12E-06,1119.979425,0.05,5.21E-02
2.23E-06,1120.626496,0.05,5.21E-02
2.34E-06,1121.295925,0.05,5.21E-02
2.44E-06,1121.987029,0.05,5.21E-02
2.55E-06,1122.699141,0.05,5.21E-02
2.65E-06,1123.431619,0.05,5.21E-02
2.76E-06,1124.183835,0.05,5.21E-02
2.87E-06,1124.955184,0.05,5.21E-02
2.97E-06,1125.745076,0.05,5.21E-02
3.08E-06,1126.55294,0.05,5.21E-02
3.19E-06,1127.378222,0.05,5.21E-02
3.29E-06,1128.220384,0.05,5.21E-02
3.40E-06,1129.078903,0.05,5.21E-02
3.51E-06,1129.953274,0.05,5.21E-02
3.61E-06,1130.843004,0.05,5.21E-02
3.77E-06,1132.206263,0.05,5.21E-02
3.93E-06,1133.601502,0.05,5.21E-02
4.09E-06,1135.027233,0.05,5.21E-02
4.25E-06,1136.482037,0.05,5.21E-02
4.41E-06,1137.964555,0.05,5.21E-02
4.57E-06,1139.473489,0.05,5.21E-02
4.73E-06,1141.007596,0.05,5.21E-02
4.89E-06,1142.565691,0.05,5.21E-02
5.05E-06,1144.146636,0.05,5.21E-02
5.21E-06,1145.749347,0.05,5.21E-02
5.37E-06,1147.372786,0.05,5.21E-02
5.53E-06,1149.015959,0.05,5.21E-02
5.69E-06,1150.677918,0.05,5.21E-02
5.85E-06,1152.357753,0.05,5.21E-02
6.01E-06,1154.054598,0.05,5.21E-02
6.17E-06,1155.767621,0.05,5.21E-02
6.33E-06,1157.496028,0.05,5.21E-02
6.49E-06,1159.23906,0.05,5.21E-02
6.65E-06,1160.995991,0.05,5.21E-02
6.81E-06,1162.766125,0.05,5.21E-02
6.97E-06,1164.548799,0.05,5.21E-02
7.13E-06,1166.343377,0.05,5.21E-02
