time,Absorbance_227,Relative_Uncertainty,W,W2
1.48E-15,0.0790385,0.1,0.014085904,0.010838875
1.48E-11,0.0790385,0.1,0.014085904,0.010838875
6.34E-11,0.0790384,0.1,0.014085904,0.010838875
1.12E-10,0.0790384,0.1,0.014085904,0.010838875
1.61E-10,0.0790384,0.1,0.014085904,0.010838875
2.09E-10,0.0790384,0.1,0.014085904,0.010838875
3.13E-10,0.0790383,0.1,0.014085904,0.010838875
5.03E-10,0.0790382,0.1,0.014085904,0.010838875
8.40E-10,0.0790381,0.1,0.014085904,0.010838875
1.44E-09,0.0790378,0.1,0.014085904,0.010838875
2.58E-09,0.0790373,0.1,0.014085904,0.010838875
4.89E-09,0.0790363,0.1,0.014085904,0.010838875
7.20E-09,0.0790353,0.1,0.014085904,0.010838875
9.51E-09,0.0790343,0.1,0.014085904,0.010838875
1.18E-08,0.0790333,0.1,0.014085904,0.010838875
1.41E-08,0.0790323,0.1,0.014085904,0.010838875
1.64E-08,0.0790313,0.1,0.014085904,0.010838875
1.88E-08,0.0790303,0.1,0.014085904,0.010838875
2.42E-08,0.079028,0.1,0.014085904,0.010838875
2.97E-08,0.0790258,0.1,0.014085904,0.010838875
3.52E-08,0.0790236,0.1,0.014085904,0.010838875
4.07E-08,0.0790215,0.1,0.014085904,0.010838875
4.62E-08,0.0790194,0.1,0.014085904,0.010838875
6.02E-08,0.0790144,0.1,0.014085904,0.010838875
8.18E-08,0.0790072,0.1,0.014085904,0.010838875
1.03E-07,0.0790007,0.1,0.014085904,0.010838875
1.25E-07,0.078995,0.1,0.014085904,0.010838875
1.47E-07,0.0789901,0.1,0.014085904,0.010838875
1.68E-07,0.0789859,0.1,0.014085904,0.010838875
1.90E-07,0.0789824,0.1,0.014085904,0.010838875
2.12E-07,0.0789796,0.1,0.014085904,0.010838875
2.34E-07,0.0789776,0.1,0.014085904,0.010838875
2.56E-07,0.0789764,0.1,0.014085904,0.010838875
2.78E-07,0.078976,0.1,0.014085904,0.010838875
3.22E-07,0.0789773,0.1,0.014085904,0.010838875
3.65E-07,0.0789814,0.1,0.014085904,0.010838875
4.08E-07,0.0789884,0.1,0.014085904,0.010838875
4.51E-07,0.0789983,0.1,0.014085904,0.010838875
4.94E-07,0.0790109,0.1,0.014085904,0.010838875
5.37E-07,0.0790262,0.1,0.014085904,0.010838875
5.81E-07,0.0790443,0.1,0.014085904,0.010838875
6.24E-07,0.0790651,0.1,0.014085904,0.010838875
6.99E-07,0.0791074,0.1,0.014085904,0.010838875
7.73E-07,0.0791575,0.1,0.014085904,0.010838875
