time,Absorbance_227,Relative_Uncertainty,W
1.94E-15,0.0870962,0.1,0.013578136
1.94E-11,0.0870962,0.1,0.013578136
9.00E-11,0.0870962,0.1,0.013578136
1.61E-10,0.0870962,0.1,0.013578136
2.31E-10,0.0870962,0.1,0.013578136
3.40E-10,0.0870961,0.1,0.013578136
5.18E-10,0.0870961,0.1,0.013578136
8.21E-10,0.087096,0.1,0.013578136
1.35E-09,0.0870959,0.1,0.013578136
2.27E-09,0.0870956,0.1,0.013578136
4.04E-09,0.0870952,0.1,0.013578136
7.24E-09,0.0870944,0.1,0.013578136
1.04E-08,0.0870936,0.1,0.013578136
1.36E-08,0.0870928,0.1,0.013578136
1.68E-08,0.087092,0.1,0.013578136
2.02E-08,0.0870912,0.1,0.013578136
2.35E-08,0.0870904,0.1,0.013578136
2.68E-08,0.0870896,0.1,0.013578136
3.36E-08,0.087088,0.1,0.013578136
4.03E-08,0.0870865,0.1,0.013578136
4.71E-08,0.0870849,0.1,0.013578136
5.39E-08,0.0870834,0.1,0.013578136
6.56E-08,0.0870809,0.1,0.013578136
9.25E-08,0.0870753,0.1,0.013578136
1.19E-07,0.0870702,0.1,0.013578136
1.46E-07,0.0870655,0.1,0.013578136
1.73E-07,0.0870613,0.1,0.013578136
2.00E-07,0.0870575,0.1,0.013578136
2.27E-07,0.0870541,0.1,0.013578136
2.61E-07,0.0870505,0.1,0.013578136
2.95E-07,0.0870475,0.1,0.013578136
3.28E-07,0.0870453,0.1,0.013578136
3.62E-07,0.0870436,0.1,0.013578136
4.36E-07,0.0870424,0.1,0.013578136
5.10E-07,0.0870442,0.1,0.013578136
5.84E-07,0.0870491,0.1,0.013578136
6.57E-07,0.0870571,0.1,0.013578136
7.31E-07,0.087068,0.1,0.013578136
8.05E-07,0.0870819,0.1,0.013578136
8.79E-07,0.0870988,0.1,0.013578136
9.53E-07,0.0871185,0.1,0.013578136
1.03E-06,0.0871411,0.1,0.013578136
1.17E-06,0.0871936,0.1,0.013578136
1.27E-06,0.0872371,0.1,0.013578136
1.38E-06,0.0872857,0.1,0.013578136
1.48E-06,0.0873394,0.1,0.013578136
1.58E-06,0.087398,0.1,0.013578136
1.68E-06,0.0874616,0.1,0.013578136
1.86E-06,0.0875857,0.1,0.013578136
2.05E-06,0.0877243,0.1,0.013578136
2.23E-06,0.0878769,0.1,0.013578136
2.41E-06,0.088043,0.1,0.013578136
2.59E-06,0.0882222,0.1,0.013578136
2.77E-06,0.0884139,0.1,0.013578136
2.95E-06,0.0886178,0.1,0.013578136
3.13E-06,0.0888332,0.1,0.013578136
