Time,H2O_ppm
3.56E-05,1023.80963
5.34E-05,1071.2251
7.53E-05,1150.2299
9.71E-05,1268.7084
0.000111,1355.5872
0.000137,1434.6024
0.000155,1545.1758
0.000176,1624.1805
0.000196,1679.496
0.000228,1782.2112
0.000254,1861.2264
0.000274,1971.805
0.000297,2042.9203
0.000319,2106.1357
0.000351,2161.4824
0.000381,2256.2976
0.000411,2295.8499
0.000446,2382.786
0.000474,2414.438
0.000514,2461.911
0.000548,2501.4734
0.000595,2588.441
0.000631,2628.0085
0.000663,2643.8816
0.000694,2683.439
0.00074,2723.033
0.000784,2746.832
0.000837,2786.4468
0.000897,2849.7615
0.000937,2889.3396
0.000976,2897.3389
0.001022023,2881.6694
0.001081583,2897.6157
0.001125259,2921.4148
0.001170923,2929.4297
0.001216588,2929.55
0.00127218,2929.6963
0.001325783,2953.5215
0.001375419,2953.652
0.001429025,2961.688
0.001476674,2969.708
0.001536236,2977.7595
0.001593812,2985.806
0.001621609,2985.879
0.001661317,2985.9834
0.001699041,2986.0828
0.001758601,3002.029
0.001794339,3002.123
0.001834048,3002.2275
0.001879712,3010.2424
0.001941259,3018.299
0.002010749,3018.482
0.002074282,3026.544
0.002117962,3026.659
0.00215767,3026.7634
0.002203337,3018.9888
0.002258931,3011.2405
0.002304596,3011.3606
0.002360188,3011.5068
0.002435633,3019.6
0.002475342,3019.7046
0.002519022,3019.8196
0.0025766,3019.9712
0.002632192,3020.1174
0.002675871,3020.2324
0.002729478,3020.3733
0.002785072,3012.625
0.002834705,3028.5452
0.002878388,3012.8706
0.002922067,3012.9856
0.002957805,3013.0796
0.002999498,3021.084
