Time,H2O_ppm,Relative_Uncertainty,W
0.000001,1480.1,0.05,0.004048085
0.000002,1475.9,0.05,0.004048085
0.000003,1305.7,0.05,0.004048085
0.000004,1231.7,0.05,0.004048085
0.000005,1182.6,0.05,0.004048085
0.000006,1190.7,0.05,0.004048085
0.000007,1235.8,0.05,0.004048085
0.000008,1264.5,0.05,0.004048085
0.000009,1363.6,0.05,0.004048085
0.00001,1276.9,0.05,0.004048085
0.000011,1256.3,0.05,0.004048085
0.000012,1256.3,0.05,0.004048085
0.000013,1264.5,0.05,0.004048085
0.000014,1276.9,0.05,0.004048085
0.000015,1260.4,0.05,0.004048085
0.000016,1260.4,0.05,0.004048085
0.000017,1334.6,0.05,0.004048085
0.000018,1285.1,0.05,0.004048085
0.000019,1268.6,0.05,0.004048085
0.00002,1248.1,0.05,0.004048085
0.000021,1281,0.05,0.004048085
0.000022,1276.9,0.05,0.004048085
0.000023,1297.5,0.05,0.004048085
0.000024,1281,0.05,0.004048085
0.000025,1244,0.05,0.004048085
0.000026,1276.9,0.05,0.004048085
0.000027,1268.6,0.05,0.004048085
0.000028,1305.7,0.05,0.004048085
0.000029,1318.1,0.05,0.004048085
0.00003,1351.1,0.05,0.004048085
0.000031,1272.8,0.05,0.004048085
0.000032,1326.3,0.05,0.004048085
0.000033,1244,0.05,0.004048085
0.000034,1314,0.05,0.004048085
0.000035,1285.1,0.05,0.004048085
0.000036,1293.3,0.05,0.004048085
0.000037,1309.8,0.05,0.004048085
0.000038,1351.1,0.05,0.004048085
0.000039,1351.1,0.05,0.004048085
0.00004,1309.8,0.05,0.004048085
0.000041,1314,0.05,0.004048085
0.000042,1367.7,0.05,0.004048085
0.000043,1367.7,0.05,0.004048085
0.000044,1268.6,0.05,0.004048085
0.000045,1342.9,0.05,0.004048085
0.000046,1326.3,0.05,0.004048085
0.000047,1371.8,0.05,0.004048085
0.000048,1347,0.05,0.004048085
0.000049,1309.8,0.05,0.004048085
0.00005,1289.2,0.05,0.004048085
0.000051,1334.6,0.05,0.004048085
0.000052,1334.6,0.05,0.004048085
0.000053,1272.8,0.05,0.004048085
0.000054,1301.6,0.05,0.004048085
0.000055,1371.8,0.05,0.004048085
0.000056,1338.7,0.05,0.004048085
0.000057,1289.2,0.05,0.004048085
0.000058,1367.7,0.05,0.004048085
0.000059,1301.6,0.05,0.004048085
0.00006,1334.6,0.05,0.004048085
0.000061,1330.5,0.05,0.004048085
0.000062,1413.4,0.05,0.004048085
0.000063,1367.7,0.05,0.004048085
0.000064,1326.3,0.05,0.004048085
0.000065,1334.6,0.05,0.004048085
0.000066,1355.3,0.05,0.004048085
0.000067,1376,0.05,0.004048085
0.000068,1413.4,0.05,0.004048085
0.000069,1355.3,0.05,0.004048085
0.00007,1380.1,0.05,0.004048085
0.000071,1384.3,0.05,0.004048085
0.000072,1392.6,0.05,0.004048085
0.000073,1359.4,0.05,0.004048085
0.000074,1318.1,0.05,0.004048085
0.000075,1376,0.05,0.004048085
0.000076,1363.6,0.05,0.004048085
0.000077,1351.1,0.05,0.004048085
0.000078,1413.4,0.05,0.004048085
0.000079,1400.9,0.05,0.004048085
0.00008,1421.7,0.05,0.004048085
0.000081,1363.6,0.05,0.004048085
0.000082,1392.6,0.05,0.004048085
0.000083,1384.3,0.05,0.004048085
0.000084,1400.9,0.05,0.004048085
0.000085,1392.6,0.05,0.004048085
0.000086,1438.3,0.05,0.004048085
0.000087,1359.4,0.05,0.004048085
0.000088,1363.6,0.05,0.004048085
0.000089,1355.3,0.05,0.004048085
0.00009,1400.9,0.05,0.004048085
0.000091,1421.7,0.05,0.004048085
0.000092,1384.3,0.05,0.004048085
0.000093,1326.3,0.05,0.004048085
0.000094,1384.3,0.05,0.004048085
0.000095,1380.1,0.05,0.004048085
0.000096,1371.8,0.05,0.004048085
0.000097,1376,0.05,0.004048085
0.000098,1425.8,0.05,0.004048085
0.000099,1396.7,0.05,0.004048085
0.0001,1405,0.05,0.004048085
0.000101,1463.4,0.05,0.004048085
0.000102,1367.7,0.05,0.004048085
0.000103,1347,0.05,0.004048085
0.000104,1392.6,0.05,0.004048085
0.000105,1475.9,0.05,0.004048085
0.000106,1413.4,0.05,0.004048085
0.000107,1405,0.05,0.004048085
0.000108,1400.9,0.05,0.004048085
0.000109,1400.9,0.05,0.004048085
0.00011,1413.4,0.05,0.004048085
0.000111,1371.8,0.05,0.004048085
0.000112,1434.2,0.05,0.004048085
0.000113,1405,0.05,0.004048085
0.000114,1409.2,0.05,0.004048085
0.000115,1450.8,0.05,0.004048085
0.000116,1430,0.05,0.004048085
0.000117,1417.5,0.05,0.004048085
0.000118,1446.7,0.05,0.004048085
0.000119,1392.6,0.05,0.004048085
0.00012,1450.8,0.05,0.004048085
0.000121,1417.5,0.05,0.004048085
0.000122,1488.4,0.05,0.004048085
0.000123,1459.2,0.05,0.004048085
0.000124,1430,0.05,0.004048085
0.000125,1392.6,0.05,0.004048085
0.000126,1501,0.05,0.004048085
0.000127,1434.2,0.05,0.004048085
0.000128,1438.3,0.05,0.004048085
0.000129,1496.8,0.05,0.004048085
0.00013,1446.7,0.05,0.004048085
0.000131,1475.9,0.05,0.004048085
0.000132,1526.1,0.05,0.004048085
0.000133,1392.6,0.05,0.004048085
0.000134,1471.7,0.05,0.004048085
0.000135,1434.2,0.05,0.004048085
0.000136,1463.4,0.05,0.004048085
0.000137,1496.8,0.05,0.004048085
0.000138,1467.5,0.05,0.004048085
0.000139,1413.4,0.05,0.004048085
0.00014,1496.8,0.05,0.004048085
0.000141,1521.9,0.05,0.004048085
0.000142,1551.3,0.05,0.004048085
0.000143,1488.4,0.05,0.004048085
0.000144,1484.2,0.05,0.004048085
0.000145,1492.6,0.05,0.004048085
0.000146,1484.2,0.05,0.004048085
0.000147,1492.6,0.05,0.004048085
0.000148,1434.2,0.05,0.004048085
0.000149,1534.5,0.05,0.004048085
0.00015,1459.2,0.05,0.004048085
0.000151,1513.5,0.05,0.004048085
0.000152,1505.2,0.05,0.004048085
0.000153,1492.6,0.05,0.004048085
0.000154,1505.2,0.05,0.004048085
0.000155,1547.1,0.05,0.004048085
0.000156,1563.9,0.05,0.004048085
0.000157,1446.7,0.05,0.004048085
0.000158,1492.6,0.05,0.004048085
0.000159,1442.5,0.05,0.004048085
0.00016,1521.9,0.05,0.004048085
0.000161,1534.5,0.05,0.004048085
0.000162,1547.1,0.05,0.004048085
0.000163,1509.3,0.05,0.004048085
0.000164,1484.2,0.05,0.004048085
0.000165,1434.2,0.05,0.004048085
0.000166,1521.9,0.05,0.004048085
0.000167,1538.7,0.05,0.004048085
0.000168,1492.6,0.05,0.004048085
0.000169,1492.6,0.05,0.004048085
0.00017,1505.2,0.05,0.004048085
0.000171,1530.3,0.05,0.004048085
0.000172,1517.7,0.05,0.004048085
0.000173,1542.9,0.05,0.004048085
0.000174,1505.2,0.05,0.004048085
0.000175,1542.9,0.05,0.004048085
0.000176,1496.8,0.05,0.004048085
0.000177,1521.9,0.05,0.004048085
0.000178,1530.3,0.05,0.004048085
0.000179,1551.3,0.05,0.004048085
0.00018,1492.6,0.05,0.004048085
0.000181,1475.9,0.05,0.004048085
0.000182,1547.1,0.05,0.004048085
0.000183,1542.9,0.05,0.004048085
0.000184,1480.1,0.05,0.004048085
0.000185,1593.4,0.05,0.004048085
0.000186,1542.9,0.05,0.004048085
0.000187,1563.9,0.05,0.004048085
0.000188,1534.5,0.05,0.004048085
0.000189,1463.4,0.05,0.004048085
0.00019,1559.7,0.05,0.004048085
0.000191,1551.3,0.05,0.004048085
0.000192,1568.1,0.05,0.004048085
0.000193,1618.7,0.05,0.004048085
0.000194,1576.5,0.05,0.004048085
0.000195,1501,0.05,0.004048085
0.000196,1610.3,0.05,0.004048085
0.000197,1542.9,0.05,0.004048085
