Time,OH_ppm,Relative_Uncertainty,W
3E-06,36.7,0.05,1E-10
4E-06,41.7,0.05,1E-10
5E-06,47.6,0.05,1E-10
6E-06,52.6,0.05,1E-10
7E-06,56.3,0.05,1E-10
8E-06,59.7,0.05,0.0316227766
9E-06,62.1,0.05,0.0316227766
1E-05,63.5,0.05,0.0316227766
1.1E-05,64.5,0.05,0.0316227766
1.2E-05,65.4,0.05,0.0316227766
1.3E-05,65.6,0.05,0.0316227766
1.4E-05,65.5,0.05,0.0316227766
1.5E-05,65.3,0.05,0.0316227766
1.6E-05,65.1,0.05,0.0316227766
1.7E-05,64.5,0.05,0.0316227766
1.8E-05,64,0.05,0.0316227766
1.9E-05,63.1,0.05,0.0316227766
2E-05,62.6,0.05,0.0316227766
2.1E-05,62.2,0.05,0.0316227766
2.2E-05,61.2,0.05,0.0316227766
2.3E-05,61,0.05,0.0316227766
2.4E-05,60.5,0.05,0.0316227766
2.5E-05,59.9,0.05,0.0316227766
2.6E-05,59.1,0.05,0.0316227766
2.7E-05,58.9,0.05,0.0316227766
2.8E-05,58.6,0.05,0.0316227766
2.9E-05,58.4,0.05,0.0316227766
3E-05,58,0.05,0.0316227766
3.1E-05,57.9,0.05,0.0316227766
3.2E-05,57.5,0.05,0.0316227766
3.3E-05,57.2,0.05,0.0316227766
3.4E-05,56.8,0.05,0.0316227766
3.5E-05,56.5,0.05,0.0316227766
3.6E-05,56.5,0.05,0.0316227766
3.7E-05,56.5,0.05,0.0316227766
3.8E-05,56.1,0.05,0.0316227766
3.9E-05,56.1,0.05,0.0316227766
4E-05,55.7,0.05,0.0316227766
4.1E-05,55.6,0.05,0.0316227766
4.2E-05,55.7,0.05,0.0316227766
4.3E-05,55.8,0.05,0.0316227766
4.4E-05,56,0.05,0.0316227766
4.5E-05,55.9,0.05,0.0316227766
4.6E-05,55.8,0.05,0.0316227766
4.7E-05,55.6,0.05,0.0316227766
4.8E-05,55.4,0.05,0.0316227766
4.9E-05,55.1,0.05,0.0316227766
5E-05,54.9,0.05,0.0316227766
5.1E-05,54.6,0.05,0.0316227766
5.2E-05,54.3,0.05,0.0316227766
5.3E-05,54.2,0.05,0.0316227766
5.4E-05,54.2,0.05,0.0316227766
5.5E-05,54.2,0.05,0.0316227766
5.6E-05,54,0.05,0.0316227766
5.7E-05,54,0.05,0.0316227766
5.8E-05,53.8,0.05,0.0316227766
5.9E-05,53.7,0.05,0.0316227766
6E-05,53.7,0.05,0.0316227766
6.1E-05,53.4,0.05,0.0316227766
6.2E-05,53.3,0.05,0.0316227766
6.3E-05,53.5,0.05,0.0316227766
6.4E-05,53.2,0.05,0.0316227766
6.5E-05,53,0.05,0.0316227766
6.6E-05,52.7,0.05,0.0316227766
6.7E-05,52.5,0.05,0.0316227766
6.8E-05,52.2,0.05,0.0316227766
6.9E-05,51.9,0.05,0.0316227766
7E-05,51.6,0.05,0.0316227766
7.1E-05,51.7,0.05,0.0316227766
7.2E-05,51.6,0.05,0.0316227766
7.3E-05,51.5,0.05,0.0316227766
7.4E-05,51.6,0.05,0.0316227766
7.5E-05,51.4,0.05,0.0316227766
7.6E-05,51.5,0.05,0.0316227766
7.7E-05,51.6,0.05,0.0316227766
7.8E-05,51.2,0.05,0.0316227766
7.9E-05,51.2,0.05,0.0316227766
8E-05,51.3,0.05,0.0316227766
8.1E-05,51.2,0.05,0.0316227766
8.2E-05,51.3,0.05,0.0316227766
8.3E-05,51.1,0.05,0.0316227766
8.4E-05,51.1,0.05,0.0316227766
8.5E-05,51,0.05,0.0316227766
8.6E-05,51.1,0.05,0.0316227766
8.7E-05,51.1,0.05,0.0316227766
8.8E-05,51.2,0.05,0.0316227766
8.9E-05,51.2,0.05,0.0316227766
9E-05,50.9,0.05,0.0316227766
9.1E-05,51,0.05,0.0316227766
9.2E-05,50.8,0.05,0.0316227766
9.3E-05,50.7,0.05,0.0316227766
9.4E-05,50.7,0.05,0.0316227766
9.5E-05,50.9,0.05,0.0316227766
9.6E-05,50.5,0.05,0.0316227766
9.7E-05,50.7,0.05,0.0316227766
9.8E-05,50.6,0.05,0.0316227766
9.9E-05,50.6,0.05,0.0316227766
