time,Absorbance_215
2.57E-06,0.161435
5.13E-06,0.134529
7.70E-06,0.156951
1.54E-05,0.147982
1.54E-05,0.176009
2.31E-05,0.176009
2.31E-05,0.192825
2.82E-05,0.18722
2.82E-05,0.199552
3.34E-05,0.191704
3.59E-05,0.201794
4.62E-05,0.197309
5.13E-05,0.207399
5.65E-05,0.199552
7.19E-05,0.205157
7.70E-05,0.195067
8.47E-05,0.200673
8.47E-05,0.190583
0.000100128,0.191704
0.00010783,0.181614
0.000112965,0.18722
0.000125802,0.171525
0.000130937,0.178251
0.000146341,0.165919
0.000148909,0.171525
0.000154043,0.156951
0.000164313,0.164798
0.000169448,0.151345
0.000179717,0.156951
0.000187419,0.143498
0.000192554,0.151345
0.000200256,0.13565
0.000210526,0.141256
0.000215661,0.131166
0.000228498,0.134529
0.000228498,0.125561
0.000249037,0.127803
0.000251604,0.116592
0.000264441,0.122197
0.000269576,0.112108
0.000282413,0.117713
0.000282413,0.107623
0.00029525,0.112108
0.000297817,0.100897
0.000315789,0.10426
0.000318357,0.0941704
0.000336328,0.103139
0.000336328,0.088565
0.000351733,0.0941704
0.00036457,0.0818386
0.000374839,0.0863229
0.000379974,0.0751121
0.000397946,0.0829596
0.000403081,0.0706278
0.000418485,0.0773543
0.000428756,0.0661435
0.000469836,0.0672646
0.000485236,0.0526906
0.000503206,0.0616592
0.000503206,0.0493274
0.000513476,0.0616592
0.000523746,0.0504484
0.000544286,0.0549327
0.000544286,0.0459641
0.000564826,0.0526906
0.000575096,0.0414798
0.000595636,0.0493274
0.000598206,0.0381166
0.000623876,0.0459641
0.000629016,0.0347534
0.000652116,0.0426009
0.000652116,0.0369955
0.000667526,0.0426009
0.000667526,0.0336323
0.000680356,0.0392377
0.000685496,0.0325112
