time,Absorbance_227,Relative_Uncertainty,W
1.00E-09,0.13946,0.1,1.00E-10
0.000001,0.15524,0.1,1.00E-10
0.000002,0.16791,0.1,1.00E-10
0.000003,0.18407,0.1,1.00E-10
0.000004,0.19123,0.1,1.00E-10
5.00E-06,0.19152,0.1,0.023211917
6.00E-06,0.19441,0.1,0.023211917
7.00E-06,0.19756,0.1,0.023211917
8.00E-06,0.20118,0.1,0.023211917
9.00E-06,0.19795,0.1,0.023211917
1.00E-05,0.20288,0.1,0.023211917
1.10E-05,0.20433,0.1,0.023211917
1.20E-05,0.2066,0.1,0.023211917
1.30E-05,0.20579,0.1,0.023211917
1.40E-05,0.20514,0.1,0.023211917
1.50E-05,0.20579,0.1,0.023211917
1.60E-05,0.207,0.1,0.023211917
1.70E-05,0.20764,0.1,0.023211917
1.80E-05,0.20498,0.1,0.023211917
1.90E-05,0.20288,0.1,0.023211917
2.00E-05,0.20013,0.1,0.023211917
2.10E-05,0.20263,0.1,0.023211917
2.20E-05,0.19981,0.1,0.023211917
2.30E-05,0.19924,0.1,0.023211917
2.40E-05,0.19997,0.1,0.023211917
2.50E-05,0.19707,0.1,0.023211917
2.60E-05,0.19145,0.1,0.023211917
2.70E-05,0.19188,0.1,0.023211917
2.80E-05,0.19101,0.1,0.023211917
2.90E-05,0.18972,0.1,0.023211917
3.00E-05,0.18557,0.1,0.023211917
3.10E-05,0.18427,0.1,0.023211917
3.20E-05,0.18135,0.1,0.023211917
3.30E-05,0.1818,0.1,0.023211917
3.40E-05,0.18032,0.1,0.023211917
3.50E-05,0.17896,0.1,0.023211917
3.60E-05,0.17425,0.1,0.023211917
3.70E-05,0.17407,0.1,0.023211917
3.80E-05,0.17255,0.1,0.023211917
3.90E-05,0.16699,0.1,0.023211917
4.00E-05,0.16564,0.1,0.023211917
4.10E-05,0.16424,0.1,0.023211917
4.20E-05,0.16365,0.1,0.023211917
4.30E-05,0.16006,0.1,0.023211917
4.40E-05,0.15862,0.1,0.023211917
4.50E-05,0.15797,0.1,0.023211917
4.60E-05,0.15307,0.1,0.023211917
4.70E-05,0.14907,0.1,0.023211917
4.80E-05,0.15174,0.1,0.023211917
4.90E-05,0.14834,0.1,0.023211917
5.00E-05,0.14696,0.1,0.023211917
5.10E-05,0.14486,0.1,0.023211917
5.20E-05,0.14273,0.1,0.023211917
