Time,H2O_ppm,Relative_Uncertainty,W
1.00E-06,1138.4,0.05,0.004999
2.00E-06,1067.7,0.05,0.004999
3.00E-06,1041.2,0.05,0.004999
4.00E-06,975.27,0.05,0.004999
5.00E-06,1063.2,0.05,0.004999
6.00E-06,1072.1,0.05,0.004999
7.00E-06,1023.6,0.05,0.004999
8.00E-06,1080.9,0.05,0.004999
9.00E-06,1098.6,0.05,0.004999
1.00E-05,1023.6,0.05,0.004999
1.10E-05,1014.8,0.05,0.004999
1.20E-05,1178.4,0.05,0.004999
1.30E-05,1067.7,0.05,0.004999
1.40E-05,1138.4,0.05,0.004999
1.50E-05,1142.9,0.05,0.004999
1.60E-05,1142.9,0.05,0.004999
1.70E-05,1067.7,0.05,0.004999
1.80E-05,1116.3,0.05,0.004999
1.90E-05,1165.1,0.05,0.004999
2.00E-05,1125.1,0.05,0.004999
2.10E-05,1094.2,0.05,0.004999
2.20E-05,1138.4,0.05,0.004999
2.30E-05,1182.8,0.05,0.004999
2.40E-05,1054.4,0.05,0.004999
2.50E-05,1147.3,0.05,0.004999
2.60E-05,1173.9,0.05,0.004999
2.70E-05,1134,0.05,0.004999
2.80E-05,1120.7,0.05,0.004999
2.90E-05,1182.8,0.05,0.004999
3.00E-05,1169.5,0.05,0.004999
3.10E-05,1156.2,0.05,0.004999
3.20E-05,1182.8,0.05,0.004999
3.30E-05,1173.9,0.05,0.004999
3.40E-05,1196.2,0.05,0.004999
3.50E-05,1169.5,0.05,0.004999
3.60E-05,1205.1,0.05,0.004999
3.70E-05,1191.7,0.05,0.004999
3.80E-05,1214,0.05,0.004999
3.90E-05,1187.3,0.05,0.004999
4.00E-05,1205.1,0.05,0.004999
4.10E-05,1165.1,0.05,0.004999
4.20E-05,1196.2,0.05,0.004999
4.30E-05,1191.7,0.05,0.004999
4.40E-05,1187.3,0.05,0.004999
4.50E-05,1147.3,0.05,0.004999
4.60E-05,1200.6,0.05,0.004999
4.70E-05,1307.9,0.05,0.004999
4.80E-05,1290,0.05,0.004999
4.90E-05,1156.2,0.05,0.004999
