Time,OH_ppm,Relative_Uncertainty,W
5.00E-06,126.17,0.05,0.007921553
6.00E-06,125.45,0.05,0.007921553
7.00E-06,124.28,0.05,0.007921553
8.00E-06,123.66,0.05,0.007921553
9.00E-06,121.82,0.05,0.007921553
1.00E-05,120.55,0.05,0.007921553
1.10E-05,119.54,0.05,0.007921553
1.20E-05,117.89,0.05,0.007921553
1.30E-05,117.14,0.05,0.007921553
1.40E-05,115.88,0.05,0.007921553
1.50E-05,114.56,0.05,0.007921553
1.60E-05,113.54,0.05,0.007921553
1.70E-05,112.9,0.05,0.007921553
1.80E-05,112.15,0.05,0.007921553
1.90E-05,110.66,0.05,0.007921553
2.00E-05,110.15,0.05,0.007921553
2.10E-05,109.66,0.05,0.007921553
2.20E-05,108.58,0.05,0.007921553
2.30E-05,107.96,0.05,0.007921553
2.40E-05,107.71,0.05,0.007921553
2.50E-05,107.06,0.05,0.007921553
2.60E-05,106.28,0.05,0.007921553
2.70E-05,105.71,0.05,0.007921553
2.80E-05,104.81,0.05,0.007921553
2.90E-05,104.53,0.05,0.007921553
3.00E-05,104.39,0.05,0.007921553
3.10E-05,104.09,0.05,0.007921553
3.20E-05,103.49,0.05,0.007921553
3.30E-05,103.79,0.05,0.007921553
3.40E-05,102.6,0.05,0.007921553
3.50E-05,102.21,0.05,0.007921553
3.60E-05,102.5,0.05,0.007921553
3.70E-05,102.04,0.05,0.007921553
3.80E-05,101.84,0.05,0.007921553
3.90E-05,101.07,0.05,0.007921553
4.00E-05,101.32,0.05,0.007921553
4.10E-05,100.8,0.05,0.007921553
4.20E-05,100.31,0.05,0.007921553
4.30E-05,99.514,0.05,0.007921553
4.40E-05,100,0.05,0.007921553
4.50E-05,99.287,0.05,0.007921553
4.60E-05,99.039,0.05,0.007921553
4.70E-05,98.474,0.05,0.007921553
4.80E-05,98.568,0.05,0.007921553
4.90E-05,97.853,0.05,0.007921553
5.00E-05,97.697,0.05,0.007921553
5.10E-05,97.799,0.05,0.007921553
5.20E-05,97.319,0.05,0.007921553
5.30E-05,97.661,0.05,0.007921553
5.40E-05,97.252,0.05,0.007921553
5.50E-05,97.153,0.05,0.007921553
5.60E-05,97.289,0.05,0.007921553
5.70E-05,96.741,0.05,0.007921553
5.80E-05,96.967,0.05,0.007921553
5.90E-05,96.62,0.05,0.007921553
6.00E-05,96.508,0.05,0.007921553
6.10E-05,96.366,0.05,0.007921553
6.20E-05,96.332,0.05,0.007921553
6.30E-05,96.275,0.05,0.007921553
6.40E-05,96.561,0.05,0.007921553
6.50E-05,95.68,0.05,0.007921553
6.60E-05,95.895,0.05,0.007921553
6.70E-05,96.17,0.05,0.007921553
6.80E-05,95.234,0.05,0.007921553
6.90E-05,95.422,0.05,0.007921553
7.00E-05,94.716,0.05,0.007921553
7.10E-05,94.644,0.05,0.007921553
7.20E-05,94.862,0.05,0.007921553
7.30E-05,94.202,0.05,0.007921553
7.40E-05,93.731,0.05,0.007921553
7.50E-05,93.37,0.05,0.007921553
7.60E-05,93.553,0.05,0.007921553
7.70E-05,92.564,0.05,0.007921553
7.80E-05,93.092,0.05,0.007921553
7.90E-05,92.968,0.05,0.007921553
8.00E-05,92.429,0.05,0.007921553
8.10E-05,92.312,0.05,0.007921553
8.20E-05,92.258,0.05,0.007921553
8.30E-05,91.823,0.05,0.007921553
8.40E-05,91.772,0.05,0.007921553
8.50E-05,91.852,0.05,0.007921553
8.60E-05,91.332,0.05,0.007921553
8.70E-05,91.45,0.05,0.007921553
8.80E-05,91.578,0.05,0.007921553
8.90E-05,91.339,0.05,0.007921553
9.00E-05,90.833,0.05,0.007921553
9.10E-05,91.24,0.05,0.007921553
9.20E-05,90.655,0.05,0.007921553
9.30E-05,90.637,0.05,0.007921553
9.40E-05,89.91,0.05,0.007921553
9.50E-05,89.977,0.05,0.007921553
9.60E-05,89.988,0.05,0.007921553
9.70E-05,89.983,0.05,0.007921553
9.80E-05,89.193,0.05,0.007921553
9.90E-05,89.133,0.05,0.007921553
1.00E-04,88.473,0.05,0.007921553
1.01E-04,88.435,0.05,0.007921553
1.02E-04,88.401,0.05,0.007921553
1.03E-04,88.498,0.05,0.007921553
1.04E-04,88.206,0.05,0.007921553
1.05E-04,87.599,0.05,0.007921553
1.06E-04,87.335,0.05,0.007921553
1.07E-04,87.456,0.05,0.007921553
1.08E-04,86.757,0.05,0.007921553
1.09E-04,86.755,0.05,0.007921553
1.10E-04,86.421,0.05,0.007921553
1.11E-04,86.374,0.05,0.007921553
1.12E-04,85.991,0.05,0.007921553
1.13E-04,85.723,0.05,0.007921553
1.14E-04,85.705,0.05,0.007921553
1.15E-04,85.517,0.05,0.007921553
1.16E-04,85.697,0.05,0.007921553
1.17E-04,85.047,0.05,0.007921553
1.18E-04,85.022,0.05,0.007921553
1.19E-04,84.511,0.05,0.007921553
1.20E-04,83.992,0.05,0.007921553
1.21E-04,83.72,0.05,0.007921553
1.22E-04,84.34,0.05,0.007921553
1.23E-04,83.897,0.05,0.007921553
1.24E-04,83.431,0.05,0.007921553
1.25E-04,83.154,0.05,0.007921553
1.26E-04,82.898,0.05,0.007921553
1.27E-04,82.269,0.05,0.007921553
1.28E-04,82.132,0.05,0.007921553
1.29E-04,82.225,0.05,0.007921553
1.30E-04,82.094,0.05,0.007921553
1.31E-04,81.63,0.05,0.007921553
1.32E-04,81.452,0.05,0.007921553
1.33E-04,80.689,0.05,0.007921553
1.34E-04,80.618,0.05,0.007921553
1.35E-04,80.505,0.05,0.007921553
1.36E-04,80.567,0.05,0.007921553
1.37E-04,80.052,0.05,0.007921553
1.38E-04,79.848,0.05,0.007921553
1.39E-04,79.959,0.05,0.007921553
1.40E-04,79.652,0.05,0.007921553
1.41E-04,79.363,0.05,0.007921553
1.42E-04,78.817,0.05,0.007921553
1.43E-04,78.856,0.05,0.007921553
1.44E-04,78.987,0.05,0.007921553
1.45E-04,78.266,0.05,0.007921553
1.46E-04,77.797,0.05,0.007921553
1.47E-04,78.229,0.05,0.007921553
1.48E-04,78.326,0.05,0.007921553
1.49E-04,77.851,0.05,0.007921553
1.50E-04,77.61,0.05,0.007921553
1.51E-04,77.466,0.05,0.007921553
1.52E-04,77.413,0.05,0.007921553
1.53E-04,76.984,0.05,0.007921553
1.54E-04,76.887,0.05,0.007921553
1.55E-04,76.312,0.05,0.007921553
1.56E-04,75.961,0.05,0.007921553
1.57E-04,76.498,0.05,0.007921553
1.58E-04,75.692,0.05,0.007921553
1.59E-04,75.674,0.05,0.007921553
1.60E-04,74.882,0.05,0.007921553
1.61E-04,75.17,0.05,0.007921553
1.62E-04,74.651,0.05,0.007921553
1.63E-04,74.596,0.05,0.007921553
1.64E-04,74.72,0.05,0.007921553
1.65E-04,74.38,0.05,0.007921553
1.66E-04,74.45,0.05,0.007921553
1.67E-04,74.345,0.05,0.007921553
1.68E-04,73.945,0.05,0.007921553
1.69E-04,74.243,0.05,0.007921553
1.70E-04,73.394,0.05,0.007921553
1.71E-04,73.381,0.05,0.007921553
1.72E-04,73.126,0.05,0.007921553
1.73E-04,73.221,0.05,0.007921553
1.74E-04,72.891,0.05,0.007921553
1.75E-04,72.621,0.05,0.007921553
0.000176,72.609,0.05,0.007921553
0.000177,72.714,0.05,0.007921553
0.000178,72.297,0.05,0.007921553
0.000179,71.835,0.05,0.007921553
0.00018,71.893,0.05,0.007921553
0.000181,72.172,0.05,0.007921553
0.000182,71.393,0.05,0.007921553
0.000183,71.49,0.05,0.007921553
0.000184,71.377,0.05,0.007921553
0.000185,71.273,0.05,0.007921553
0.000186,71.482,0.05,0.007921553
0.000187,70.624,0.05,0.007921553
0.000188,70.759,0.05,0.007921553
0.000189,70.89,0.05,0.007921553
0.00019,70.319,0.05,0.007921553
0.000191,70.421,0.05,0.007921553
0.000192,69.655,0.05,0.007921553
0.000193,69.746,0.05,0.007921553
0.000194,69.674,0.05,0.007921553
0.000195,69.216,0.05,0.007921553
0.000196,69.119,0.05,0.007921553
0.000197,69.161,0.05,0.007921553
0.000198,68.97,0.05,0.007921553
0.000199,68.943,0.05,0.007921553
0.0002,68.839,0.05,0.007921553
0.000201,68.379,0.05,0.007921553
0.000202,68.348,0.05,0.007921553
0.000203,67.627,0.05,0.007921553
0.000204,67.831,0.05,0.007921553
0.000205,67.687,0.05,0.007921553
0.000206,67.715,0.05,0.007921553
0.000207,67.01,0.05,0.007921553
0.000208,66.91,0.05,0.007921553
0.000209,66.824,0.05,0.007921553
0.00021,66.927,0.05,0.007921553
0.000211,66.17,0.05,0.007921553
0.000212,66.169,0.05,0.007921553
0.000213,66.183,0.05,0.007921553
0.000214,65.974,0.05,0.007921553
0.000215,65.513,0.05,0.007921553
0.000216,65.473,0.05,0.007921553
0.000217,65.066,0.05,0.007921553
