Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
2 OH (+M) <=> H2O2 (+M),3,3.00E+00,3.00E+00
H2O2 + OH <=> H2O + HO2,1.000001,1.00E-09,1.00E-09
2 HO2 <=> H2O2 + O2,1.000001,1.00E-09,1.00E-09
HO2 + OH <=> H2O + O2,1.000001,1.00E-09,1.00E-09
2 OH <=> H2O + O,1.000001,1.00E-09,1.00E-09
CH3 + HO2 <=> CH4 + O2,1.000001,1.00E-09,1.00E-09
CH3 + HO2 <=> CH3O + OH,1.000001,1.00E-09,1.00E-09
CH4 + OH <=> CH3 + H2O,3,3.00E+00,3.00E+00
H + O2 <=> O + OH,1.15,1.00E-09,1.00E-09
H2 + O <=> H + OH,1.6,1.00E-09,1.00E-09
H2 + O <=> H + OH,1.6,1.00E-09,1.00E-09
H2 + OH <=> H + H2O,1.2,1.00E-09,1.00E-09
H2 + M <=> 2 H + M,3,1.00E-09,1.00E-09
AR + H2 <=> AR + 2 H,2,1.00E-09,1.00E-09
H2 + HE <=> 2 H + HE,2,1.00E-09,1.00E-09
2 O + M <=> O2 + M,3,1.00E-09,1.00E-09
AR + 2 O <=> AR + O2,3,1.00E-09,1.00E-09
HE + 2 O <=> HE + O2,3,1.00E-09,1.00E-09
H + O + M <=> OH + M,5,1.00E-09,1.00E-09
H2O + M <=> H + OH + M,3.2,1.00E-09,1.00E-09
2 H2O <=> H + H2O + OH,3.2,1.00E-09,1.00E-09
H + O2 (+M) <=> HO2 (+M),2,1.00E-09,1.00E-09
H + HO2 <=> H2 + O2,2,1.00E-09,1.00E-09
H + HO2 <=> 2 OH,2,1.00E-09,1.00E-09
H + HO2 <=> H2O + O,3,1.00E-09,1.00E-09
HO2 + O <=> O2 + OH,3,1.00E-09,1.00E-09
H + H2O2 <=> H2O + OH,2,1.00E-09,1.00E-09
H + H2O2 <=> H2 + HO2,2,1.00E-09,1.00E-09
H2O2 + O <=> HO2 + OH,3,1.00E-09,1.00E-09
CO + O (+M) <=> CO2 (+M),10,1.00E-09,1.00E-09
CO + O2 <=> CO2 + O,10,1.00E-09,1.00E-09
