Time,H2O_ppm,Relative_Uncertainty,W
0,1246.2,0.05,1E-10
1E-06,1339.9,0.05,1E-10
2E-06,1187,0.05,1E-10
3E-06,1391.2,0.05,1E-10
4E-06,1416.9,0.05,1E-10
5E-06,1624.6,0.05,1E-10
6E-06,1581.1,0.05,1E-10
7E-06,1853.2,0.05,1E-10
8E-06,2157.9,0.05,1E-10
9E-06,2166.9,0.05,1E-10
1E-05,2303.6,0.05,0.07071067812
1.1E-05,2404.7,0.05,0.07071067812
1.2E-05,2525.1,0.05,0.07071067812
1.3E-05,2599.7,0.05,0.07071067812
1.4E-05,2769,0.05,0.07071067812
1.5E-05,2769,0.05,0.07071067812
1.6E-05,2863.9,0.05,0.07071067812
1.7E-05,2921.2,0.05,0.07071067812
1.8E-05,3007.6,0.05,0.07071067812
1.9E-05,2940.4,0.05,0.07071067812
2E-05,3036.5,0.05,0.07071067812
2.1E-05,3172.1,0.05,0.07071067812
2.2E-05,3181.9,0.05,0.07071067812
2.3E-05,3250.2,0.05,0.07071067812
2.4E-05,3172.1,0.05,0.07071067812
2.5E-05,3201.4,0.05,0.07071067812
2.6E-05,3309.1,0.05,0.07071067812
2.7E-05,3407.7,0.05,0.07071067812
2.8E-05,3378,0.05,0.07071067812
2.9E-05,3260,0.05,0.07071067812
3E-05,3397.8,0.05,0.07071067812
3.1E-05,3487.1,0.05,0.07071067812
3.2E-05,3397.8,0.05,0.07071067812
3.3E-05,3407.7,0.05,0.07071067812
3.4E-05,3556.9,0.05,0.07071067812
3.5E-05,3647.2,0.05,0.07071067812
3.6E-05,3477.2,0.05,0.07071067812
3.7E-05,3607,0.05,0.07071067812
3.8E-05,3597,0.05,0.07071067812
3.9E-05,3517,0.05,0.07071067812
4E-05,3607,0.05,0.07071067812
4.1E-05,3657.3,0.05,0.07071067812
4.2E-05,3667.4,0.05,0.07071067812
4.3E-05,3657.3,0.05,0.07071067812
4.4E-05,3556.9,0.05,0.07071067812
4.5E-05,3607,0.05,0.07071067812
4.6E-05,3697.6,0.05,0.07071067812
4.7E-05,3566.9,0.05,0.07071067812
4.8E-05,3657.3,0.05,0.07071067812
4.9E-05,3788.8,0.05,0.07071067812
5E-05,3647.2,0.05,0.07071067812
5.1E-05,3627.1,0.05,0.07071067812
5.2E-05,3587,0.05,0.07071067812
5.3E-05,3617.1,0.05,0.07071067812
5.4E-05,3667.4,0.05,0.07071067812
5.5E-05,3768.5,0.05,0.07071067812
5.6E-05,3707.7,0.05,0.07071067812
5.7E-05,3657.3,0.05,0.07071067812
5.8E-05,3637.2,0.05,0.07071067812
5.9E-05,3758.4,0.05,0.07071067812
6E-05,3799,0.05,0.07071067812
6.1E-05,3556.9,0.05,0.07071067812
6.2E-05,3748.2,0.05,0.07071067812
6.3E-05,3799,0.05,0.07071067812
6.4E-05,3617.1,0.05,0.07071067812
6.5E-05,3697.6,0.05,0.07071067812
6.6E-05,3617.1,0.05,0.07071067812
6.7E-05,3748.2,0.05,0.07071067812
6.8E-05,3687.5,0.05,0.07071067812
6.9E-05,3748.2,0.05,0.07071067812
7E-05,3657.3,0.05,0.07071067812
7.1E-05,3707.7,0.05,0.07071067812
7.2E-05,3748.2,0.05,0.07071067812
7.3E-05,3566.9,0.05,0.07071067812
7.4E-05,3677.5,0.05,0.07071067812
7.5E-05,3738.1,0.05,0.07071067812
7.6E-05,3556.9,0.05,0.07071067812
7.7E-05,3677.5,0.05,0.07071067812
7.8E-05,3607,0.05,0.07071067812
7.9E-05,3637.2,0.05,0.07071067812
8E-05,3758.4,0.05,0.07071067812
8.1E-05,3677.5,0.05,0.07071067812
8.2E-05,3587,0.05,0.07071067812
8.3E-05,3768.5,0.05,0.07071067812
8.4E-05,3657.3,0.05,0.07071067812
8.5E-05,3637.2,0.05,0.07071067812
8.6E-05,3637.2,0.05,0.07071067812
8.7E-05,3788.8,0.05,0.07071067812
8.8E-05,3627.1,0.05,0.07071067812
8.9E-05,3637.2,0.05,0.07071067812
9E-05,3537,0.05,0.07071067812
9.1E-05,3677.5,0.05,0.07071067812
9.2E-05,3707.7,0.05,0.07071067812
9.3E-05,3556.9,0.05,0.07071067812
9.4E-05,3677.5,0.05,0.07071067812
9.5E-05,3768.5,0.05,0.07071067812
9.6E-05,3566.9,0.05,0.07071067812
9.7E-05,3667.4,0.05,0.07071067812
9.8E-05,3697.6,0.05,0.07071067812
9.9E-05,3566.9,0.05,0.07071067812
0.0001,3748.2,0.05,0.07071067812
0.000101,3697.6,0.05,0.07071067812
0.000102,3707.7,0.05,0.07071067812
0.000103,3647.2,0.05,0.07071067812
0.000104,3697.6,0.05,0.07071067812
0.000105,3707.7,0.05,0.07071067812
0.000106,3677.5,0.05,0.07071067812
0.000107,3758.4,0.05,0.07071067812
0.000108,3587,0.05,0.07071067812
0.000109,3507,0.05,0.07071067812
0.00011,3617.1,0.05,0.07071067812
0.000111,3657.3,0.05,0.07071067812
0.000112,3677.5,0.05,0.07071067812
0.000113,3546.9,0.05,0.07071067812
