Time,H2O_ppm
5.63E-06,1138.9224
2.33E-05,1259.5363
3.22E-05,1311.2714
4.69E-05,1380.3527
5.58E-05,1432.0878
6.9E-05,1535.4059
7.94E-05,1621.479
8.82E-05,1673.2141
0.000101,1742.2448
0.000113,1811.2249
0.000127,1914.5431
0.000138,1966.3794
0.000155,2018.3677
0.000168,2087.3984
0.00019,2208.164
0.000209,2277.3975
0.000225,2312.242
0.000248,2398.7205
0.000273,2468.1562
0.00029,2537.3389
0.000315,2606.7747
0.000329,2624.3743
0.000341,2659.067
0.000367,2745.6973
0.000389,2780.7444
0.00041,2781.4534
0.000439,2833.8975
0.000462,2868.9446
0.000484,2921.1355
0.0005,2921.6926
0.000528,2939.7986
0.000552,2957.7527
0.000578,2958.6643
0.000608,2993.9646
0.000631,3046.2063
0.000649,3046.814
0.000667,3047.4216
0.000685,3048.0295
0.000707,3083.0767
0.00073,3101.0308
0.000756,3084.7478
0.000789,3085.9128
0.000815,3086.7737
0.000843,3087.736
0.000877,3123.1882
0.000903,3141.2437
0.000933,3142.2566
0.00095,3160.008
0.000971,3160.717
0.001000683,3161.73
