Time,CH3O_ppm
0.000207806,0.718032
0.000239189,1.62328
0.000270573,2.4071
0.000311614,3.23631
0.000362311,3.99844
0.000415422,4.62699
0.000468533,5.08844
0.000521644,5.45106
0.000574755,5.72844
0.000627867,5.95127
0.000680978,6.1366
0.000734089,6.27075
0.0007872,6.37427
0.000840311,6.45732
0.000893422,6.53694
0.000946533,6.59611
0.000999645,6.63486
0.001052756,6.67357
0.001105867,6.67477
0.001158978,6.67602
0.001212089,6.67722
0.0012652,6.67846
0.001318311,6.67966
0.001371423,6.63996
0.001424534,6.6071
0.001477645,6.5981
0.001530756,6.54817
0.001583867,6.5153
0.001636978,6.4722
0.00169009,6.44953
0.001743201,6.41667
0.001796312,6.36673
0.001849423,6.35434
0.001902534,6.28053
0.001955645,6.2613
0.002008756,6.21137
0.002061868,6.17171
0.002114979,6.11153
0.00216809,6.06503
0.002221201,6.02193
0.002274312,5.95156
0.002327423,5.9289
0.002380535,5.87556
0.002433646,5.8393
0.002486757,5.77233
0.002539868,5.72923
0.002592979,5.67249
0.00264609,5.64303
0.002699201,5.58625
0.002752313,5.51588
0.002805424,5.46938
0.002858535,5.41605
0.002911646,5.35592
0.002964757,5.31621
0.002998555,5.28061
