Time,OH_ppm
8.86E-06,38.0005
2.66E-05,36.5553
3.99E-05,35.523
4.43E-05,34.3529
6.65E-05,33.1143
7.09E-05,32.2883
7.98E-05,31.1871
9.31E-05,30.086
9.75E-05,29.1912
0.00011965,28.1591
0.00012408,26.989
0.00012851,26.3695
0.00015067,25.3375
0.00015067,24.6491
0.00015953,23.7544
0.00017725,22.3092
0.00019055,21.2081
0.00019941,20.451
0.00020827,19.4875
0.000226,18.6619
0.00023486,17.6983
0.00025702,16.8039
0.00026588,16.0469
0.0002836,15.0147
0.00030133,14.0514
0.00031462,13.1568
0.00032349,12.2621
0.00034121,11.5741
0.00036337,10.6797
0.00037666,9.64742
0.00039439,8.75293
0.00041654,7.85857
0.00045199,6.82678
0.00048301,5.86375
0.00051846,4.96967
0.00053619,4.14401
0.00056721,3.52518
0.00059823,2.97518
0.00062482,2.2874
0.00066027,1.87518
0.00068685,1.5316
0.00070901,0.981402
0.00074003,0.569081
