Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
ch3 + h (+M) <=> ch4 (+M),2,1.00E-09,1.00E-09
ch4 + h => ch3 + h2,1.5,1.00E-09,1.00E-09
ch3 + h2 => ch4 + h,1.5,1.00E-09,1.00E-09
ch4 + oh => ch3 + h2o,20.08553692,3,3
ch3 + h2o => ch4 + oh,20.08553692,3,3
ch4 + o => ch3 + oh,1.0001,1.00E-09,1.00E-09
ch3 + oh => ch4 + o,1.4,1.00E-09,1.00E-09
c2h6 + ch3 => c2h5 + ch4,1.5,1.00E-09,1.00E-09
c2h5 + ch4 => c2h6 + ch3,1.5,1.00E-09,1.00E-09
hco + oh => co + h2o,2,1.00E-09,1.00E-09
co + h2o => hco + oh,2,1.00E-09,1.00E-09
co + oh => co2 + h,1.2,1.00E-09,1.00E-09
co2 + h => co + oh,1.5,1.00E-09,1.00E-09
h + o2 => o + oh,1.2,1.00E-09,1.00E-09
o + oh => h + o2,1.5,1.00E-09,1.00E-09
h2 + o => h + oh,1.15,1.00E-09,1.00E-09
h + oh => h2 + o,1.15,1.00E-09,1.00E-09
h2o + o => 2 oh,1.6,1.00E-09,1.00E-09
2 oh => h2o + o,1.6,1.00E-09,1.00E-09
h2 + oh => h + h2o,1.000001,1.00E-09,1.00E-09
h + h2o => h2 + oh,1.000001,1.00E-09,1.00E-09
hco + M => co + h + M,1.2,1.00E-09,1.00E-09
co + h + M => hco + M,1.2,1.00E-09,1.00E-09
h2o2 + oh => h2o + ho2,1.7,1.00E-09,1.00E-09
h2o + ho2 => h2o2 + oh,1.7,1.00E-09,1.00E-09
c2h4 + o => ch3 + hco,1.000001,1.00E-09,1.00E-09
ch3 + hco => c2h4 + o,1.000001,1.00E-09,1.00E-09
c2h4 + h (+M) <=> c2h5 (+M),2,1.00E-09,1.00E-09
ch3oh (+M) <=> ch3 + oh (+M),2,1.00E-09,1.00E-09
c2h6 + h => c2h5 + h2,2,1.00E-09,1.00E-09
c2h5 + h2 => c2h6 + h,2,1.00E-09,1.00E-09
ch3oh + ho2 => ch2oh + h2o2,1.4,1.00E-09,1.00E-09
ch2oh + h2o2 => ch3oh + ho2,1.4,1.00E-09,1.00E-09
c2h5 + o2 => c2h4 + ho2,3,1.00E-09,1.00E-09
c2h4 + ho2 => c2h5 + o2,3,1.00E-09,1.00E-09
c2h6 + oh => c2h5 + h2o,2,1.00E-09,1.00E-09
c2h5 + h2o => c2h6 + oh,2,1.00E-09,1.00E-09
c2h6 + o => c2h5 + oh,1.6,1.00E-09,1.00E-09
c2h5 + oh => c2h6 + o,1.6,1.00E-09,1.00E-09
ch3 + ho2 => ch3o + oh,2,1.00E-09,1.00E-09
ch3o + oh => ch3 + ho2,2,1.00E-09,1.00E-09
co + ho2 => co2 + oh,1.000001,1.00E-09,1.00E-09
co2 + oh => co + ho2,1.000001,1.00E-09,1.00E-09
2 ch3 (+M) <=> c2h6 (+M),2,1.00E-09,1.00E-09
h2o + M => h + oh + M,2,1.00E-09,1.00E-09
h + oh + M => h2o + M,2,1.00E-09,1.00E-09
h + o2 (+M) <=> ho2 (+M),3.2,1.00E-09,1.00E-09
co2 (+M) <=> co + o (+M),3.2,1.00E-09,1.00E-09
co + o2 => co2 + o,2,1.00E-09,1.00E-09
co2 + o => co + o2,10,1.00E-09,1.00E-09
h + hco => co + h2,10,1.00E-09,1.00E-09
co + h2 => h + hco,10,1.00E-09,1.00E-09
hco + o => co + oh,2.5,1.00E-09,1.00E-09
co + oh => hco + o,2.5,1.00E-09,1.00E-09
ch2o + M => h + hco + M,2,1.00E-09,1.00E-09
h + hco + M => ch2o + M,2,1.00E-09,1.00E-09
ch2o + oh => h2o + hco,3,1.00E-09,1.00E-09
h2o + hco => ch2o + oh,3,1.00E-09,1.00E-09
ch2o + h => h2 + hco,2,1.00E-09,1.00E-09
h2 + hco => ch2o + h,2,1.00E-09,1.00E-09
ch2o + o => hco + oh,2,1.00E-09,1.00E-09
hco + oh => ch2o + o,2,1.00E-09,1.00E-09
ch3 + oh => ch2o + h2,1.6,1.00E-09,1.00E-09
ch2o + h2 => ch3 + oh,1.6,1.00E-09,1.00E-09
ch3 + o => ch2o + h,3,1.00E-09,1.00E-09
ch2o + h => ch3 + o,3,1.00E-09,1.00E-09
ch3 + o2 => ch3o + o,1.4,1.00E-09,1.00E-09
ch3o + o => ch3 + o2,1.4,1.00E-09,1.00E-09
ch2o + ch3 => ch4 + hco,2,1.00E-09,1.00E-09
ch4 + hco => ch2o + ch3,2,1.00E-09,1.00E-09
ch3 + hco => ch4 + co,2,1.00E-09,1.00E-09
ch4 + co => ch3 + hco,2,1.00E-09,1.00E-09
ho2 + o => o2 + oh,2,1.00E-09,1.00E-09
hco + ho2 => ch2o + o2,3,1.00E-09,1.00E-09
ch2o + o2 => hco + ho2,3,1.00E-09,1.00E-09
ch3o + o2 => ch2o + ho2,3,1.00E-09,1.00E-09
ch2o + ho2 => ch3o + o2,3,1.00E-09,1.00E-09
ch3 + ho2 => ch4 + o2,2,1.00E-09,1.00E-09
ch4 + o2 => ch3 + ho2,2,1.00E-09,1.00E-09
hco + o2 => co + ho2,1.000001,1.00E-09,1.00E-09
co + ho2 => hco + o2,1.000001,1.00E-09,1.00E-09
h + ho2 => 2 oh,2,1.00E-09,1.00E-09
2 oh => h + ho2,2,1.00E-09,1.00E-09
h + ho2 => h2 + o2,2,1.00E-09,1.00E-09
h2 + o2 => h + ho2,2,1.00E-09,1.00E-09
ho2 + oh => h2o + o2,2,1.00E-09,1.00E-09
h2o + o2 => ho2 + oh,2,1.00E-09,1.00E-09
h2o2 + o2 => 2 ho2,1.000001,1.00E-09,1.00E-09
2 ho2 => h2o2 + o2,1.000001,1.00E-09,1.00E-09
2 oh (+M) <=> h2o2 (+M),1.000001,1.00E-09,1.00E-09
h + h2o2 => h2o + oh,1.000001,1.00E-09,1.00E-09
h2o + oh => h + h2o2,20.08553692,1.00E-09,1.00E-09
ch4 + ho2 => ch3 + h2o2,2,1.00E-09,1.00E-09
ch3 + h2o2 => ch4 + ho2,2,1.00E-09,1.00E-09
ch2o + ho2 => h2o2 + hco,2.5,1.00E-09,1.00E-09
h2o2 + hco => ch2o + ho2,2.5,1.00E-09,1.00E-09
oh + M => h + o + M,3,1.00E-09,1.00E-09
h + o + M => oh + M,3,1.00E-09,1.00E-09
o2 + M => 2 o + M,5,1.00E-09,1.00E-09
2 o + M => o2 + M,5,1.00E-09,1.00E-09
h2 + M => 2 h + M,3,1.00E-09,1.00E-09
2 h + M => h2 + M,3,1.00E-09,1.00E-09
c2h3 + h (+M) <=> c2h4 (+M),3,1.00E-09,1.00E-09
c2h3 + c2h5 => 2 c2h4,3,1.00E-09,1.00E-09
2 c2h4 => c2h3 + c2h5,2,1.00E-09,1.00E-09
c2h3 + h2 => c2h4 + h,2,1.00E-09,1.00E-09
c2h4 + oh => c2h3 + h2o,2.5,1.00E-09,1.00E-09
c2h3 + h2o => c2h4 + oh,2.5,1.00E-09,1.00E-09
c2h3 + o2 => c2h2 + ho2,2,1.00E-09,1.00E-09
c2h2 + ho2 => c2h3 + o2,2,1.00E-09,1.00E-09
c2h2 + M => c2h + h + M,3,1.00E-09,1.00E-09
c2h + h + M => c2h2 + M,3,1.00E-09,1.00E-09
c2h2 + o2 => hcco + oh,2,1.00E-09,1.00E-09
hcco + oh => c2h2 + o2,2,1.00E-09,1.00E-09
c2h2 + oh => c2h + h2o,2,1.00E-09,1.00E-09
c2h + h2o => c2h2 + oh,2,1.00E-09,1.00E-09
c2h2 + o => c2h + oh,3,1.00E-09,1.00E-09
c2h + oh => c2h2 + o,3,1.00E-09,1.00E-09
c2h + o2 => co + hco,3.2,1.00E-09,1.00E-09
co + hco => c2h + o2,3.2,1.00E-09,1.00E-09
c2h + o => ch + co,2,1.00E-09,1.00E-09
ch + co => c2h + o,2,1.00E-09,1.00E-09
ch2 + o2 => hco + oh,3.2,1.00E-09,1.00E-09
hco + oh => ch2 + o2,3.2,1.00E-09,1.00E-09
ch + h2 => ch2 + h,2.5,1.00E-09,1.00E-09
ch2 + oh => ch + h2o,3,1.00E-09,1.00E-09
ch + h2o => ch2 + oh,3,1.00E-09,1.00E-09
ch2 + o2 => co2 + 2 h,3,1.00E-09,1.00E-09
ch + o2 => hco + o,3,1.00E-09,1.00E-09
hco + o => ch + o2,2,1.00E-09,1.00E-09
ch3oh + oh => ch2oh + h2o,1.6,1.00E-09,1.00E-09
ch2oh + h2o => ch3oh + oh,1.6,1.00E-09,1.00E-09
ch3oh + h => ch3o + h2,1.8,1.00E-09,1.00E-09
ch3o + h2 => ch3oh + h,1.8,1.00E-09,1.00E-09
ch3oh + h => ch2oh + h2,4,1.00E-09,1.00E-09
ch2oh + h2 => ch3oh + h,4,1.00E-09,1.00E-09
ch3 + ch3oh => ch2oh + ch4,4,1.00E-09,1.00E-09
ch2oh + ch4 => ch3 + ch3oh,4,1.00E-09,1.00E-09
ch3oh + o => ch2oh + oh,2,1.00E-09,1.00E-09
ch2oh + oh => ch3oh + o,2,1.00E-09,1.00E-09
ch2oh + o2 => ch2o + ho2,1.6,1.00E-09,1.00E-09
ch2o + ho2 => ch2oh + o2,1.6,1.00E-09,1.00E-09
ch2oh (+M) <=> ch2o + h (+M),2,1.00E-09,1.00E-09
c2h3 + o2 => c2h2 + ho2,2,1.00E-09,1.00E-09
c2h2 + ho2 => c2h3 + o2,2,1.00E-09,1.00E-09
h2o2 + o => ho2 + oh,3,1.00E-09,1.00E-09
ho2 + oh => h2o2 + o,3,1.00E-09,1.00E-09
c2h2 + o => h + hcco,2,1.00E-09,1.00E-09
h + hcco => c2h2 + o,2,1.00E-09,1.00E-09
c2h2 + oh => ch2co + h,3,1.00E-09,1.00E-09
ch2co + h => c2h2 + oh,3,1.00E-09,1.00E-09
ch2co + h => ch3 + co,3,1.00E-09,1.00E-09
ch3 + co => ch2co + h,3,1.00E-09,1.00E-09
ch2co + o => ch2 + co2,10,1.00E-09,1.00E-09
ch2 + co2 => ch2co + o,10,1.00E-09,1.00E-09
ch2 + o2 => ch2o + o,2,1.00E-09,1.00E-09
ch2o + o => ch2 + o2,2,1.00E-09,1.00E-09
ch2co (+M) <=> ch2 + co (+M),3,1.00E-09,1.00E-09
ch2co + o => hcco + oh,10,1.00E-09,1.00E-09
hcco + oh => ch2co + o,10,1.00E-09,1.00E-09
ch2co + oh => h2o + hcco,10,1.00E-09,1.00E-09
h2o + hcco => ch2co + oh,10,1.00E-09,1.00E-09
ch2co + h => h2 + hcco,3,1.00E-09,1.00E-09
h2 + hcco => ch2co + h,3,1.00E-09,1.00E-09
hcco + o => 2 co + h,1.6,1.00E-09,1.00E-09
c2h6 + o2 => c2h5 + ho2,3.2,1.00E-09,1.00E-09
c2h5 + ho2 => c2h6 + o2,3.2,1.00E-09,1.00E-09
c2h6 + ho2 => c2h5 + h2o2,2,1.00E-09,1.00E-09
c2h5 + h2o2 => c2h6 + ho2,2,1.00E-09,1.00E-09
ch2 + o2 => co2 + h2,2,1.00E-09,1.00E-09
co2 + h2 => ch2 + o2,2,1.00E-09,1.00E-09
c2h3 + ch3 => c2h2 + ch4,3,1.00E-09,1.00E-09
c2h2 + ch4 => c2h3 + ch3,3,1.00E-09,1.00E-09
c2h5 + ch3 => c2h4 + ch4,3.5,1.00E-09,1.00E-09
c2h4 + ch4 => c2h5 + ch3,3.5,1.00E-09,1.00E-09
ch3o + ch4 => ch3 + ch3oh,6,1.00E-09,1.00E-09
ch3 + ch3oh => ch3o + ch4,6,1.00E-09,1.00E-09
ch3oh + oh => ch3o + h2o,2.2,1.00E-09,1.00E-09
ch3o + h2o => ch3oh + oh,2.2,1.00E-09,1.00E-09
c2h5 + h => 2 ch3,2,1.00E-09,1.00E-09
2 ch3 => c2h5 + h,2,1.00E-09,1.00E-09
c2h3 + o2 => ch2o + hco,2,1.00E-09,1.00E-09
ch2o + hco => c2h3 + o2,2,1.00E-09,1.00E-09
c2h4 + ch3 => c2h3 + ch4,3.2,1.00E-09,1.00E-09
c2h3 + ch4 => c2h4 + ch3,3.2,1.00E-09,1.00E-09
ch3co (+M) <=> ch3 + co (+M),2,1.00E-09,1.00E-09
ch3cho + o2 => ch3co + ho2,3.5,1.00E-09,1.00E-09
ch3co + ho2 => ch3cho + o2,3.5,1.00E-09,1.00E-09
ch3cho + oh => ch3co + h2o,3.5,1.00E-09,1.00E-09
ch3co + h2o => ch3cho + oh,3.5,1.00E-09,1.00E-09
ch3cho + h => ch3co + h2,1.8,1.00E-09,1.00E-09
ch3co + h2 => ch3cho + h,1.8,1.00E-09,1.00E-09
ch3cho + o => ch3co + oh,2.5,1.00E-09,1.00E-09
ch3co + oh => ch3cho + o,2.5,1.00E-09,1.00E-09
ch3cho + ho2 => ch3co + h2o2,3.5,1.00E-09,1.00E-09
ch3co + h2o2 => ch3cho + ho2,3.5,1.00E-09,1.00E-09
ch3 + ch3cho => ch3co + ch4,2,1.00E-09,1.00E-09
ch3co + ch4 => ch3 + ch3cho,2,1.00E-09,1.00E-09
ch2o + M => co + h2 + M,2.5,1.00E-09,1.00E-09
co + h2 + M => ch2o + M,2.5,1.00E-09,1.00E-09
h + h2o2 => h2 + ho2,2,1.00E-09,1.00E-09
h2 + ho2 => h + h2o2,2,1.00E-09,1.00E-09
hco + o => co2 + h,2,1.00E-09,1.00E-09
co2 + h => hco + o,2,1.00E-09,1.00E-09
ch3 + M => ch2 + h + M,2.5,1.00E-09,1.00E-09
ch2 + h + M => ch3 + M,2.5,1.00E-09,1.00E-09
ch3 + h => ch2 + h2,9,1.00E-09,1.00E-09
ch2 + h2 => ch3 + h,9,1.00E-09,1.00E-09
ch3 + oh => ch2 + h2o,2,1.00E-09,1.00E-09
ch2 + h2o => ch3 + oh,2,1.00E-09,1.00E-09
ch + ch4 => c2h4 + h,1.6,1.00E-09,1.00E-09
c2h4 + h => ch + ch4,1.6,1.00E-09,1.00E-09
ch3oh (+M) <=> ch2oh + h (+M),3,1.00E-09,1.00E-09
ch3co + o => ch2co + oh,3,1.00E-09,1.00E-09
ch2co + oh => ch3co + o,3,1.00E-09,1.00E-09
ch3 + ch3co => ch2co + ch4,3,1.00E-09,1.00E-09
ch2co + ch4 => ch3 + ch3co,3,1.00E-09,1.00E-09
c2h4 + o => ch2cho + h,2,1.00E-09,1.00E-09
ch2cho + h => c2h4 + o,2,1.00E-09,1.00E-09
c2h5 + o => ch3cho + h,4,1.00E-09,1.00E-09
ch3cho + h => c2h5 + o,4,1.00E-09,1.00E-09
c2h5 + ch3o2 => c2h5o + ch3o,3,1.00E-09,1.00E-09
c2h5o + ch3o => c2h5 + ch3o2,3,1.00E-09,1.00E-09
hcco + o2 => co2 + hco,6,1.00E-09,1.00E-09
co2 + hco => hcco + o2,6,1.00E-09,1.00E-09
ch3cho + oh => ch2cho + h2o,3,1.00E-09,1.00E-09
ch2cho + h2o => ch3cho + oh,3,1.00E-09,1.00E-09
ch2[s] + ch3 => c2h4 + h,3,1.00E-09,1.00E-09
c2h4 + h => ch2[s] + ch3,3,1.00E-09,1.00E-09
