,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42
alpha1,-3.68E-01,-1.10E+00,-1.01E+00,-7.48E-02,1.33E+00,4.32E-02,2.05E-01,-1.91E-01,-3.66E-01,-1.19E+00,-1.07E+00,-6.14E-02,7.95E-01,1.23E-02,-2.34E-01,-1.70E-01,-7.59E-01,-6.32E-01,-5.91E-02,1.53E-01,2.78E-02,-1.84E-01,-2.02E-02,-8.10E-02,-6.46E-02,-3.64E-03,-1.90E-02,9.67E-02,-4.39E-01,-5.19E-01,-4.29E-01,-4.45E-02,8.56E-01,9.35E-02,-1.01E-02,-7.41E-02,-6.05E-02,-1.12E-02,-5.93E-01,-8.55E-01,3.96E-02,4.29E-01,0.0392473
alpha2,1.94E-01,-4.12E-01,-3.60E-01,-1.10E-01,-1.14E+00,-4.50E-02,-5.82E-02,9.01E-02,1.93E-01,-3.42E-01,-3.15E-01,-9.49E-02,-6.39E-01,-1.17E-02,-9.60E-03,3.84E-02,-2.49E-01,-2.16E-01,-7.36E-02,-6.92E-02,-1.18E-02,3.68E-02,2.17E-03,-7.70E-02,-4.72E-02,-6.32E-03,-7.17E-03,-6.58E-02,3.19E-01,-5.09E-01,-3.49E-01,-7.26E-02,-8.80E-01,-1.18E-01,-1.41E-02,-1.32E-01,-1.06E-01,-2.10E-02,5.01E-01,-6.19E-01,4.24E-02,3.64E-03,0.042894
alpha3,7.57E-02,-1.79E-01,-1.43E-01,-6.33E-02,-2.35E-01,-3.48E-03,-1.39E-02,3.76E-02,7.33E-02,-1.52E-01,-1.31E-01,-5.99E-02,-1.56E-01,-1.81E-03,5.00E-03,4.26E-02,-2.67E-02,-3.63E-02,-3.99E-02,-4.99E-02,-8.15E-03,2.98E-02,4.60E-03,-3.76E-02,-1.72E-02,-4.54E-03,-3.13E-03,8.52E-03,6.31E-02,-1.60E-01,-4.89E-02,-4.41E-02,-4.56E-03,2.21E-02,-6.02E-03,-1.00E-01,-7.83E-02,-1.70E-02,-1.38E-04,-4.88E-02,2.04E-02,-5.66E-03,0.019955
alpha4,1.18E-02,-3.90E-02,-2.85E-02,-2.66E-02,6.58E-02,5.09E-03,-1.57E-03,5.63E-03,1.40E-02,-4.37E-02,-3.22E-02,-2.88E-02,1.45E-02,8.56E-04,1.00E-02,1.82E-02,8.04E-03,-1.84E-03,-1.79E-02,-1.59E-02,-2.38E-03,1.72E-02,2.44E-03,-1.62E-02,-4.68E-03,-2.77E-03,-1.14E-03,9.69E-03,-1.39E-03,-2.99E-02,2.75E-02,-1.80E-02,5.01E-02,4.29E-03,-4.32E-04,-6.31E-02,-4.70E-02,-1.19E-02,-5.06E-05,-1.80E-02,7.52E-03,-2.08E-03,0.00734206
alpha5,-3.17E-03,1.10E-02,1.98E-03,-6.21E-03,4.07E-02,1.29E-03,-2.41E-03,5.16E-04,-2.52E-03,5.42E-03,7.08E-04,-8.93E-03,2.60E-02,5.16E-04,9.07E-03,4.32E-03,1.66E-02,5.63E-03,-5.40E-03,-6.22E-04,-1.95E-05,4.96E-03,7.98E-04,-5.08E-03,1.84E-04,-1.42E-03,-3.30E-04,5.09E-03,-2.30E-03,1.90E-03,1.72E-02,-1.82E-03,7.51E-03,-1.34E-04,1.74E-03,-3.14E-02,-2.00E-02,-7.17E-03,-2.10E-05,-7.43E-03,3.11E-03,-8.63E-04,0.00303919
alpha6,-3.18E-03,1.18E-02,4.10E-03,-1.30E-03,1.99E-02,3.49E-04,-1.61E-03,-3.55E-04,-3.12E-03,9.56E-03,3.88E-03,-2.74E-03,1.54E-02,2.43E-04,5.40E-03,7.79E-04,1.33E-02,4.83E-03,-1.35E-03,1.56E-03,2.73E-04,1.54E-03,2.49E-04,-1.48E-03,7.63E-04,-6.51E-04,-1.12E-04,2.60E-03,-1.97E-03,5.38E-03,9.22E-03,7.55E-04,1.31E-03,-5.58E-04,1.26E-03,-1.49E-02,-8.52E-03,-3.69E-03,-9.25E-06,-3.28E-03,1.37E-03,-3.81E-04,0.00134166
alpha7,-1.50E-03,7.01E-03,2.19E-03,3.22E-05,5.86E-03,-3.20E-05,-1.03E-03,-2.56E-04,-1.71E-03,7.03E-03,2.52E-03,-4.91E-04,6.08E-03,7.04E-05,2.83E-03,-2.21E-04,9.17E-03,3.15E-03,7.57E-05,1.41E-03,2.19E-04,3.35E-04,3.89E-05,-1.87E-04,6.11E-04,-2.58E-04,-4.32E-05,1.22E-03,-1.06E-03,3.86E-03,3.99E-03,9.19E-04,-8.53E-05,-3.41E-04,6.92E-04,-6.51E-03,-3.22E-03,-1.72E-03,-4.26E-06,-1.51E-03,6.32E-04,-1.75E-04,0.000617203
alpha8,-3.49E-04,3.26E-03,6.02E-04,2.90E-04,-7.79E-04,-1.49E-04,-6.45E-04,-7.95E-05,-6.22E-04,4.22E-03,1.09E-03,2.29E-04,1.07E-03,-9.29E-06,1.36E-03,-4.04E-04,5.92E-03,1.84E-03,4.68E-04,9.14E-04,1.30E-04,-4.96E-05,-3.07E-05,2.10E-04,3.84E-04,-7.68E-05,-2.01E-05,5.23E-04,-4.25E-04,2.10E-03,1.24E-03,6.28E-04,-2.40E-04,-1.25E-04,3.22E-04,-2.47E-03,-8.93E-04,-7.12E-04,-2.01E-06,-7.13E-04,2.99E-04,-8.28E-05,0.00029167
alpha9,2.61E-04,1.02E-03,-3.06E-04,2.63E-04,-3.48E-03,-1.67E-04,-4.02E-04,3.89E-05,2.88E-06,2.27E-03,1.86E-04,4.07E-04,-1.28E-03,-4.11E-05,5.68E-04,-3.62E-04,3.75E-03,1.02E-03,5.11E-04,5.15E-04,6.40E-05,-1.50E-04,-4.82E-05,2.95E-04,2.15E-04,2.31E-06,-1.19E-05,1.83E-04,-8.33E-05,9.36E-04,-1.83E-05,3.53E-04,-1.42E-04,7.62E-07,1.20E-04,-6.46E-04,4.06E-05,-2.29E-04,-9.73E-07,-3.45E-04,1.44E-04,-4.01E-05,0.000141099
alpha10,4.13E-04,5.48E-05,-5.57E-04,1.81E-04,-3.59E-03,-1.36E-04,-2.42E-04,7.42E-05,2.14E-04,1.13E-03,-1.69E-04,3.59E-04,-1.76E-03,-4.23E-05,2.03E-04,-2.60E-04,2.27E-03,5.38E-04,4.05E-04,2.68E-04,2.77E-05,-1.39E-04,-4.20E-05,2.49E-04,1.12E-04,2.52E-05,-7.62E-06,4.15E-05,6.07E-05,3.15E-04,-4.58E-04,1.75E-04,-4.73E-05,5.16E-05,2.45E-05,7.37E-05,3.33E-04,-2.40E-05,-4.74E-07,-1.68E-04,7.04E-05,-1.95E-05,6.88E-05
alpha11,4.66E-04,-4.27E-04,-6.58E-04,1.15E-04,-3.39E-03,-1.10E-04,-1.52E-04,9.04E-05,3.09E-04,5.00E-04,-3.45E-04,2.97E-04,-1.88E-03,-3.98E-05,2.33E-05,-1.85E-04,1.43E-03,2.74E-04,3.19E-04,1.25E-04,7.39E-06,-1.16E-04,-3.51E-05,2.01E-04,5.35E-05,3.29E-05,-5.77E-06,-2.28E-05,1.09E-04,1.50E-05,-5.53E-04,7.44E-05,1.07E-05,6.57E-05,-1.59E-05,3.16E-04,3.79E-04,5.38E-05,-2.38E-07,-8.46E-05,3.54E-05,-9.82E-06,3.46E-05
alpha12,3.25E-04,-3.83E-04,-4.64E-04,6.43E-05,-2.25E-03,-6.89E-05,-8.50E-05,6.42E-05,2.27E-04,2.11E-04,-2.68E-04,1.87E-04,-1.29E-03,-2.63E-05,-1.97E-05,-1.09E-04,8.00E-04,1.33E-04,1.97E-04,5.54E-05,9.30E-07,-7.32E-05,-2.22E-05,1.26E-04,2.44E-05,2.36E-05,-3.54E-06,-2.79E-05,1.02E-04,-8.46E-05,-4.65E-04,2.59E-05,2.99E-05,5.68E-05,-2.52E-05,3.19E-04,3.09E-04,6.56E-05,-1.15E-07,-4.07E-05,1.71E-05,-4.73E-06,1.67E-05
alpha13,3.23E-04,-4.84E-04,-4.69E-04,4.03E-05,-2.07E-03,-5.84E-05,-5.99E-05,6.61E-05,2.41E-04,4.14E-05,-3.02E-04,1.57E-04,-1.24E-03,-2.42E-05,-5.93E-05,-8.24E-05,5.59E-04,6.24E-05,1.63E-04,1.55E-05,-4.40E-06,-6.06E-05,-1.89E-05,1.05E-04,8.30E-06,2.36E-05,-3.14E-06,-3.99E-05,8.99E-05,-1.23E-04,-3.83E-04,1.35E-06,3.82E-05,4.82E-05,-2.69E-05,2.87E-04,2.48E-04,6.39E-05,-6.34E-08,-2.25E-05,9.41E-06,-2.61E-06,9.19E-06
alpha14,1.10E-04,-1.59E-04,-1.59E-04,1.55E-05,-7.14E-04,-2.05E-05,-2.16E-05,2.22E-05,8.09E-05,2.37E-05,-1.00E-04,5.56E-05,-4.25E-04,-8.35E-06,-1.83E-05,-2.98E-05,2.03E-04,2.49E-05,5.76E-05,7.64E-06,-1.17E-06,-2.16E-05,-6.65E-06,3.72E-05,3.75E-06,8.09E-06,-1.06E-06,-1.31E-05,5.88E-05,-9.14E-05,-2.45E-04,-4.15E-06,2.78E-05,3.11E-05,-1.87E-05,1.89E-04,1.57E-04,4.31E-05,-2.31E-08,-8.20E-06,3.44E-06,-9.52E-07,3.35E-06
